Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenada,Grenadoes,Hispaniola,Jamaica,Montserrat,St. Cruz,St. Kitts,Surinam,West Indies,WI,,New Providence,Bermuda,Boston,Egg Harbour,Falmouth,Marblehead,New Jersey,New York,Newfoundland,North Carolina,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford,Newry,Belfast,Cork,Dublin,Londonderry,Sligo,Waterford,IRE,,Barcelona,Cadiz,Figuera,Lisbon,Madeira,Oporto,SEU,,TOTAL,
Mahogany boards,feet,10.832,,0.0005,165.69,0.003268755,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,1610,,1610,5,,,,,,,,,0,0,,,,,,,0,0,1610,5
Mahogany planks,,10.832,,0.005,165.69,0.032687549,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,301,,,301,10,,,,,,,,,0,0,,,,,,,0,0,301,10
Molasses,tierces,1.77,,3.05,165.69,3.258193011,,,,,,,,,,,,,0,0,,,,,,,,,,1,,,,1,3,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,1,3
Oak planks,,10.832,,0.005,165.69,0.032687549,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,12,,,,12,0,,,,589,,234,,,823,27,,,,,,,0,0,835,27
Peas,barrels,3.5,,0.175,165.69,0.369666244,,,,,,,,,,,,,0,0,,,,,,,,2,,,,,,2,1,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,2,1
Peas,bushels,3.5,,0.05,165.69,0.105618927,,,,,,,,,,,,,0,0,,,,,,6,,,,,,10,,16,2,,,,,0,0,,,,,,,,,0,0,100,,,,,,100,11,116,13
Pig iron,tons,8,,1,165.69,4.828293802,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,363,157.75,23,92,635.75,3070,,,,10,,,,,10,48,,,,,,,0,0,645.75,3118
Pine boards,,10.832,,0.005,165.69,0.032687549,,8200,,,,1142,,,,,1250,,10592,346,,,,,,,,,,,,,,0,0,43,,,,43,1,,,,,,,,,0,0,,,,,,,0,0,10635,347
Pine plank,feet,10.832,,0.0005,165.69,0.003268755,,,,15618,,,,,,,,,15618,51,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,15618,51
Pine planks,,10.832,,0.005,165.69,0.032687549,,,,,,,,,,1534,,,1534,50,310,,,,,,,,,,,,,310,10,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,1844,60
Pitch,barrels,12.19,,0.05,165.69,0.367855634,,,,,,,,,,,,,0,0,,,,,,,,5,,,,,,5,2,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,5,2
Plank,feet,10.832,,0.0005,165.69,0.003268755,1800,,,,,,,,,,,,1800,6,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,1800,6
Pork,barrels,80.31,,0.05,165.69,2.42350172,,,,,,,,,,,,,0,0,6,,,,,3,,,,,,,,9,22,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,9,22
Rum,hhds,3.35,,5.25,165.69,10.61470215,,,,,,,,,,,,,0,0,,,,,,,,,,1,,,,1,11,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,1,11
Rum,gallons,3.35,,0.05,165.69,0.101092401,,,,,,,,,,,,,0,0,,,4100,,,,,,,,,,,4100,414,,,,680,680,69,,,,,,,,,0,0,,,,,,,0,0,4780,483
Rye,bushels,3.5,,0.05,165.69,0.105618927,,,,,,,,,,,,,0,0,,,,,,,,,,,20,,,20,2,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,20,2
Salt,bushels,1.6,,0.05,165.69,0.048282938,,,,,,,,,,,,,0,0,,,,,,,,,,100,,,,100,5,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,100,5
Scantling,feet,10.832,,0.0005,165.69,0.003268755,,10000,,3691,,,,,,,,,13691,45,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,13691,45
Shingles,,,,,165.69,0,3600,26000,,15100,,,32000,15000,,36490,,,128190,0,4000,,,,,,,,,,,,,4000,0,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,132190,0
Ship bread,pounds,15.68,,0.000446429,165.69,0.004224757,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,1500,,,1500,6,1500,6
Staves,,6.77,,0.001,165.69,0.004085944,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,0,0,,,,50000,,,,,50000,204,,,,,,,0,0,50000,204
Staves and heading,,6.77,,0.001,165.69,0.004085944,11800,114900,5000,73582,16411,35800,21900,19000,33000,33200,1000,,365593,1494,,,3300,2000,,,,,,,800,,5000,11100,45,277084,57118,70616,43200,448018,1831,20000,31000,,422123,29200,84000,7000,97000,690323,2821,5400,,,5500,15500,,26400,108,1541434,6299
Tar,barrels,12.41,,0.05,165.69,0.374494538,,,,,,,,,,,,,0,0,,,,,,,,154,,,,,,154,58,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,154,58
Tobacco,pounds,32.5,,0.0005,165.69,0.009807472,,,,,,,,,,,,,0,0,,,,,1000,,,,,,,,,1000,10,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,1000,10
Tobacco,hhds,32.5,,0.5225,165.69,10.24880801,4,2,,,,,,,,,,,6,61,,,,,,,,,,,,,,0,0,8041,1436,503,1055,11035,113096,,,,,,,,,0,0,,,,,,,0,0,11041,113157
Turpentine,barrels,14.31,,0.05,165.69,0.431830527,,,,,,,,,,,,,0,0,,,,,,,,16,,,,,,16,7,,141,,,141,61,,,,,,,,,0,0,,,,,,,0,0,157,68
Walnut planks,,10.832,,0.005,165.69,0.032687549,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,55,,,,55,2,,,,,,,,,0,0,,,,,,,0,0,55,2
Wheat,bushels,6.78,,0.05,165.69,0.20459895,,,,,,,,,,,,,0,0,,,,,76,,,800,,,270,200,,1346,275,,,,,0,0,10500,6015,,12005,18218,5245,1200,,53183,10881,6774,7500,20,18801,4803,15098,52996,10843,107525,21999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,14451,,,,,,,,,,,,,,,13762,,,,,,123186,,,,,,,,,,36753,,,,,,,,23980,,212132
