Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Boston,New England,North Carolina,Rhode Island,Salem,NA,,Bristol,Glasgow,London,Portsmouth,GB,,Ireland,IRE,,Cadiz,Lisbon,Madeira,SEU,,TOTAL,
Pork,barrels,63.2,,0.05,167.49,1.886679802,,,12,,12,23,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,12,23
Rum,casks,3.08,,3.05,167.49,5.608693056,,,,,0,0,,,,,,0,0,,,1,,1,6,,0,0,,,,0,0,1,6
Rum,hhds,3.08,,5.25,167.49,9.65430772,,,,,0,0,,,1,,,1,10,,,,,0,0,,0,0,,,,0,0,1,10
Rum,gallons,3.08,,0.05,167.49,0.091945788,,,,,0,0,,200,,,,200,18,,,,,0,0,,0,0,,,,0,0,200,18
Salt,bushels,1.64,,0.05,167.49,0.048958147,,,,,0,0,,,5,,,5,0,,,,,0,0,,0,0,,,,0,0,5,0
Shingles,,,,,167.49,0,,13508,,,13508,0,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,13508,0
Shingles,M,,,,167.49,0,,,12,,12,0,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,12,0
Skins,,,,,167.49,0,,3251,,,3251,0,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,3251,0
Skins,hhds,,,,167.49,0,,,,,0,0,,,,,,0,0,,,2,,2,0,,0,0,,,,0,0,2,0
Staves,,5.07,,0.001,167.49,0.003027046,12000,79943,1100,8000,101043,306,,,,3050,,3050,9,21456,7300,113174,13000,154930,469,30000,30000,91,16000,13000,600,29600,90,318623,965
Staves,M,5.07,,1,167.49,3.027046391,,,,,0,0,,,,,,0,0,,8,19,,27,82,,0,0,,,,0,0,27,82
Staves (hhds),,5.07,,0.001,167.49,0.003027046,,3000,,,3000,9,,,,,,0,0,,,,,0,0,,0,0,,8000,,8000,24,11000,33
Tar,barrels,9.76,,0.05,167.49,0.291360678,,,26,,26,8,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,26,8
Tobacco,hhds,19.47,,0.517,167.49,6.009905069,,,,,0,0,,,,,,0,0,849,543,517,394,2303,13841,,0,0,,,,0,0,2303,13841
Tobacco,pounds,19.47,,0.0005,167.49,0.005812287,644,5687,881,,7212,42,928,,,785,,1713,10,,,,,0,0,,0,0,,,,0,0,8925,52
Turpentine,barrels,18.71,,0.05,167.49,0.558540808,,61,,,61,34,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,61,34
Walnut plank,feet,8.112,,0.0005,167.49,0.002421637,,,,,0,0,,,,,,0,0,,,1320,,1320,3,,0,0,,,,0,0,1320,3
Walnut plank,pieces,8.112,,0.005,167.49,0.024216371,,,,,0,0,,,,,,0,0,,6,,,6,0,,0,0,,,,0,0,6,0
Walnut plank,,8.112,,0.005,167.49,0.024216371,,,,,0,0,,,,,,0,0,,,54,,54,1,,0,0,,,,0,0,54,1
Wheat,bushels,4.48,,0.05,167.49,0.133739328,,1033,2100,,3133,419,3310,100,,800,400,4610,617,,,,,0,0,,0,0,16214,32502,3839,52555,7029,60298,8065
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,4859,,,,,,,1275,,,,,,17376,,,98,,,,,8360,,31968
