year,Antigua currency,Bar iron,Beef,Beeswax,Bread,Cash,Cheese,Chocolate,Clayed sugar,Coffee,Cotton,Dollars,Flax,Flour,Ginger,Guineas,Heading,Hoops,Indigo,Iron,Linen,Loaf sugar,Molasses,Negroes,Pepper,Pig iron,Pimento,Pistereens,Pistoles,Plank,Planks,Pork,Potatoes,Refined sugar,Rice,Rum,Salt,Shingles,Silver,Spirits,Staves,Sterling,Sterling cash,Strained sugar,Sugar,Tar,Tea,Tobacco,Virginia currency,White sugar,Wine,Wrought iron
1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.0,0.0,0.0,0.0,11.0,0.0,557.0,0.0
1752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,29181.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.3333333333333,57.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.6,0.0,0.0,6.0,0.0,0.0,325.0,0.0
1754,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,56.0,8076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.75,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.6666666666666,0.0,0.0,0.0,250.0,0.0,135.0,0.0
1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.3333333333334,532.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.3333333333334,0.0,0.0,0.0,0.0,0.0,133.0,0.0
1758,0.0,29.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,37.5,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,25.5,0.0,1194.3333333333333,482.5,0.0,0.0,0.0,0.0,0.0,111.0,0.0,170.2,0.0,0.0,0.0,61.0,0.0,35.0,0.0
1760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,317.0,30162.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.6666666666667,99.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,200.5,0.0,0.0,0.0,42.0,0.0,916.0,0.0
1761,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,113.66666666666667,7656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.6666666666667,315.5,0.0,0.0,0.0,0.0,0.0,50.0,94.0,708.3333333333334,0.0,1.0,0.0,130.0,0.0,447.6666666666667,0.0
1762,0.0,0.0,0.0,0.0,0.0,1075.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.5,156.66666666666666,36429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.5,0.0,1546.3333333333333,232.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,485.0,0.0,0.0,815.0,77.0,0.0,24.0,0.0
1763,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,64.0,294.3333333333333,34670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,1513.6666666666667,588.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,498.0,0.0,0.0,0.0,0.0,0.0,133.75,0.0
1764,0.0,0.0,69.0,0.0,26.0,140.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.6,169.0,19489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,427.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.8,0.0,0.0,0.0,0.0,0.0,1020.3333333333334,0.0
1765,0.0,0.0,0.0,0.0,27.0,44.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,89.4,308.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.6,154.66666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,537.6666666666666,0.0,0.0,0.0,0.0,0.0,21.0,0.0
1766,0.0,0.0,0.0,0.0,6.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75,10387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.75,260.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.3333333333334,0.0,0.0,0.0,0.0,0.0,407.6666666666667,0.0
1768,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,156.0,355.0,7947.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,1790.75,430.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.25,0.0,0.14285714285714285,0.0,21.0,0.0,533.25,0.0
1769,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,21.5,327.0,12553.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,369.0,0.0,0.0,0.0,2666.6666666666665,398.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,477.0,0.0,1.0,0.0,116.0,0.0,264.0,0.0
1771,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,223.5,0.0,64.4,11624.25,1958.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,0.0,0.0,0.0,0.0,2111.0,115.0,0.0,0.0,13.0,37.0,0.0,0.0,0.0,914.0,0.0,4.0,0.0,139.33333333333334,0.0,424.0,0.0
sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.2631578947368,2627.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,268.8636363636364,246.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.85714285714286,0.0,0.0,0.0,0.0,0.0,241.14285714285714,0.0
