year,Bar iron,Beans,Beef,Biscuits,Bread,Bread and flour,Cheese,Chocolate,Coffee,Corn,Cotton,Deer Skin,Deer Skins,Flax,Flaxseed,Flour,Furs,Furs and skins,Ginger,Handspikes,Heading,Hemp,Hoops,Indigo,Iron,Linen,Logs,Logs (walnut),Molasses,Negroes,Oats,Peas,Peas/beans,Pig iron,Pitch,Plank,Planks,Pork,Potatoes,Rum,Rye,Salt,Shingles,Ship bread,Skins,Spirits,Staves,Staves (barrel),Staves (barrels),Staves (hhd),Staves (hhds),Staves (pipe),Staves (pipes),Staves and heading,Sugar,Tar,Tea,Tobacco,Turpentine,Walnut logs,Wax,Wheat,Wine
1750,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,0.0,38.5,0.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93634.0,0.0,0.0,0.0,0.0,0.0
1751,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1193.0,0.0,25.0,11.0,37.0,0.0,13.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39631.0,0.0,0.0,0.0,214.0,18.0
1752,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,1403.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1757.0,0.0,22.0,52.0,130.0,0.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47801.5,0.0,0.0,0.0,11.0,31.5
1754,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1972.0,0.0,10.0,19.0,27.0,0.0,1444.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69841.0,0.0,0.0,0.0,15.0,164.0
1755,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2772.0,0.0,6.0,0.0,0.0,0.0,103.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,33925.0,0.0,0.0,0.0,1.0,0.0
1758,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.0,0.0,13.0,0.0,26.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,1462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,0.0,87687.0,0.0,0.0,0.0,149.0,79.0
1760,65.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,6559.0,0.0,1.5,37.0,28.0,0.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,1762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141722.0,1.0,0.0,0.0,225.0,32.0
1761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.5,0.0,5.0,4.0,21.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,2755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110998.0,0.0,0.0,0.0,17.0,28.0
1762,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2035.5,4.0,1.0,0.0,75.0,0.0,92.5,0.0,0.0,0.0,15.0,0.0,10.0,2629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,107492.0,6.0,0.0,0.0,16.0,58.0
1763,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2927.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2762.0,0.0,3.0,5.0,18.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,12818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79878.0,0.0,0.0,0.0,11.0,57.0
1764,300.0,0.0,204.5,0.0,10.333333333333334,0.0,0.0,0.0,0.0,3593.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,6.0,7.0,64.0,1336.5,0.0,31.0,66.0,20.0,0.0,150.5,0.0,3.0,0.0,0.0,0.0,3.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,38.0,0.0,75125.0,0.0,0.0,0.0,405.0,58.333333333333336
1765,179.33333333333334,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,5215.0,4.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,77.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,12.0,1459.0,0.0,13.333333333333334,0.0,152.5,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,71111.0,0.0,0.0,0.0,454.0,0.0
1766,290.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3813.0,10.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,515.25,0.0,202.0,0.0,236.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,1409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70740.0,0.0,0.0,0.0,3019.0,62.666666666666664
1768,273.5,0.0,0.0,0.0,0.0,1671.0,0.0,0.0,0.0,3176.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.75,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,44.333333333333336,107.0,1380.0,0.0,69.0,0.0,236.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,72689.0,0.0,0.0,0.0,616.0,7.0
1769,381.75,0.0,0.0,0.0,24.0,4262.0,0.0,0.0,0.0,7794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.25,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1587.0,0.0,17.0,0.0,3.0,0.0,121.0,16.0,1.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,10.0,0.0,0.0,90722.0,0.0,0.0,0.0,1380.0,34.0
1771,33.666666666666664,0.0,0.0,0.0,28.0,4076.0,0.0,0.0,0.0,7529.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.5,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,0.0,21.0,37.0,124.0,2564.0,0.0,10.0,0.0,58.0,0.0,66.5,6.0,5.5,0.0,25.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,0.0,0.0,0.0,148701.0,17.0,0.0,0.0,626.0,0.0
sv,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.857142857142858,0.0,0.0,39.0,3.5,0.4,71.0,0.0,16.714285714285715,0.0,196.0,0.0,0.0,0.0,0.0,276.5,57.0,36.4,42.0,76.0,62.0,14.0,0.0,115.5,0.0,0.0,13187.117647058823,9.0,0.0,0.0,48.714285714285715,41.333333333333336
