year,Bar iron,Beans,Beef,Biscuits,Bread,Bread and flour,Cheese,Chocolate,Corn,Corn and peas,Cotton,Cotton wool,Deer Skin,Deer Skins,Deer skins (raw),Flax,Flaxseed,Flour,Furs and skins,Ginger,Handspikes,Heading,Heading (hhd),Headings and staves,Hemp,Hoops,Hoops (hhd),Hoops and heading,Indigo,Iron,Linen,Lumber,Molasses,Negroes,Oats,Peas,Peas/beans,Pig iron,Pitch,Pitch and turpentine,Plank,Planks,Pork,Potatoes,Rice,Rum,Rye,Salt,Shingles,Ship bread,Skins,Spirits,Spirits turpentine,Staves,Staves (barrel),Staves (barrels),Staves (hhds),Staves (pipes),Sugar,Tar,Tar and turpentine,Tea,Tobacco,Turpentine,Walnut logs,Wax,Wheat,Wine,Wood
1740,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3364.0,0.0,0.0,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,119.5,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32041.0,0.0,0.0,0.0,1139.0,7.5,0.0
1741,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,2173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3156.5,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,60.0,0.0,4.666666666666667,2.0,102.5,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,73871.0,0.0,0.0,0.0,542.0,11.333333333333334,0.0
1742,0.0,0.0,40.0,0.0,4.0,0.0,0.0,0.0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3182.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,50.0,0.0,6.0,1.0,380.5,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,4.0,172.0,0.0,0.0,50823.0,0.0,0.0,0.0,72.0,90.66666666666667,0.0
1743,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1558.0,3878.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,142.5,0.0,0.0,218.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,7.0,144.0,0.0,0.0,24877.0,0.0,0.0,0.0,105.0,0.0,0.0
1744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,240.5,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,30610.0,1.0,0.0,0.0,353.0,17.0,0.0
1745,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,2811.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,78.0,0.0,6.0,0.0,233.5,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,45287.0,48.0,0.0,0.0,240.0,31.0,0.0
1749,0.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,2440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1663.0,0.0,0.0,0.0,0.0,23.0,92.0,0.0,0.0,0.0,0.0,81.0,0.0,165.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59356.0,41.0,0.0,0.0,19.0,33.5,0.0
1750,0.0,2.0,56.0,246.0,0.0,0.0,0.0,0.0,4173.0,0.0,0.0,60.5,0.0,0.0,0.0,0.0,0.0,862.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,0.0,0.0,0.0,0.0,19.0,207.0,0.0,0.0,0.0,0.0,8.0,14.0,171.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,76348.0,6.0,0.0,0.0,443.0,4.0,0.0
1751,0.0,0.0,0.0,80.5,59.0,0.0,0.0,0.0,2372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,1635.0,0.0,0.0,35.0,0.0,82.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,69964.0,0.0,0.0,0.0,1681.0,40.0,0.0
1752,0.0,0.0,9.0,11.0,53.0,0.0,0.0,0.0,3862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,27.0,0.0,217.5,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,78574.0,0.0,0.0,0.0,968.0,216.0,0.0
1754,0.0,1.0,0.0,0.0,69.0,0.0,0.0,0.0,3883.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,11.0,0.0,206.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,0.0,0.0,0.0,0.0,37.0,538.0,170.0,0.0,90006.0,64.0,0.0,0.0,214.0,161.0,0.0
1755,0.0,0.0,103.0,0.0,113.0,0.0,0.0,0.0,2156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1876.0,27.0,0.0,9.0,0.0,221.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,67516.0,336.0,0.0,0.0,106.0,112.33333333333333,0.0
1756,264.0,0.0,105.0,0.0,103.5,0.0,0.0,0.0,4004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2534.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,329.0,0.0,0.0,3.0,6.0,189.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.0,0.0,0.0,0.0,83.5,13.0,0.0,0.0,50333.0,0.0,0.0,0.0,934.0,66.33333333333333,0.0
1758,181.0,17.0,21.0,51.0,48.0,0.0,0.0,0.0,1760.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5557.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,59.0,0.0,17.5,19.0,374.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.0,0.0,0.0,0.0,0.0,32.0,732.0,0.0,0.0,79113.0,13.0,0.0,0.0,2.0,236.0,0.0
1761,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3290.0,0.0,0.0,0.0,0.0,1.0,61.0,5.0,164.0,0.0,0.0,88.0,4.0,9309.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,80498.0,0.0,0.0,0.0,3.0,39.0,0.0
1762,0.0,9.0,0.0,0.0,146.0,0.0,0.0,0.0,4829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729.0,0.0,646.0,0.0,0.0,10.0,118.0,1.0,0.0,0.0,0.0,9.0,1.0,452.6666666666667,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78800.0,19.0,0.0,0.0,760.0,32.5,0.0
1764,30.0,3.0,0.0,0.0,58.75,29.0,0.0,0.0,3210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,0.0,0.0,0.0,95.0,61.0,0.0,0.0,0.0,0.0,52.0,0.0,196.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75150.0,0.0,0.0,0.0,927.0,23.75,0.0
1765,0.0,2.0,12.0,0.0,41.0,0.0,0.0,0.0,5690.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3368.0,0.0,97.0,0.0,0.0,136.0,222.0,0.0,0.0,0.0,0.0,23.0,3.0,84.0,0.0,0.0,225.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,607.5,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,75978.0,0.0,0.0,0.0,99.0,317.6666666666667,0.0
1768,142.0,24.0,0.0,0.0,95.5,0.0,0.0,0.0,5461.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0,180.66666666666666,0.0,0.0,2.0,0.0,1668.0,0.0,750.0,0.0,0.0,38.0,469.0,0.0,148.0,0.0,0.0,57.0,2.0,83.5,0.0,0.0,157.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,732.0,0.0,0.0,0.0,0.0,136.33333333333334,1.0,0.0,0.0,49298.0,34.0,0.0,0.0,411.0,160.0,0.0
1769,785.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4346.5,0.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,41.75,0.0,0.0,2.0,0.0,196.0,0.0,0.0,17.0,0.0,275.0,151.0,0.0,372.0,0.0,0.0,8.0,0.0,36.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,13.0,33245.0,0.0,0.0,0.0,1702.0,213.5,0.0
1771,407.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,6919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10437.0,5.0,77.0,0.0,4.0,123.0,1386.0,0.0,0.0,14.0,0.0,34.5,0.0,0.0,123.0,2.0,10.5,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,53979.5,0.0,0.0,0.0,216.0,0.0,0.0
