Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadaloupe,Jamaica,Montserrat,St. Christophers,Ste. Cruz,WI,,New Providence,Bermuda,Boston,Louisbourg,New York,North Carolina,Nova Scotia,Perth Amboy,Philadelphia,Piscataway,Rhode Island,Wilmington,NA,,London,Bristol,Liverpool,GB,,Belfast,Cork,IRE,,Bordeaux,NEU,,Gibraltar,Madeira,Teneriff,SEU,,TOTAL,
,,1763,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staves (barrels),,66.04,,0.00005,173,0.001908671,,,,,,,,0,0,,,200,,,,,,,,,,200,0,,,,0,0,,,0,0,,0,0,,,,0,0,200,0
Staves (hhds),,6.82,,0.001,173,0.003942197,29480,72170,,1500,,,,103150,407,,,4000,,,,,,7000,1050,,,12050,48,,,,0,0,,,0,0,40000,40000,158,,,,0,0,155200,613
Staves (pipes),,12.79,,0.001,173,0.007393064,,,,,,,,0,0,,,,,,,,,3000,,,,3000,22,,,,0,0,,,0,0,,0,0,,,,0,0,3000,22
Staves and heading,,6.82,,0.001,173,0.003942197,11260,45893,500,28364,4900,5100,,96017,379,,,2500,1700,,,,,,,,,4200,17,,7600,,7600,30,20000,,20000,79,,0,0,12612,,23000,35612,140,163429,645
Sugar,barrels,52.94,,0.15,173,4.59017341,,,,,,,,0,0,,,,,,18,,,,,,,18,83,,,,0,0,,,0,0,,0,0,,,,0,0,18,83
Sugar,tierces,52.94,,0.048928571,173,1.497270851,,,,,,,,0,0,,,,,,2,,,,,,,2,3,,,,0,0,,,0,0,,0,0,,,,0,0,2,3
Sugar,hhds,52.94,,0.632142857,173,19.34430223,,,,,,,,0,0,,,,,,,,,,,,,0,0,21,,,21,406,,,0,0,,0,0,,,,0,0,21,406
Tar,barrels,12.3,,0.05,173,0.355491329,,,,,,,,0,0,,,,10,,,,,,,,,10,4,,,,0,0,,,0,0,,0,0,,,,0,0,10,4
Tobacco,hhds,19.48,,0.5395,173,6.07483237,4,44,,,,,,48,292,,,,,,,,,,,,,0,0,6318,633,120,7071,42955,,,0,0,,0,0,,,,0,0,7119,43247
Turpentine,barrels,13.56,,0.05,173,0.391907514,,,,,,4,,4,2,,,,,40,,,,,,,,40,16,,,,0,0,,,0,0,,0,0,,,,0,0,44,18
Walnut plank,feet,10.912,,0.0005,173,0.003153757,,,,,,,,0,0,,,,,,,,,,,800,,800,3,,,,0,0,,500,500,2,,0,0,,,,0,0,1300,5
Walnut planks,,10.912,,0.005,173,0.031537572,,,,,,,,0,0,,,200,,,,,,,,,,200,6,,,,0,0,,,0,0,,0,0,,,,0,0,200,6
Walnut timber,feet,10.912,,0.0005,173,0.003153757,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,,202,202,1,,0,0,,,,0,0,202,1
Wheat,hhds,6.06,,0.35,173,1.226011561,,,,,,,,0,0,,,4,,,,,,,,,,4,5,,,,0,0,,,0,0,,0,0,,,,0,0,4,5
Wheat,bushels,6.06,,0.05,173,0.175144509,,,,,,,,0,0,,,,,,,,,,,1678,1621,3299,578,,,,0,0,,,0,0,,0,0,,,,0,0,3299,578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,15308,,,,,,,,,,,,,,4858,,,,,48071,,,,501,,,158,,,,,1420,,70316
