Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Surinam,WI,,Bermuda,Boston,North Carolina,Rhode Island,NA,,Aberdeen,Bideford,Bristol,Glasgow,London,GB,,Londonderry,IRE,,Lisbon,Madeira,SEU,,TOTAL,
Plank,M feet,7.456,,0.5,169.86,2.194748617,,6,,6,13,,,,,0,0,,,,,,0,0,3,3,7,,,0,0,9,20
Pork,barrels,69.97,,0.05,169.86,2.059637348,,3,,3,6,,,,,0,0,,,,,,0,0,,0,0,,,0,0,3,6
Rum,hhds,3.49,,5.25,169.86,10.78682444,,,,0,0,,,2,1,3,32,,,,,,0,0,,0,0,,,0,0,3,32
Salt,bushels,1.23,,0.05,169.86,0.036206288,,,,0,0,,,100,,100,4,,,,,,0,0,,0,0,,,0,0,100,4
Shingles,,,,,169.86,0,,10716,,10716,0,,,,,0,0,,,,,,0,0,,0,0,,,0,0,10716,0
Shingles,M,,,,169.86,0,51,14,,65,0,,,,,0,0,,,,,,0,0,,0,0,,,0,0,65,0
Ship bread,pounds,14.2,,0.000446429,169.86,0.003732065,,,,0,0,,,1000,,1000,4,,,,,,0,0,,0,0,,,0,0,1000,4
Ship bread,tierces,14.2,,0.11875,169.86,0.992729306,,,,0,0,,44,,,44,44,,,,,,0,0,,0,0,,,0,0,44,44
Staves,,4.66,,0.001,169.86,0.002743436,,,,0,0,,,,,0,0,,,,,17940,17940,49,,0,0,,,0,0,17940,49
Staves,M,4.66,,1,169.86,2.743435771,1,,,1,3,,,,,0,0,,,,,41,41,112,,0,0,,11,11,30,53,145
Staves (hhds),,4.66,,0.001,169.86,0.002743436,5600,19683,,25283,69,,,,,0,0,6500,8540,4893,,59070,79003,217,,0,0,,,0,0,104286,286
Staves (hhds),M,4.66,,1,169.86,2.743435771,,25,,25,69,,,,,0,0,,7,,12,14,33,91,,0,0,,,0,0,58,160
Staves (pipe),,6.5,,0.001,169.86,0.003826681,,,,0,0,,,,,0,0,,,,,1852,1852,7,,0,0,,,0,0,1852,7
Tobacco,hhds,20.19,,0.525,169.86,6.240286118,,5,,5,31,,,,,0,0,265,674,415,417,6304,8075,50390,,0,0,,,0,0,8080,50421
Tobacco,pounds,20.19,,0.0005,169.86,0.00594313,,4041,,4041,24,,,,,0,0,,,,,,0,0,,0,0,,,0,0,4041,24
Two inch oak plank,feet,7.456,,0.0005,169.86,0.002194749,,,,0,0,,,,,0,0,,150,,,,150,0,,0,0,,,0,0,150,0
Walnut,feet,7.456,,0.0005,169.86,0.002194749,,,,0,0,,,,,0,0,,,209.25,,,209.25,0,,0,0,,,0,0,209.25,0
Walnut plank,feet,7.456,,0.0005,169.86,0.002194749,,,,0,0,,,,,0,0,200,,,,1300,1500,3,,0,0,,,0,0,1500,3
Wheat,bushels,4.28,,0.05,169.86,0.125986106,,,,0,0,,7461,,900,8361,1053,,,,,,0,0,,0,0,2000,1849,3849,485,12210,1538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4233,,,,,,1721,,,,,,,54196,,,8,,,,515,,60673
