Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Granada,Hispaniola,Jamaica,Montserrat,St. Christophers,WI,,Boston,Charles Town,New York,Newfoundland,Newport,Pensacola,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Bideford,Bristol,Glasgow,GB,,Cork,Londonderry,IRE,,Alicant,Barcelona,Cadiz,Genoa,Leghorn,Lisbon,SEU,,TOTAL,
Pitch,barrels,17.25,,0.05,162.96,0.529270987,,,,,,,,,0,0,30,,,,,,,,,,30,16,,,,,0,0,,,0,0,,,,,,,0,0,30,16
Plank,feet,10.496,,0.0005,162.96,0.003220422,,95000,6000,40000,40000,,10000,,191000,615,,,,,,,,800,,,800,3,,3500,,,3500,11,,,0,0,,,1000,,,,1000,3,196300,632
Planks,,10.496,,0.005,162.96,0.032204222,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,,198,198,6,,,,,,,0,0,198,6
Pork,barrels,76.88,,0.05,162.96,2.35886107,,16,,,,,,,16,38,,,,,,,,,1,,1,2,,,,,0,0,,,0,0,,,,,,,0,0,17,40
Rum,hhds,3.02,,10.5,162.96,19.45876289,,,,,,,4,,4,78,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,0,0,4,78
Rye,bushels,3.29,,0.05,162.96,0.100945017,,,,,,,,,0,0,,,,,,,,,150,,150,15,,,,,0,0,,,0,0,,,,,,,0,0,150,15
Scantling,feet,10.496,,0.0005,162.96,0.003220422,,15000,,,,8000,,,23000,74,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,0,0,23000,74
Shingles,,,,,162.96,0,23400,161586,,40000,,17000,16000,9900,267886,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,0,0,267886,0
Skins,cases,,,,162.96,0,,,,,,,,,0,0,,,,,,,,,,,0,0,4,,,,4,0,,,0,0,,,,,,,0,0,4,0
Skins,boxes,,,,162.96,0,,,,,,,,,0,0,,,,,,,,,,,0,0,2,,,,2,0,,,0,0,,,,,,,0,0,2,0
Staves and heading,,6.56,,0.001,162.96,0.004025528,18250,59293,5000,27000,8000,5500,10000,17000,150043,604,4300,,,700,1200,,6000,,,,12200,49,182700,9000,21000,95229,307929,1240,40628,14600,55228,222,,,2000,,,10150,12150,49,537550,2164
Timber,small pieces,,,,162.96,0,2,,,,,,,,2,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,0,0,2,0
Tobacco,tierces,20.42,,,162.96,0,11,,,,,,,,11,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,0,0,11,0
Tobacco,hhds,20.42,,0.5715,162.96,7.161284978,5,,,,,,,,5,36,,,,,,,,,,,0,0,4767,116,711,,5594,40060,,,0,0,,,,,,,0,0,5599,40096
Walnut,pieces,10.496,,0.005,162.96,0.032204222,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,27,,27,1,,,,,,,0,0,27,1
Walnut logs,,,,,162.96,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,1,,1,0,,,0,0,,,,,,,0,0,1,0
Walnut plank,feet,10.496,,0.0005,162.96,0.003220422,,,,,,,,,0,0,,,,,,,,,,,0,0,770,,,,770,2,,,0,0,,,,,,,0,0,770,2
Walnut planks,,10.496,,0.005,162.96,0.032204222,,,,,,,,,0,0,,,,,,,,,,,0,0,,,9,,9,0,90,,90,3,,,,,,,0,0,99,3
Wheat,bushels,5.73,,0.05,162.96,0.175810015,,,,,,,,,0,0,2219,,20,,,,,2435,2200,,6874,1209,,16,,,16,3,7000,600,7600,1336,7500,38616,18007,4000,11500,,79623,13999,94113,16547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,8780,,,,,,,,,,,,8934,,,,,,43700,,,,3067,,,,,,,,19063,,83544
