Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,New York,Newcastle,Piscataway,Rhode Island,Salem,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,Greenock,Penryn,GB,,Cadiz,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
Iron,tons,8.59,,1,162.96,5.271232204,,,0,0,,,,,,0,0,50,15,,,123,8,,110,,,306,1613,,,,0,0,,0,0,306,1613
Oats,bushels,3.29,,0.05,162.96,0.100945017,388,,388,39,,,,,800,800,81,,,,,,,,,,,0,0,,,,0,0,,0,0,1188,120
Peas,hhds,3.29,,0.35,162.96,0.70661512,3,,3,2,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,3,2
Peas,casks,3.29,,0.175,162.96,0.35330756,,,0,0,,,,,,0,0,,,,,,,,,,,0,0,,,37,37,13,,0,0,37,13
Peas,bushels,3.29,,0.05,162.96,0.100945017,,2228,2228,225,,,,,210,210,21,,,,,,,,,,,0,0,87,444,,531,54,,0,0,2969,300
Pitch,barrels,17.25,,0.05,162.96,0.529270987,,,0,0,,199,,,25,224,119,,,,,,,,,,142,142,75,,,,0,0,,0,0,366,194
Plank,feet,10.496,,0.0005,162.96,0.003220422,1867,16348,18215,59,,,161,,1400,1561,5,9091,1400,,,18399,2882,,29726,450,200,62148,200,,,,0,0,,0,0,81924,264
Plank,pieces,10.496,,0.005,162.96,0.032204222,,,0,0,,,,,,0,0,222,,,,,,,,,20,242,8,,,,0,0,,0,0,242,8
Planks,,10.496,,0.005,162.96,0.032204222,,,0,0,,,,,,0,0,,,,,60,476,50,75,,67,728,23,,,,0,0,,0,0,728,23
Pork,pounds,76.88,,0.00025,162.96,0.011794305,,,0,0,,,,,1000,1000,12,,,,,,,,,,,0,0,,,,0,0,,0,0,1000,12
Pork,barrels,76.88,,0.05,162.96,2.35886107,12,,12,28,,,,,17,17,40,,,,,,,,,,,0,0,5,,,5,12,,0,0,34,80
Potatoes,bushels,,,,162.96,0,,,0,0,,,,200,,200,0,,,,,,,,,,,0,0,,,,0,0,,0,0,200,0
Rum,puncheons,3.02,,5.25,162.96,9.729381443,,,0,0,,,,,,0,0,,,,,,,,1,,,1,10,,,,0,0,,0,0,1,10
Rum,casks,3.02,,1.45,162.96,2.687162494,,,0,0,,,,,,0,0,,,,,,,,1,,,1,3,,,,0,0,,0,0,1,3
Rum,hhds,3.02,,5.25,162.96,9.729381443,,,0,0,,,,,,0,0,,,,,,,,3,1,,4,39,,,,0,0,,0,0,4,39
Rum,barrels,3.02,,1.45,162.96,2.687162494,,,0,0,,,,,,0,0,,1,,,,,,2,,,3,8,,,,0,0,,0,0,3,8
Shingles,,,,,162.96,0,24800,216700,241500,0,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,241500,0
Skins,bundles,,,,162.96,0,,,0,0,,,,,,0,0,1,,,,,,,,,,1,0,,,,0,0,,0,0,1,0
Skins,boxes,,,,162.96,0,,,0,0,,,,,,0,0,,,,,1,,,,,,1,0,,,,0,0,,0,0,1,0
Skins,,,,,162.96,0,,,0,0,,,,,,0,0,,,,,,56,,,,,56,0,,,,0,0,,0,0,56,0
Skins,hhds,,,,162.96,0,,,0,0,,,,,,0,0,33,1,,8,2,3,,61,35,,143,0,,,,0,0,,0,0,143,0
Staves,,6.56,,0.001,162.96,0.004025528,,100,100,0,,3000,,,,3000,12,82529,37710,5000,3890,50030,38500,4000,279700,44000,10000,555359,2236,1200,,,1200,5,9500,9500,38,569159,2291
Sugar,barrels,55.74,,0.15,162.96,5.130706922,,,0,0,,,,,,0,0,,,,,,,,1,,,1,5,,,,0,0,,0,0,1,5
Tar,barrels,11.9,,0.05,162.96,0.365120275,,,0,0,,743,,,50,793,290,,,,,,,,392,,20,412,150,,,,0,0,,0,0,1205,440
Tobacco,hhds,20.42,,0.552,162.96,6.916936672,8,14,22,152,,,,,,0,0,2471,1493,95,,1819,1877,112,8667,1696,404,18634,128890,,,,0,0,115,115,795,18771,129837
Turpentine,barrels,20.73,,0.05,162.96,0.636045655,,,0,0,,20,,,,20,13,,,,,,,,,,28,28,18,,,,0,0,,0,0,48,31
Wax,pounds,,,,162.96,0,,,0,0,,,,,,0,0,,,,,,,,,,,0,0,,2000,,2000,0,,0,0,2000,0
Wax,barrels,,,,162.96,0,,,0,0,,,,,,0,0,,,,,2,,,,,,2,0,,,,0,0,,0,0,2,0
Wax,hhds,,,,162.96,0,,,0,0,,,,,,0,0,1,,,,,,,,,,1,0,,,,0,0,,0,0,1,0
Wheat,bushels,5.73,,0.05,162.96,0.175810015,,,0,0,2130,,,512,300,2942,517,,,,,,,,,,,0,0,3400,25702,1530,30632,5385,,0,0,33574,5902
Wine,chests,48.92,,,162.96,0,,,0,0,,,,,,0,0,1,,,,,,,,,,1,0,,,,0,0,,0,0,1,0
Wine,pipes,48.92,,1,162.96,30.01963672,,,0,0,,1,,,,1,30,,,,,,,,,,,0,0,,,,0,0,,0,0,1,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2189,,,,,,,1902,,,,,,,,,,,,134501,,,,,6059,,,833,,145484
