Good,Unit,Price,Price,Conv,Exch,Price,Antigua,St. Christophers,WI,,New Providence,Bermuda,Nantucket,New York,Newport,Perth Amboy,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,Unknown,UNKN,,TOTAL,
Plank,feet,10.912,,0.0005,173,0.003153757,,,0,0,,,,300,,,,,,100,400,1,,,,,,2000,,1940,3940,12,,0,0,4340,13
Planks,,10.912,,0.005,173,0.031537572,,,0,0,,,,,,,,,,6,6,0,,71,,,,,,,71,2,,0,0,77,2
Pork,barrels,86.95,,0.05,173,2.51300578,12,26,38,95,75,53,,2,,25,,100,,89,344,864,,,,,,,,,0,0,,0,0,382,959
Pork,pounds,86.95,,0.00025,173,0.012565029,,,0,0,,900,,,,,,200,,300,1400,18,,,,,,,,,0,0,,0,0,1400,18
Potatoes,bushels,,,,173,0,,,0,0,,,,1500,,,,,,,1500,0,,,,,,,,,0,0,,0,0,1500,0
Rum,hhds,3.72,,5.25,173,11.28901734,,,0,0,,,,,,,,5.5,2,,7.5,85,,,,,,,,,0,0,,0,0,7.5,85
Rum,kegs,3.72,,0.725,173,1.558959538,,,0,0,,,,,,,,,5,,5,8,,,,,,,,,0,0,,0,0,5,8
Rum,barrels,3.72,,1.45,173,3.117919075,,,0,0,,,,,,,,2,3,,5,16,,,,,,,,,0,0,,0,0,5,16
Rum,gallons,3.72,,0.05,173,0.107514451,,,0,0,,,,,,,,,,103,103,11,,,,,,,,,0,0,,0,0,103,11
Shingles,,,,,173,0,20800,61200,82000,0,,,,7000,,,,,,,7000,0,,,,,,,,,0,0,,0,0,89000,0
Skins,bundles,,,,173,0,,,0,0,,,,,,,,,,30,30,0,,,,,,,,,0,0,,0,0,30,0
Skins,casks,,,,173,0,,,0,0,,,,,,,,,,,0,0,,,,,,,,1,1,0,,0,0,1,0
Skins,barrels,,,,173,0,,,0,0,,,,,,,,,,,0,0,,,,,,,,1,1,0,,0,0,1,0
Skins,boxes,,,,173,0,,,0,0,,,,,,,,,,,0,0,1,,,,,,,1,2,0,,0,0,2,0
Skins,hhds,,,,173,0,,,0,0,,,,,,,,,,5,5,0,36,4,,3,2,12,,56,113,0,,0,0,118,0
Staves,,6.82,,0.001,173,0.003942197,,1000,1000,4,,,,,500,,,5000,,1500,7000,28,122000,72400,6000,4200,33500,26500,12000,480900,757500,2986,,0,0,765500,3018
Tobacco,hhds,19.48,,0.561,173,6.316924855,4,,4,25,,1,,,,,,,20,,21,133,5737,1522,186,123,1074,1438,243,12280,22603,142781,,0,0,22628,142939
Tobacco,barrels,19.48,,0.2805,173,3.158462428,,,0,0,,,,,,,,,,,0,0,,,,,1,,,,1,3,,0,0,1,3
Wax,casks,,,,173,0,,,0,0,,,,,,,,,,,0,0,7,,,,,,,,7,0,,0,0,7,0
Wheat,bushels,6.06,,0.05,173,0.175144509,,,0,0,,,100,7160,,1188,2000,1620,700,300,13068,2289,,,,,,,,,0,0,2200,2200,385,15268,2674
Wine,quarter casks,49.34,,0.25,173,7.130057803,,,0,0,,,,,,,,,3,,3,21,,1,,,,,,,1,7,,0,0,4,28
Wine,hhds,49.34,,0.5,173,14.26011561,,,0,0,,,,,,,,,,,0,0,1,,,,,,,,1,14,,0,0,1,14
Wine,pipes,49.34,,1,173,28.52023121,,,0,0,,,,,,,,,,,0,0,3,,,,1,,,2,6,171,,0,0,6,171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,718,,,,,,,,,,,,8613,,,,,,,,,,146901,,,396,,156628
