Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,Halifax,New England,Philadelphia,Salem,NA,,London,Barrowstone,Bristol,Falmouth,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,Lisbon,Madeira,SEU,,TOTAL,
Heading,pieces,4.92,,0.001,168.35,0.002922483,,,0,0,500,,,,,,500,1,,,,,,,,,0,0,,,0,0,500,1
Hoops,,,,,168.35,0,,,0,0,,,,,,,0,0,,600,,,,,,300,900,0,,,0,0,900,0
Logs (walnut),,,,,168.35,0,,,0,0,,,,,,,0,0,,,,,,,,59,59,0,,,0,0,59,0
Oats,bushels,2.34,,0.05,168.35,0.069498069,,,0,0,239,,,,,,239,17,,,,,,,,,0,0,,,0,0,239,17
Peas,bushels,2.34,,0.05,168.35,0.069498069,774,1135.5,1909.5,133,54,144,,80,,,278,19,,,,,,,,,0,0,,181,181,13,2368.5,165
Pig iron,tons,7.67,,1,168.35,4.555984556,,,0,0,,,,,,,0,0,,,15,,,,,,15,68,,,0,0,15,68
Plank,feet,7.872,,0.0005,168.35,0.002337986,,,0,0,,49,,,,,49,0,120,,,90,400,1180,,342,2132,5,,,0,0,2181,5
Planks,,7.872,,0.005,168.35,0.023379863,,,0,0,,,,,,,0,0,,,40,,,,,,40,1,,,0,0,40,1
Pork,barrels,61.19,,0.05,168.35,1.817344817,177,973,1150,2090,273,75,,,,,348,632,,,,,,,,,0,0,,16,16,29,1514,2751
Pork,pounds,61.19,,0.00025,168.35,0.009086724,,,0,0,,,,150,25,,175,2,,,,,,,,,0,0,,,0,0,175,2
Rum,gallons,3.22,,0.05,168.35,0.095634096,,,0,0,,,,,,,0,0,111,,,,,,,,111,11,,,0,0,111,11
Rum,hhds,3.22,,5.25,168.35,10.04158004,,,0,0,,,,,,,0,0,,,1,,,,,1,2,20,,,0,0,2,20
Rum,small casks,3.22,,,168.35,0,,,0,0,,,,,,,0,0,,,,,,,,2,2,0,,,0,0,2,0
Shingles,,,,,168.35,0,,18500,18500,0,92000,,,,,,92000,0,,,,,,,,,0,0,,,0,0,110500,0
Skins,cases,,,,168.35,0,,,0,0,,,,,,,0,0,3,,,,,,,,3,0,,,0,0,3,0
Skins,hhds,,,,168.35,0,,,0,0,,,,,,,0,0,45,,8,,,12,,3,68,0,,,0,0,68,0
Skins,casks,,,,168.35,0,,,0,0,,,,,,,0,0,,1,1,,,,,,2,0,,,0,0,2,0
Skins,bundles,,,,168.35,0,,,0,0,,,,,,,0,0,,,1,,,,,,1,0,,,0,0,1,0
Staves,,4.92,,0.001,168.35,0.002922483,2000,200,2200,6,1200,,4000,,,,5200,15,97991,8000,32200,7900,14690,32450,22700,134000,349931,1023,2000,328,2328,7,359659,1051
Tar,barrels,10.67,,0.05,168.35,0.316899317,36,,36,11,,,,,,,0,0,,,620,,,431,,2,1053,334,,,0,0,1089,345
Tobacco,hhds,17.77,,0.533,168.35,5.626023166,,10,10,56,,,,,,,0,0,4392,292,1696,350,613,1235,919,3245,12742,71687,,,0,0,12752,71743
Tobacco,barrels,17.77,,0.2665,168.35,2.813011583,5,,5,14,,,,,,,0,0,,,,,,,,,0,0,,,0,0,5,14
Turpentine,barrels,17.9,,0.05,168.35,0.531630532,2,,2,1,,,,,,,0,0,,,,,,,,2,2,1,,,0,0,4,2
Wax,barrels,,,,168.35,0,,1,1,0,,,,,,,0,0,,,,,,,,,0,0,,,0,0,1,0
Wax,casks,,,,168.35,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,,1,1,0,1,0
Wax,boxes,,,,168.35,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,,1,1,0,1,0
Wheat,bushels,4.46,,0.05,168.35,0.132462132,,,0,0,,310,,5,878,,1193,158,,,,,,,,,0,0,,1534,1534,203,2727,361
Wine,quarter casks,28.96,,0.25,168.35,4.300564301,,,0,0,,,,,,,0,0,,,,,,,,1,1,4,,,0,0,1,4
Wine,barrels,28.96,,0.25,168.35,4.300564301,,,0,0,,,,,,,0,0,,,,,,,,1,1,4,,,0,0,1,4
Wine,pipes,28.96,,1,168.35,17.2022572,,4,4,69,,,,,,,0,0,1,,,,,,,10,11,189,,,0,0,15,258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4565,,,,,,,,2754,,,,,,,,,,73373,,,,4787,,85479
