Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Guadaloupe,Martinique,Monte Christi,St. Christophers,St. Martins,WI,,New Providence,Bermuda,Boston,New York,North Carolina,Philadelphia,Rhode Island,South Carolina,NA,,London,Bristol,GB,,Africa,AFR,,TOTAL,
Pork,barrels,85.63,,0.05,176.26,2.429082038,,,,,,,,,0,0,,,84,,250,,,110,444,1079,,,0,0,,0,0,444,1079
"Potatoes, apples, onions",barrels,,,,176.26,0,,,,,,,,,0,0,,,,,,,20,,20,0,,,0,0,,0,0,20,0
Rice,tierces,13.9,,,176.26,0,,,,,,,,,0,0,16,,,,,,,,16,0,,,0,0,,0,0,16,0
Rice,barrels,13.9,,,176.26,0,,,,,,,,,0,0,,,,,,,,24,24,0,,,0,0,,0,0,24,0
Rum,hhds,3.94,,5.25,176.26,11.73550437,,,,,,,64,,64,751,,20,,4,,,13,,37,434,,,0,0,,0,0,101,1185
Rum,gallons,3.94,,0.05,176.26,0.111766708,,3452,25657,3500,7150,,5000,,44759,5003,,1600,6258,,100,770,1032,,9760,1091,,,0,0,,0,0,54519,6094
Salt,bushels,2.86,,0.05,176.26,0.081130149,1300,,,,,,1300,900,3500,284,,500,,,,1662,,,2162,175,,,0,0,,0,0,5662,459
Servants,,12.94909091,,1,100,12.94909091,,,,,,,,,0,0,,,,,,,,,0,0,11,,11,142,,0,0,11,142
Shingles,,,,,176.26,0,,,,,,,,,0,0,,,,,2000,,,,2000,0,,,0,0,,0,0,2000,0
Ship timber,pieces,,,,176.26,0,,,,,,,,,0,0,,226,,,,,,,226,0,,,0,0,,0,0,226,0
Spirits,barrels,3.94,,1.45,176.26,3.24123454,,,,,,,,,0,0,,,,,,,4,,4,13,,,0,0,,0,0,4,13
Staves,,8.89,,0.001,176.26,0.005043685,,,,,,,,,0,0,,,,,,500,,,500,3,,,0,0,,0,0,500,3
Staves and heading,,8.89,,0.001,176.26,0.005043685,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,0,0,0,0
Sugar,casks,52.15,,0.149553571,176.26,4.424837598,,,,,,,,,0,0,,,,,,,2,,2,9,,,0,0,,0,0,2,9
Sugar,hhds,52.15,,0.632142857,176.26,18.70319415,,,,,,,,,0,0,6,,,,,1,2,,9,168,,,0,0,,0,0,9,168
Sugar,pounds,52.15,,0.000446429,176.26,0.01320847,,,,,,,,,0,0,,,,633,,,,,633,8,,,0,0,,0,0,633,8
Sugar,barrels,52.15,,0.15,176.26,4.438046068,,,,16,,,,,16,71,,,,,,7,5,,12,53,,,0,0,,0,0,28,124
Tar,barrels,10.04,,0.05,176.26,0.284806536,,,,,,,,,0,0,,,200,,622,,,155,977,278,,,0,0,,0,0,977,278
Turpentine,barrels,13.27,,0.05,176.26,0.376432543,,,,,,,,,0,0,,,13,,68,,,12,93,35,,,0,0,,0,0,93,35
Vedonia wine,quarter casks,50.79,,0.25,176.26,7.20384659,,,,,,,,,0,0,,,8,,,,,,8,58,,,0,0,,0,0,8,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,7403,,,,,,,,,,4924,,,,2926,,,2849,,18102
