Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,Nevis,St. Cruz,St. Eustatia,St. Kitts,St. Martins,St. Vincents,Tortola,WI,,New Providence,Tortuga,Boston,Falmouth NE,New England,New Jersey,Newcastle DE,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,GB,,Cork,Dublin,Galway,Londonderry,Newry,Sligo,Waterford,IRE,,Madeira,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitch,barrels,12.19,,0.05,165.69,0.367855634,,,,,,,,,,,,,,,0,0,,,,,,,,350,,,,350,129,,,,0,0,,,,,,,,0,0,,0,0,350,129
Plank,feet,10.832,,0.0005,165.69,0.003268755,,,,,,,,,,,,,,,0,0,,,,,,,,,1500,,,1500,5,,,,0,0,,,,,,,,0,0,,0,0,1500,5
Pork,barrels,77.04,,0.05,165.69,2.324823466,,,,,,,,,,,,,,,0,0,,,,,,,,162,31,,,193,449,,,,0,0,,,,,,,,0,0,,0,0,193,449
Potatoes,bushels,,,,165.69,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,20,,20,0,,,,0,0,,,,,,,,0,0,,0,0,20,0
Refined sugar,pounds,0.97,,0.05,165.69,0.029271531,,,,,,,,,,,,,,,0,0,,,220,,,,,,,,,220,6,,,,0,0,,,,,,,,0,0,,0,0,220,6
Rice,casks,16.86,,,165.69,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,5,,5,0,,,,0,0,,,,,,,,0,0,,0,0,5,0
Rice,tierces,16.86,,,165.69,0,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,,1,0,,,,0,0,,,,,,,,0,0,,0,0,1,0
Rum,hhds,3.35,,5.25,165.69,10.61470215,,,,,,,,,,,34,,,,34,361,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,0,0,34,361
Rum,gallons,3.35,,0.05,165.69,0.101092401,13066,22535,1650,19485,,2946,10930,720,,,18440,,,8100,97872,9894,,,47050,,1132,,,,1547,19210,65,69004,6976,,,,0,0,,,,,,,,0,0,,0,0,166876,16870
Salt,tierces,1.6,,,165.69,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,3,,3,0,,,,0,0,,,,,,,,0,0,,0,0,3,0
