Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,St. Christophers,Virgin Islands,WI,,Boston,Halifax,New London,New York,Newfoundland,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bideford,Bristol,GB,,Cork,IRE,,Madeira,SEU,,TOTAL,
Molasses,tierces,2,,3.05,168.35,3.623403623,,,,,,,0,0,,,,,,,1,,,1,4,,,,0,0,,0,0,,0,0,1,4
Molasses,gallons,2,,0.05,168.35,0.059400059,,,,800,,1400,2200,131,,,,600,700,,600,600,400,2900,172,,,,0,0,,0,0,,0,0,5100,303
Muscovado sugar,pounds,50.85,,0.000446429,168.35,0.013484344,362,,28632,,,,28994,391,,,,,,,,,250,250,3,,,,0,0,,0,0,,0,0,29244,394
Muscovado sugar,barrels,50.85,,0.15,168.35,4.530739531,,,8,,,,8,36,,,,,,,,,3,3,14,,,,0,0,,0,0,,0,0,11,50
Negroes,,33.1,,1,100,33.1,,,11,4,10,,25,828,,,4,,,,,,,4,132,,,,0,0,,0,0,,0,0,29,960
Pitch,barrels,15.71,,0.05,168.35,0.466587467,,,,,,,0,0,,,,,,17,,,,17,8,,,,0,0,,0,0,,0,0,17,8
Pork,barrels,61.19,,0.05,168.35,1.817344817,,,,,,,0,0,,,,,,30,,,,30,55,,,,0,0,,0,0,,0,0,30,55
Rum,hhds,3.22,,5.25,168.35,10.04158004,,3,15,,,,18,181,5,,5,,,,12,,,22,221,,,,0,0,,0,0,,0,0,40,402
Rum,gallons,3.22,,0.05,168.35,0.095634096,,1489,33120,200,500,100,35409,3386,,400,,200,2000,,2600,1300,760,7260,694,,,,0,0,,0,0,,0,0,42669,4080
Salt,hhds,1.55,,0.35,168.35,0.322245322,,,,,,,0,0,,11,,,,,,,12,23,7,,,,0,0,,0,0,,0,0,23,7
Salt,bushels,1.55,,0.05,168.35,0.046035046,2000,,2400,,,1400,5800,267,,,80,,,,1000,,,1080,50,,,,0,0,,0,0,,0,0,6880,317
Servants,,12.03636364,,1,100,12.03636364,,,,,,,0,0,,,,,,,,,,0,0,,,16,16,193,39,39,469,,0,0,55,662
Skins,pounds,,,,168.35,0,,,,,,,0,0,,,,,,390,,,,390,0,,,,0,0,,0,0,,0,0,390,0
Sugar,hhds,50.85,,0.609375,168.35,18.40612934,,,,,,,0,0,,,,,,,12,,,12,221,,,,0,0,,0,0,,0,0,12,221
Sugar,barrels,50.85,,0.15,168.35,4.530739531,,,18,,,,18,82,3,,,,,,9800,,,9803,44415,,,,0,0,,0,0,,0,0,9821,44497
Sugar,pounds,50.85,,0.000446429,168.35,0.013484344,,,1500,,,3200,4700,63,,,,,4500,,,1179,,5679,77,,,,0,0,,0,0,,0,0,10379,140
Tar,barrels,10.67,,0.05,168.35,0.316899317,,,,,,,0,0,,,,,,133,,,,133,42,,,,0,0,,0,0,,0,0,133,42
Tea,cases,,,,168.35,0,,,,,,,0,0,,,,,,,1,,,1,0,,,,0,0,,0,0,,0,0,1,0
Turpentine,barrels,17.9,,0.05,168.35,0.531630532,,,,,,,0,0,,,,,,28,,,,28,15,,,,0,0,,0,0,,0,0,28,15
Vedonia wine,pipes,28.96,,1,168.35,17.2022572,,,,,,,0,0,,2,,,,,,,,2,34,,,,0,0,,0,0,,0,0,2,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,5952,,,,,,,,,,,46752,,,,,2035,,,469,,,503,,55711
