Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Grenadoes,Hispaniola,Jamaica,Montserrat,St. Croix,St. Eustatia,St. Kitts,St. Martins,St. Thomas,St. Vincents,Tortola,WI,,New Providence,Turks Island,Bermuda,Boston,Falmouth,Lewis Town,New York,Newcastle DE,North Carolina,Philadelphia,Piscataqua,Plymouth,Rhode Island,Salem,St. Augustine,NA,,London,Bristol,Liverpool,Newcastle,GB,,Belfast,Cork,Dublin,Galway,Larne,Limerick,Londonderry,Newry,Waterford,IRE,,Isle of May,Madeira,SEU,,TOTAL,
,,1774,,,,Sterling,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molasses,gallons,1.79,,0.05,169.46,0.052814824,,,,,,,,,,2425,,,,2425,128,,,,,,,805,,,1024,21980,900,4680,7502,,36891,1948,,,,,0,0,,,,,,,,,,0,0,,,0,0,39316,2076
Molasses,casks,1.79,,3.05,169.46,3.221704237,,,,,16,,,,,,,,,16,52,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,16,52
Molasses,barrels,1.79,,1.45,169.46,1.531629883,,,,43,,,,,,,,,,43,66,,,,,,,,,,1,,,,,,1,2,,,,,0,0,,,,,,,,,,0,0,,,0,0,44,68
Muscovado sugar,pounds,55.56,,0.000446429,169.46,0.01463683,,,,,,,,,,,,,12800,12800,187,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,12800,187
Peas,tierces,2.83,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,1,,,,,,1,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,1,0
Peas,bushels,2.83,,0.05,169.46,0.083500531,,,,,,,,,,,,,,0,0,,,,,,,,,200,,,,,,,200,17,,,,,0,0,,,,,,,,,,0,0,,,0,0,200,17
Pig iron,tons,8.42,,1,169.46,4.968724183,,,,,,,,,,,,,,0,0,,,,,,,,,,4,,,,,,4,20,,,,,0,0,,,,,,,,,,0,0,,,0,0,4,20
Pimento,pounds,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,400,,,,,,400,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,400,0
Pimento,bags,,,,169.46,0,,,,,8,,,,,,,,,8,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,8,0
Pitch,barrels,15.13,,0.05,169.46,0.446418034,,,,,,,,,,,,,,0,0,,,,,,,,,25,,,,,,,25,11,,,,,0,0,,,,,,,,,,0,0,,,0,0,25,11
Pork,barrels,69.5,,0.05,169.46,2.050631417,,,,,,,,,,,,,,0,0,,,,,,,,,702,,,,,,,702,1440,,,,,0,0,,,,,,,,,,0,0,,,0,0,702,1440
Rice,casks,16.92,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1,,,,1,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,1,0
Rice,tierces,16.92,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,3,,,,,,,,,3,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,3,0
Rum,quarter casks,3.03,,,169.46,0,,,,,,,,,,,,,,0,0,,,,2,,,,,,,,,,,,2,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,2,0
Rum,hhds,3.03,,5.25,169.46,9.387171014,,,,,,,,,50,,,,,50,469,,,,,,,,,,70,,,,,,70,657,,,,,0,0,,,,,,,,,,0,0,,,0,0,120,1126
Rum,gallons,3.03,,0.05,169.46,0.089401629,23040,27705,7290,,32583,1030,,,16460,,1900,6480,2900,119388,10673,400,1080,,27483,,,9165,,,500,4320,6396,4780,44940,,99064,8856,,,,,0,0,,,,,,,,,,0,0,,,0,0,218452,19529
Salt,hhds,1.715,,0.35,169.46,0.354213384,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,35,,35,12,,,,,0,0,,,,,,,,,,0,0,,,0,0,35,12
Salt,bushels,1.715,,0.05,169.46,0.050601912,,,,,,,,500,,,,,,500,25,275,3400,3000,150,,23577,600,5000,,21956,,,,1926,,59884,3030,,13702,49863,,63565,3217,,,,,6880,,,,,6880,348,23000,,23000,1164,153829,7784
Servants,,16.02909091,,1,100,16.02909091,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,910,103,15,68,1096,17568,50,221,543,95,42,96,14,28,82,1171,18770,,,0,0,2267,36338
Shingles,,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,426245,,,,,,,426245,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,426245,0
Spirits,gallons,3.03,,0.05,169.46,0.089401629,,,,,,,,,,,,,,0,0,,,,,,,1370,,,,,,,,,1370,122,,,,,0,0,,,,,,,,,,0,0,,,0,0,1370,122
Sugar,hhds,55.56,,0.646875,169.46,21.20876608,,,,,,,,,,,8,,45,53,1124,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,53,1124
Sugar,tierces,55.56,,0.495089286,169.46,16.23224402,,,,,4,,,,,14,,,,18,292,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,18,292
Sugar,pounds,55.56,,0.000446429,169.46,0.01463683,,19020,,,46200,10500,,,,6750,,,,82470,1207,1700,,,,,,1064,,,,,,2576,,,5340,78,,,,,0,0,,,,,,,,,,0,0,,,0,0,87810,1285
Sugar,barrels,55.56,,0.15,169.46,4.917974743,,,,,,,20,,,5,,,1,26,128,,,,,,,,,,2,,,,,,2,10,,,,,0,0,,,,,,,,,,0,0,,,0,0,28,138
Tar,barrels,13.81,,0.05,169.46,0.40747079,,,,,,,,,,,,,,0,0,,,,,,,,,258,,,,,,,258,105,,,,,0,0,,,,,,,,,,0,0,,,0,0,258,105
Turpentine,barrels,19.17,,0.05,169.46,0.565620205,,,,,,,,,,,,,,0,0,,,,,,,,,25,,,,,,,25,14,,,,,0,0,,,,,,,,,,0,0,,,0,0,25,14
Wine,pipes,55.17,,1,169.46,32.55635548,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1,1,33,,,,,0,0,,,,,,,,,,0,0,,32,32,1042,33,1075
Wine,quarter casks,55.17,,0.25,169.46,8.139088871,,,,,,,,,,,,,,0,0,,,,,509,,,,,12,,,,,1,522,4249,,,,,0,0,,,,,,,,,,0,0,,,0,0,522,4249
Wine,gallons,55.17,,0.007936508,169.46,0.258383774,,,,,,,,,,,,,,0,0,,,,518,,,3162,,,,,,,300,,3980,1028,,,,,0,0,,,,,,,,,,0,0,,,0,0,3980,1028
Wine,hampers,55.17,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,60,,,,,,60,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,60,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,,16320,,,,,,,,,,,,,,,,,22973,,,,,,28912,,,,,,,,,,,19190,,,,2206,,89601
