Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Cape Nicholas,Essquibo,Grenada,Grenadoes,Hispaniola,Jamaica,Montserrat,Nevis,St. Croix,St. Eustatia,St. Kitts,St. Lucia,St. Martins,Tobago,Tortola,WI,,New Providence,Turks Island,Boston,New Castle,New York,North Carolina,Philadelphia,Piscataqua,Plymouth NE,Rhode Island,Salem DE,Salem,South Carolina,NA,,London,Bristol,Liverpool,GB,,Milford,Belfast,Cork,Dublin,Limerick,Londonderry,Waterford,IRE,,Isle of May,Madeira,SEU,,TOTAL,
Brown sugar,tierces,50.02,,0.495089286,166.27,14.89406752,,,,,,,,,,,,,,,,,,,0,0,,,3,,,,,,,,,,,3,45,,,,0,0,,,,,,,,0,0,,,0,0,3,45
Brown sugar,pounds,50.02,,0.000446429,166.27,0.013430178,,,,,,,,,,,,,13192,,6000,,,,19192,258,,,5192,,,,,,,,,8414,,13606,183,,,,0,0,,,,,,,,0,0,,,0,0,32798,441
Cheese,hhds,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,2,,,,,,,,,,,2,0,,,,0,0,,,,,,,,0,0,,,0,0,2,0
Cheese,pounds,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,1350,,2000,,,,,,,,,3350,0,,,,0,0,,,,,,,,0,0,,,0,0,3350,0
Cheese,cwt,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,33,,,,33,0,,,,0,0,,,,,,,,0,0,,,0,0,33,0
Cheese,,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,25,,,,,,,,,,,25,0,,,,0,0,,,,,,,,0,0,,,0,0,25,0
Cheese,casks,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,1,,,,6,,,,,,,7,0,,,,0,0,,,,,,,,0,0,,,0,0,7,0
Chocolate,boxes,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,41,,,,,,,,,,,41,0,,,,0,0,,,,,,,,0,0,,,0,0,41,0
Chocolate,pounds,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,80,,80,0,,,,0,0,,,,,,,,0,0,,,0,0,80,0
Coffee,cwt,,,,166.27,0,,,,,,,,,8,,,,,,,,,,8,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,8,0
Coffee,pounds,,,,166.27,0,,,,,,,,,20,,,,,,,,,,20,0,2000,,,,1255,,,,,,,,,3255,0,,,,0,0,,,,,,,,0,0,,,0,0,3275,0
Coffee,quarters,,,,166.27,0,,,,,,,,,3,,,,,,,,,,3,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,3,0
Coffee,bags,,,,166.27,0,,,,,,,,,,,,,12,,,,,,12,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,12,0
Coffee,barrels,,,,166.27,0,,,,,,,,2,,,,,,,,,,,2,0,,,,,,,1,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,3,0
Convicts,,16.02909091,,1,100,16.02909091,,,,,,,,,,,,,,,,,,,0,0,,,,25,,,,,,,,,,25,401,303,240,15,558,8944,,,,,,,,0,0,,,0,0,583,9345
Cotton,bags,1.44,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,1,,4,,,,,,,5,0,,,,0,0,,,,,,,,0,0,,,0,0,5,0
Cotton,sacks,1.44,,,166.27,0,,,,,,,,,,,,,3,,,,,,3,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,3,0
Cotton,bales,1.44,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,1,,3,,,,,,,4,0,,,,0,0,,,,,,,,0,0,,,0,0,4,0
Cotton,pounds,1.44,,0.05,166.27,0.043303061,,,,,,,,,370,,,,,,,,,,370,16,200,,,,,,,,,,,,,200,9,,,,0,0,,,,,,,,0,0,,,0,0,570,25
Cotton,boxes,1.44,,,166.27,0,,,,,,,,,,,2,,,,,,,,2,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,2,0
Cotton wool,bags,1.44,,6,166.27,5.196367354,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,,,,1,5,,,,0,0,,,,,,,,0,0,,,0,0,1,5
Cotton wool,pounds,1.44,,0.05,166.27,0.043303061,2000,,,,,,,,,,,,,,,,,4800,6800,294,1800,,,,,,,,,,,,,1800,78,,,,0,0,,,,,,,,0,0,,,0,0,8600,372
Deer Skin,pounds,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,100,,,,,,,,100,0,,,,0,0,,,,,,,,0,0,,,0,0,100,0
Deer Skin,sets,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,15,,,,,,,,15,0,,,,0,0,,,,,,,,0,0,,,0,0,15,0
Flour,barrels,18.92,,0.089285714,166.27,1.015989484,,,,,,,,,,,,,,,,,,,0,0,,,,,,,30,,,,,,,30,30,,,,0,0,,,,,,,,0,0,,,0,0,30,30
Hides,,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,100,,,,,,,100,0,,,,0,0,150,,,,,,,150,0,,,0,0,250,0
Hides (raw),,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,100,,,,,,,100,0,,,,0,0,,,,,,,,0,0,,,0,0,100,0
Iron,tons,8.35,,1,166.27,5.021952246,,,,,,,,,,,,,,,,,,,0,0,,,,,1,,,,,,,,,1,5,,,,0,0,,,,,,,,0,0,,,0,0,1,5
Leather,bundles,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,3,,,,27,,,,,,,30,0,,,,0,0,,,,,,,,0,0,,,0,0,30,0
Leather,cwt,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,5,,,,,,,,,,,5,0,,,,0,0,,,,,,,,0,0,,,0,0,5,0
Leather,sides,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,141,,,,3,,,,,,,144,0,,,,0,0,,,,,,,,0,0,,,0,0,144,0
Leather,pounds,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,550,,,,,,,,,,,550,0,,,,0,0,,,,,,,,0,0,,,0,0,550,0
Leather (sole),sides,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,30,,,,,,,,,,150,180,0,,,,0,0,,,,,,,,0,0,,,0,0,180,0
Leather (sole),pounds,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,2215,,,,,,,,,,,2215,0,,,,0,0,,,,,,,,0,0,,,0,0,2215,0
Leather (sole),cwt,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,19,,,,,,,,,,,19,0,,,,0,0,,,,,,,,0,0,,,0,0,19,0
Linen,boxes,,,,166.27,0,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,1,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,2,0
Linen,yards,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,0,0,,,691,1476,,4620,,6787,0,,,0,0,6787,0
Linen,trunk,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,1,,,,,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,1,0
Loaf sugar,cwt,0.93,,5.6,166.27,3.132254766,,,,,,,,,,,,,,,,,,,0,0,,,,,3,,,,,7,,,,10,31,,,,0,0,,,,,,,,0,0,,,0,0,10,31
Loaf sugar,hhds,0.93,,25,166.27,13.98328021,,,,,,,,,,,,,,,,,,,0,0,,,,,,,7,,,,,,,7,98,,,,0,0,,,,,,,,0,0,,,0,0,7,98
Loaf sugar,barrels,0.93,,6.25,166.27,3.495820052,,,,,,,,,,,,,,,,,,,0,0,,,,,,,1,,,,,,,1,3,,,,0,0,,,,,,,,0,0,,,0,0,1,3
Loaf sugar,casks,0.93,,6.25,166.27,3.495820052,,,,,,,,,,,,,,,,,,,0,0,,,,,1,,,,,,,,,1,3,,,,0,0,,,,,,,,0,0,,,0,0,1,3
Loaf sugar,pounds,0.93,,0.05,166.27,0.02796656,,,,,,,,,,,,,,,,,,,0,0,,,20333,,,,582,,,,,,,20915,585,,,,0,0,,,,,,,,0,0,,,0,0,20915,585
Mahogany,pieces,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,10,,,,,,,10,0,,,,0,0,,,,,,,,0,0,,,0,0,10,0
Mahogany boards,feet,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,1100,,,,,,,,,,,,,1100,0,,,,0,0,,,,,,,,0,0,,,0,0,1100,0
Molasses,gallons,1.74,,0.05,166.27,0.052324532,720,,,,,,,1234,400,,,,1500,,,,,,3854,202,,,23756,,2410,,900,11100,1100,8720,,2175,,50161,2625,,,,0,0,,,,,,,,0,0,,,0,0,54015,2827
Molasses,hhds,1.74,,5.05,166.27,5.284777771,,,,20,50,,,62,,,,,25,3,56,,,,216,1142,,,44,,,,6,,,,,,,50,264,,,,0,0,,,,,,,,0,0,,,0,0,266,1406
Molasses,barrels,1.74,,1.45,166.27,1.517411439,,,,4,,,,20,,,,,,,,,,,24,36,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,24,36
Molasses,tierces,1.74,,3.05,166.27,3.191796476,,,,40,14,,,41,,,,,,,,,,,95,303,,,21,,,,,,,,,,,21,67,,,,0,0,,,,,,,,0,0,,,0,0,116,370
Muscovado sugar,barrels,50.02,,0.15,166.27,4.512539845,,,,,,,,,,,,,,,,,,,0,0,,,,,,,3,,,,,,,3,14,,,,0,0,,,,,,,,0,0,,,0,0,3,14
Muscovado sugar,pounds,50.02,,0.000446429,166.27,0.013430178,,,,,,,,,,,,,,,,,,5850,5850,79,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,5850,79
Negroes,,44.08,,1,100,44.08,,,,,,,,,,,,,3,2,,,,,5,220,,,,,,,1,,,,,,,1,44,,,,0,0,,,,,,,,0,0,,,0,0,6,264
Peas,barrels,3.14,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,1,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,1,0
Peas,bushels,3.14,,0.05,166.27,0.094424731,,,,,,,,,,,,,,,,,,,0,0,,,,,101,100,,,,,,,,201,19,,,,0,0,,,,,,,,0,0,,,0,0,201,19
Peas,tierces,3.14,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,2,,,,,,,,,2,0,,,,0,0,,,,,,,,0,0,,,0,0,2,0
Pepper,casks,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,1,,,,,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,1,0
Pepper,barrels,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,1,,,,,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,1,0
Pepper,bag,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,1,,,,,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,1,0
Pine boards,feet,9.552,,0.0005,166.27,0.002872436,,,,,,,,,,,,,,,,,,,0,0,,,58300,,,,,,,,,,,58300,167,,,,0,0,,,,,,,,0,0,,,0,0,58300,167
Pork,barrels,83.97,,0.05,166.27,2.525109761,,,,,,,,,,,,,,,,,,,0,0,,,3,,76,372,10,,,,,,,461,1164,,,,0,0,,,200,215,,,,415,1048,,,0,0,876,2212
Pot iron,tons,8.35,,1,166.27,5.021952246,,,,,,,,,,,,,,,,,,,0,0,,,1,,,,,,,,,,,1,5,,,,0,0,,,,,,,,0,0,,,0,0,1,5
Potatoes,casks,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,6,,,,6,0,,,0,0,6,0
Potatoes,bushels,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,50,,100,20,,,,170,0,,,,0,0,,,,,,,,0,0,,,0,0,170,0
Rice,tierces,18.34,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,3,,,,,,,3,0,,,,0,0,,,,,,,,0,0,,,0,0,3,0
Rice,pounds,18.34,,0.000446429,166.27,0.00492422,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,10500,10500,52,,,,0,0,,,,,,,,0,0,,,0,0,10500,52
Rice,casks,18.34,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,4,,,,,,,,,4,0,,,,0,0,,,,,,,,0,0,,,0,0,4,0
Rum,puncheons,3.25,,5.25,166.27,10.26192338,,,,45,,,,,20,,,,,,,,,,65,667,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,65,667
Rum,hhds,3.25,,5.25,166.27,10.26192338,,,,,,,,,,,,,,,,,,,0,0,,,,,,,8,,,,,,,8,82,,,,0,0,,,,,,,,0,0,,,0,0,8,82
Rum,gallons,3.25,,0.05,166.27,0.097732604,,9300,7200,500,,4860,3690,,11077,9000,6300,,5025,4700,1080,1080,990,7420,72222,7058,,,147056,,7134,,430,,6558,6300,,6966,,174444,17049,,,,0,0,,,,,107,,,107,10,,,0,0,246773,24117
Salt,bushels,1.117246377,,0.05,166.27,0.033597353,1000,1200,,,,,,,800,,,,,50,,6150,,255,9455,318,,8700,197,,11300,,16268,,25,400,,10,,36900,1240,,8320,41357,49677,1669,11200,5560,4218,,,,,20978,705,4000,,4000,134,121010,4066
Servants,,16.02909091,,1,100,16.02909091,,,,,,,,,,,,,,,,,,,0,0,,,,16,,,,,,,,,,16,256,274,17,41,332,5322,,9,64,359,54,10,20,516,8271,,83,83,1330,947,15179
Shingles,,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,376210,,,,,160000,,,536210,0,,,,0,0,,,,,,,,0,0,,,0,0,536210,0
Spirits,gallons,3.25,,0.05,166.27,0.097732604,,,,,,,,,,,,,,,,,,,0,0,,,215,,650,,,,,,,,,865,85,,,,0,0,,,,,,,,0,0,,,0,0,865,85
Spirits,kegs,3.25,,0.725,166.27,1.417122752,,,,,,,,,,,,,,,,,,,0,0,,,,,15,,,,,,,,,15,21,,,,0,0,,,,,,,,0,0,,,0,0,15,21
Spirits,barrels,3.25,,1.45,166.27,2.834245504,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,3,,,,3,9,,,,0,0,,,,,,,,0,0,,,0,0,3,9
Staves,,5.97,,0.001,166.27,0.003590545,,,,,,,,,,,,,,,,,,,0,0,,,,,,,17500,,,,,,,17500,63,,,,0,0,,,,,,,,0,0,,,0,0,17500,63
Sugar,kilderkins,50.02,,,166.27,0,,,,,,,,,,,,,,5,,,,,5,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,5,0
Sugar,tierces,50.02,,0.495089286,166.27,14.89406752,,,,,25,,,1,2,,,,,,,,,,28,417,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,28,417
Sugar,hhds,50.02,,0.646875,166.27,19.46032808,,,,,,,,,2,,,,,,,,,,2,39,,,,,,,3,,,,,,,3,58,,,,0,0,,,,,,,,0,0,,,0,0,5,97
Sugar,pounds,50.02,,0.000446429,166.27,0.013430178,1568,3400,,,,,,,12700,,12700,5707,,,,,,8000,44075,592,,,400,,,,11458,,,500,,,,12358,166,,,,0,0,,,,,,,,0,0,,,0,0,56433,758
Sugar,barrels,50.02,,0.15,166.27,4.512539845,,,,,,,,,,,,,14,,,,,,14,63,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,14,63
Tar,barrels,13.79,,0.05,166.27,0.414686955,,,,,,,,,,,,,6,,,,,,6,2,,,,,,31,18,,,,,,,49,20,,,,0,0,,,,,,,,0,0,,,0,0,55,22
Tea,pounds,4.6,,0.05,166.27,0.138329224,,,,,,,350,,,,,,,,,,,,350,48,,,,,,,,,,40,,,,40,6,,,,0,0,,,,,,,,0,0,,,0,0,390,54
Turpentine,barrels,18.29,,0.05,166.27,0.550009021,,,,,,,,,,,,,6,,,,,,6,3,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,6,3
Wine,pipes,56.75,,1,166.27,34.13123233,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,14,14,478,14,478
Wine,quarter casks,56.75,,0.25,166.27,8.532808083,,,,,,,,,,,,,,,,,,,0,0,,,,,,,4,,,1,,,,5,43,,,,0,0,,,,,,,,0,0,,1,1,9,6,52
Wine,tierces,56.75,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,1,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,1,0
Wine,cases,56.75,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,30,,,,,,,,,30,0,,,,0,0,,,,,,,,0,0,,,0,0,30,0
Wine,gallons,56.75,,0.007936508,166.27,0.270882796,,,,,,,,,,,,,,,,,,,0,0,,,871,,5630,,445,,,56,,196,,7198,1950,,,,0,0,,,,,,,,0,0,,,0,0,7198,1950
Wine,hhds,56.75,,0.5,166.27,17.06561617,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,1,1,17,1,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,,,,,,,12263,,,,,,,,,,,,,,,27546,,,,,15935,,,,,,,,,11219,,,,1968,,68931
