Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Montserrat,Nevis,St. Christophers,WI,,Bermuda,Boston,New Castle DE,New York,Philadelphia,Providence,Rhode Island,Roanoke NC,Salem,NA,,London,Bideford,Bristol,Liverpool,GB,,Gambia Africa,AFR,,Madeira,SEU,,TOTAL,
Molasses,casks,2.87,,3.05,153.52,5.701862949,,,,,,,0,0,10,,,1,,,,,,11,63,,,,,0,0,,0,0,,0,0,11,63
Muscovado sugar,barrels,45.18,,0.15,153.52,4.414408546,,,,,,,0,0,,,,,,,,,1,1,4,,,,,0,0,,0,0,,0,0,1,4
Muscovado sugar,casks,45.18,,0.15,153.52,4.414408546,,,,,,,0,0,,,,5,,,,,,5,22,,,,,0,0,,0,0,,0,0,5,22
Negroes,,35.61,,1,100,35.61,,2,,,,8,10,356,,,,,,,,,,0,0,,,,,0,0,205,205,7300,,0,0,215,7656
Pimento,bags,,,,153.52,0,,,,,,,0,0,,,,,1,,,,,1,0,,,,,0,0,,0,0,,0,0,1,0
Pitch,barrels,16.07,,0.05,153.52,0.523384575,,,,,,,0,0,,,,,,,,6,,6,3,,,,,0,0,,0,0,,0,0,6,3
Pounds sterling,,1,,1,100,1,,,,,,,0,0,,,,,,,45,,,45,45,,,,,0,0,,0,0,,0,0,45,45
Rum,casks,4.99,,3.05,153.52,9.913692027,,,,,,,0,0,,,,1,,,,,,1,10,,,,,0,0,,0,0,,0,0,1,10
Rum,barrels,4.99,,1.45,153.52,4.713066701,,,,,,,0,0,,,,,,,2,,,2,9,,,,,0,0,,0,0,,0,0,2,9
Rum,tierces,4.99,,3,153.52,9.751172486,,,,13,,4,17,166,,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,17,166
Rum,hhds,4.99,,5.25,153.52,17.06455185,,,,30,,75,105,1792,3,,,,9,,1,,,13,222,,,,,0,0,,0,0,,0,0,118,2014
Rum,gallons,4.99,,0.05,153.52,0.162519541,1440,540,21615,,,3700,27295,4436,200,120,,,,,,,,320,52,,,,,0,0,,0,0,,0,0,27615,4488
Salt,bushels,2.265,,0.05,153.52,0.07376889,2000,800,,,1600,5400,9800,723,3700,,2500,,600,,150,,,6950,513,,,150,3809,3959,292,,0,0,,0,0,20709,1528
Salt,hhds,2.265,,0.35,153.52,0.51638223,,,,,,,0,0,,,,,,,,,20,20,10,,,,,0,0,,0,0,,0,0,20,10
Servants,,12.94909091,,1,100,12.94909091,,,,,,,0,0,,,,,,,,,,0,0,3,,,,3,39,,0,0,,0,0,3,39
Sugar,cwt,45.18,,0.05,153.52,1.471469515,,,309,,,,309,455,,,,,,10,,,,10,15,,,,,0,0,,0,0,,0,0,319,470
Sugar,quarters,45.18,,0.0125,153.52,0.367867379,,,2,,,,2,1,,,,,,2,,,,2,1,,,,,0,0,,0,0,,0,0,4,2
Sugar,hhds,45.18,,0.632142857,153.52,18.60357887,,,,,,,0,0,,,,5,6,,,,,11,205,,,,,0,0,,0,0,,0,0,11,205
Sugar,barrels,45.18,,0.15,153.52,4.414408546,,,,,,,0,0,,,,2,2,,8,,,12,53,,,,,0,0,,0,0,,0,0,12,53
Sugar,pounds,45.18,,0.000446429,153.52,0.013138121,3000,,48,,,,3048,40,32040,,,,,,,,,32040,421,,,,,0,0,,0,0,,0,0,35088,461
Sugar,casks,45.18,,0.15,153.52,4.414408546,,,,,,,0,0,,,,5,,,,,,5,22,,,,,0,0,,0,0,,0,0,5,22
Tar,barrels,10.68,,0.05,153.52,0.347837415,,,,,,,0,0,,,,,,,,74,,74,26,,,,,0,0,,0,0,,0,0,74,26
Turpentine,barrels,16.75,,0.05,153.52,0.545531527,,,,,,,0,0,,,,,,,,12,,12,7,,,,,0,0,,0,0,,0,0,12,7
Wine,quarter casks,45.26,,0.25,153.52,7.370375195,,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,,0,0,8,8,59,8,59
Wine,pipes,45.26,,1,153.52,29.48150078,,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,,0,0,47,47,1386,47,1386
Wine,hhds,45.26,,0.5,153.52,14.74075039,,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,50,50,737,7,7,103,57,840
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,8047,,,,,,,,,,,1922,,,,,,4552,,,8037,,,1548,,24106
