Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,St. Christophers,Virgin Islands,WI,,Bermuda,Boston,New York,North Carolina,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Barnstaple,Biddeford,Bristol,GB,,Ireland,IRE,,Africa,AFR,,TOTAL,
Convicts,,9.861818182,,1,100,9.861818182,,,,,,0,0,,,,,,,,,0,0,49,11,40,46,146,1440,5,5,49,140,140,1381,291,2870
Deer Skins,hhds,,,,166.85,0,,,,,,0,0,,,,4,,,,,4,0,,,,,0,0,,0,0,,0,0,4,0
Deer Skins,barrels,,,,166.85,0,,,,,,0,0,,,,1,,,,,1,0,,,,,0,0,,0,0,,0,0,1,0
Fyall wine,pipes,30.1,,1,166.85,18.04015583,,,,,,0,0,,,,,1,,,,1,18,,,,,0,0,,0,0,,0,0,1,18
Ginger,bags,,,,166.85,0,,,,,,0,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,0,0
Loaf sugar,hhds,1,,25,166.85,14.98351813,,,,,,0,0,,1,,,,,,,1,15,,,,,0,0,,0,0,,0,0,1,15
Madeira,gallons,30.1,,0.007936508,166.85,0.14317584,,,,,,0,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,0,0
Madeira,pipes,30.1,,1,166.85,18.04015583,,,,,,0,0,13,,,,3.5,,,,16.5,298,,,,,0,0,,0,0,,0,0,16.5,298
Molasses,hhds,1.94,,5.05,166.85,5.871741085,73,,4,,,77,452,25,7,3,,21,6,2,,64,376,,,,,0,0,,0,0,,0,0,141,828
Molasses,gallons,1.94,,0.05,166.85,0.05813605,,,,,1200,1200,70,,,,,,1000,300,,1300,76,,,,,0,0,,0,0,,0,0,2500,146
Molasses,casks,1.94,,3.05,166.85,3.546299071,,,,,,0,0,,,,,,7,,,7,25,,,,,0,0,,0,0,,0,0,7,25
Muscovado sugar,barrels,48,,0.15,166.85,4.315253221,,,135,,,135,583,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,135,583
Muscovado sugar,cwt,48,,0.05,166.85,1.43841774,,,30,,36,66,95,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,66,95
Muscovado sugar,pounds,48,,0.000446429,166.85,0.012843016,,,12,,,12,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,12,0
Muscovdado sugar,quarters,48,,0.0125,166.85,0.359604435,,,1,,,1,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,1,0
Negroes,,27.12,,1,100,27.12,2,,29,11,,42,1139,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,42,1139
Pepper,pounds,,,,166.85,0,,,,,,0,0,,30,,,,,,,30,0,,,,,0,0,,0,0,,0,0,30,0
Pig iron,tons,8.42,,1,166.85,5.046448906,,,,,,0,0,,,,,44,,,,44,222,,,,,0,0,,0,0,,0,0,44,222
Pitch,barrels,20.06,,0.05,166.85,0.601138747,,,,,,0,0,,,,34,,,,,34,20,,,,,0,0,,0,0,,0,0,34,20
Pork,barrels,72.35,,0.05,166.85,2.168115073,,,,,,0,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,0,0
Potatoes,barrels,,,,166.85,0,,,,,,0,0,,,,,6,,,,6,0,,,,,0,0,,0,0,,0,0,6,0
Red wine,hhds,30.1,,0.5,166.85,9.020077914,,,,,,0,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,0,0
Rice,barrels,16.32,,,166.85,0,,,,,,0,0,,,,1,,,,,1,0,,,,,0,0,,0,0,,0,0,1,0
Rice,tierces,16.32,,,166.85,0,,,,,,0,0,,,,,1,,,,1,0,,,,,0,0,,0,0,,0,0,1,0
Rum,casks,3.22,,3.05,166.85,5.886125262,,,,,,0,0,,,,,,7,,,7,41,,,,,0,0,,0,0,,0,0,7,41
Rum,barrels,3.22,,1.45,166.85,2.798321846,,,8,,,8,22,,1,,,,,2,,3,8,,,,,0,0,,0,0,,0,0,11,30
Rum,hhds,3.22,,5.25,166.85,10.13185496,63,10,228,90,,391,3962,15,4,14,,30,45,3,,111,1125,,,,,0,0,,0,0,,0,0,502,5087
Rum,gallons,3.22,,0.05,166.85,0.096493857,,,3720,,400,4120,398,,,,,,1000,,,1000,96,,,,,0,0,,0,0,,0,0,5120,494
Rum,tierces,3.22,,3,166.85,5.789631405,,,11,7,,18,104,,10,,,,,,,10,58,,,,,0,0,,0,0,,0,0,28,162
Salt,hhds,1.395,,0.35,166.85,0.292628109,,,,,,0,0,,,,,,,2,,2,1,,,,,0,0,,0,0,,0,0,2,1
Salt,M bushels,1.395,,50,166.85,41.80401558,,,,,,0,0,,,1,,,,,,1,42,,,,,0,0,,0,0,,0,0,1,42
Salt,bushels,1.395,,0.05,166.85,0.041804016,1500,,,,1200,2700,113,,200,,,3428,,,,3628,152,,,,,0,0,,0,0,,0,0,6328,265
Servants,,9.861818182,,1,100,9.861818182,,,,,,0,0,,,,,,,,,0,0,,,2,,2,20,,0,0,,0,0,2,20
Ship bread,barrels,13.17,,0.089285714,166.85,0.704760478,,,,,,0,0,,,,,,,,11,11,8,,,,,0,0,,0,0,,0,0,11,8
Sugar,hhds,48,,0.609375,166.85,17.53071621,,,,,,0,0,,,,,,1,,,1,18,,,,,0,0,,0,0,,0,0,1,18
Sugar,tierces,48,,0.466964286,166.85,13.43379425,,,,,,0,0,,,,,,2,,,2,27,,,,,0,0,,0,0,,0,0,2,27
Sugar,cwt,48,,0.05,166.85,1.43841774,,,,,,0,0,,,,,,,6,,6,9,,,,,0,0,,0,0,,0,0,6,9
Sugar,barrels,48,,0.15,166.85,4.315253221,,,49,,,49,211,,,,,,6,1,,7,30,,,,,0,0,,0,0,,0,0,56,241
Sugar,casks,48,,0.15,166.85,4.315253221,,,,,,0,0,,,,,,6,,,6,26,,,,,0,0,,0,0,,0,0,6,26
Tar,barrels,10.08,,0.05,166.85,0.302067726,,,,,,0,0,,,,38,,,,,38,11,,,,,0,0,,0,0,,0,0,38,11
Tea,bags,,,,166.85,0,,,,,,0,0,,,,,3,,,,3,0,,,,,0,0,,0,0,,0,0,3,0
Turpentine,barrels,25.37,,0.05,166.85,0.76026371,,,,,,0,0,,,,4,,,,,4,3,,,,,0,0,,0,0,,0,0,4,3
White wine,pipes,30.1,,1,166.85,18.04015583,,,,,,0,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,0,0
White wine,boles,30.1,,,166.85,0,,,,,,0,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,7455,,,,,,,,,,2756,,,,,,1460,,,49,,,1381,,13101
