Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,St. Martins,Sta. Cruz,WI,,New Providence,Turks Island,Bermuda,Boston,New York,North Carolina,Nova Scotia,Philadelphia,Quebec,Rhode Island,NA,,London,Bideford,Bristol,GB,,Africa,AFR,,Madeira,SEU,,Unknown,UNK,,TOTAL,
Muscovado sugar,barrels,49.79,,0.15,173,4.317052023,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,27,27,117,27,117
Muscovado sugar,pounds,49.79,,0.000446429,173,0.012848369,,,,,,,,0,0,,,4000,13610,,,,,,,17610,226,,,,0,0,,0,0,,0,0,,0,0,17610,226
Muscovado sugar,barrels,49.79,,0.15,173,4.317052023,,49,,,,,,49,212,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,27,27,117,76,329
Negroes,,34.74,,1,100,34.74,,1,,,,,,1,35,,,,,,,,,,,0,0,,,,0,0,503,503,17474,,0,0,,0,0,504,17509
Pig iron,tons,9,,1,173,5.202312139,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,,0,0,0,0
Pitch,barrels,14.93,,0.05,173,0.43150289,,,,,,,,0,0,,,,,,30,,,,,30,13,,,,0,0,,0,0,,0,0,,0,0,30,13
Pork,barrels,86.95,,0.05,173,2.51300578,,,,,,,,0,0,,,,,,,,19,,,19,48,,,,0,0,,0,0,,0,0,,0,0,19,48
Rice,barrels,15.5,,,173,0,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,60,60,0,60,0
Rum,gallons,3.72,,0.05,173,0.107514451,3150,18560,,,,2700,,24410,2624,,,400,980,,,120,,,,1500,161,,,,0,0,,0,0,,0,0,,0,0,25910,2785
Rum,barrels,3.72,,1.45,173,3.117919075,,,,,,,,0,0,,,,50,,,,,,,50,156,,,,0,0,,0,0,,0,0,,0,0,50,156
Rum,hhds,3.72,,5.25,173,11.28901734,160,272,,23,32,12,15,514,5803,,,22,15,1,,,6,,7,51,576,,,,0,0,,0,0,,0,0,93,93,1050,658,7429
Rum,puncheons,3.72,,5.25,173,11.28901734,,,10,,,,,10,113,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,,0,0,10,113
Rum,tierces,3.72,,3,173,6.450867052,,1,,11,,,,12,77,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,3,3,19,15,96
Salt,hhds,2.21,,0.35,173,0.447109827,,,,,,,,0,0,2,,,,,,2,,,,4,2,,,,0,0,,0,0,,0,0,,0,0,4,2
Salt,barrels,2.21,,0.175,173,0.223554913,,,,,,,,0,0,,,,4,,,,,,,4,1,,,,0,0,,0,0,,0,0,,0,0,4,1
Salt,bushels,2.21,,0.05,173,0.063872832,,,,2000,,9170,,11170,713,1000,1000,2700,,1100,,,1600,,,7400,473,,,,0,0,,0,0,,0,0,,0,0,18570,1186
Servants,,12.59636364,,1,100,12.59636364,,,,,,,,0,0,,,,,7,,,,,,7,88,13,,,13,164,,0,0,,0,0,,0,0,20,252
Spirits,casks,3.72,,1.45,173,3.117919075,,,,,,,,0,0,,,,,1,,,,,,1,3,,,,0,0,,0,0,,0,0,,0,0,1,3
Sugar,hhds,49.79,,0.632142857,173,18.19329067,2,,,,,,,2,36,,,22,,18,,,,,,40,728,,,,0,0,,0,0,,0,0,,0,0,42,764
Sugar,tierces,49.79,,0.489285714,173,14.08181255,5,,,,,,,5,70,11,,,,,,,,,,11,155,,,,0,0,,0,0,,0,0,,0,0,16,225
Sugar,casks,49.79,,0.15,173,4.317052023,,,,,,,3,3,13,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,,0,0,3,13
Sugar,pounds,49.79,,0.000446429,173,0.012848369,,27300,,,,,,27300,351,,,6000,,,,,,,,6000,77,,,,0,0,,0,0,,0,0,,0,0,33300,428
Sugar,barrels,49.79,,0.15,173,4.317052023,3,119,,,5,3400,,3527,15226,23,,10,,5,,,,,,38,164,,,,0,0,,0,0,,0,0,,0,0,3565,15390
Tar,barrels,12.3,,0.05,173,0.355491329,,,,,,,,0,0,,,,,,150,,,,,150,53,,,,0,0,,0,0,,0,0,,0,0,150,53
Tea,boxes,,,,173,0,,,,,,,,0,0,,,,,2,,,,,,2,0,,,,0,0,,0,0,,0,0,,0,0,2,0
Teneriff wine,pipes,49.34,,1,173,28.52023121,,,,,,,,0,0,,,,,,,,,,1,1,29,,,,0,0,,0,0,,0,0,,0,0,1,29
Turpentine,barrels,13.56,,0.05,173,0.391907514,,,,,,,,0,0,,,,,,20,,,,,20,8,,,,0,0,,0,0,,0,0,,0,0,20,8
Vedonia wine,gallons,49.34,,0.007936508,173,0.226351041,,,,,,,,0,0,,,,,1700,,,,,,1700,385,,,,0,0,,0,0,,0,0,,0,0,1700,385
Wine,hhds,49.34,,0.5,,,,,,,,,,0,0,,,,,30,,,,,,30,0,,,,0,0,,0,0,,0,0,,0,0,30,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,25755,,,,,,,,,,,,5604,,,,,1175,,,17474,,,3273,,,1394,,54675
