Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadaloupe,Montserrat,New Providence,St. Christophers,St. Martins,WI,,Boston,New London,New York,Newport,Philadelphia,Rhode Island,Salem,NA,,London,Bideford,Bristol,Liverpool,GB,,Africa,AFR,,Isle of May,Madeira,SEU,,TOTAL,
Sugar,pounds,47.85,,0.000446429,158.61,0.013468008,,40010,,,800,,,40810,550,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,40810,550
Sugar,barrels,47.85,,0.15,158.61,4.525250615,,,,,6,,,6,27,,2,13,,,,9,24,109,,,,,0,0,,0,0,,,0,0,30,136
Sugar,casks,47.85,,0.15,158.61,4.525250615,,,,,,,,0,0,,,21,6,,5,1,33,149,,,,,0,0,,0,0,,,0,0,33,149
Table board,feet,8.56,,0.0005,158.61,0.002698443,,,,,600,,,600,2,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,600,2
Tar,barrels,10.82,,0.05,158.61,0.341088204,,,,,,,,0,0,,,12,,,,,12,4,,,,,0,0,,0,0,,,0,0,12,4
Turpentine,barrels,14.29,,0.05,158.61,0.45047601,,,,,,,,0,0,,,12,,,,,12,5,,,,,0,0,,0,0,,,0,0,12,5
Vedonia wine,gallons,50.31,,0.007936508,158.61,0.251740568,,,,,300,,,300,76,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,300,76
Wine,gallons,50.31,,0.007936508,158.61,0.251740568,,200,,,,,,200,50,,,,,,,70,70,18,,,,,0,0,,0,0,,,0,0,270,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,9745,,,,,,,,,3276,,,,,,3014,,,11858,,,,448,,28341
