Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Montserrat,Nevis,St. Christophers,WI,,Bermuda,Boston,Philadelphia,Rhode Island,Salem,South Carolina,NA,,Barnstaple,Bideford,London,GB,,Madeira,SEU,,TOTAL,
Dryfish,quintals,,,,170.6,0,,,,,,,0,0,,10,,,,,10,0,,,,0,0,,0,0,10,0
Fish,barrels,,,,170.6,0,,,,,,,0,0,,8,,,,,8,0,,,,0,0,,0,0,8,0
Fish,hhds,,,,170.6,0,,,,,,,0,0,,20,,,,,20,0,,,,0,0,,0,0,20,0
Flour,barrels,13.1,,0.089285714,170.6,0.685605426,,,,,,,0,0,,,93,,,,93,64,,,,0,0,,0,0,93,64
Fyall wine,pipes,29.74,,1,170.6,17.43259086,,,,,,,0,0,,7,,,,,7,122,,,,0,0,,0,0,7,122
Gartex,pieces,,,,170.6,0,,,,,,,0,0,,4,,,,,4,0,,,,0,0,,0,0,4,0
Hair sieves,,,,,170.6,0,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Hats,boxes,,,,170.6,0,,,,,,,0,0,,,,,,1,1,0,,,,0,0,,0,0,1,0
Hay,bundles,,,,170.6,0,,,,,,,0,0,,30,,,,,30,0,,,,0,0,,0,0,30,0
Hollow ironware,ton,,,,170.6,0,,,,,,,0,0,,0.5,,,,,0.5,0,,,,0,0,,0,0,0.5,0
Lemons,barrels,,,,170.6,0,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Linens British,pieces,,,,170.6,0,,,,,,,0,0,,,,,,10,10,0,,,,0,0,,0,0,10,0
Linens German,pieces,,,,170.6,0,,,,,,,0,0,,,,,,17,17,0,,,,0,0,,0,0,17,0
Liquors,bottles,,,,170.6,0,6,,,,,,6,0,,,,,,,0,0,,,,0,0,,0,0,6,0
Loaf Sugar,barrels,1.31,,6.25,170.6,4.799237984,,,,,,,0,0,,3,,,,,3,14,,,,0,0,,0,0,3,14
Loaf Sugar,hhds,1.31,,25,170.6,19.19695193,,,,,,,0,0,,,,,,1,1,19,,,,0,0,,0,0,1,19
Madeira,quarter casks,29.74,,0.25,170.6,4.358147714,,,,,,,0,0,,6,,,,,6,26,,,,0,0,,0,0,6,26
Madeira,barrels,29.74,,0.25,170.6,4.358147714,,,,,,,0,0,,2,,,,,2,9,,,,0,0,,0,0,2,9
Madeira,hhds,29.74,,0.5,170.6,8.716295428,,,,,,,0,0,,,,,,,0,0,,,,0,0,4,4,35,4,35
Madeira,pipes,29.74,,1,170.6,17.43259086,,,,,,,0,0,,1,,,,,1,17,,,,0,0,58,58,1011,59,1028
Molasses,gallons,1.69,,0.05,170.6,0.049531067,600,,,,,,600,30,,400,,,700,,1100,54,,,,0,0,,0,0,1700,84
Molasses,hhds,1.69,,5.05,170.6,5.002637749,,,,,7,,7,35,,2,,8,,,10,50,,,,0,0,,0,0,17,85
Molasses,tierces,1.69,,3.05,170.6,3.021395076,,,,,,,0,0,16,,,,,,16,48,,,,0,0,,0,0,16,48
Muscovado Sugar,barrels,51.98,,0.15,170.6,4.570339977,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Muscovado sugar,tierces,51.98,,0.466964286,170.6,14.22790362,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Nails,casks,,,,170.6,0,,,,,,,0,0,,,,,,4,4,0,,,,0,0,,0,0,4,0
Negroes,,27.12,,1,100,27.12,4,,,,5,,9,244,,,,,,,0,0,,,,0,0,,0,0,9,244
Oats,bushels,,,,170.6,0,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Orna,bales,,,,170.6,0,,,,,,,0,0,,,1,,,,1,0,,,,0,0,,0,0,1,0
Pickled Fish,barrels,,,,170.6,0,,,,,,,0,0,,60,,,6,,66,0,,,,0,0,,0,0,66,0
Pipes,barrels,,,,170.6,0,14,,,,,,14,0,,,,,,,0,0,,,,0,0,,0,0,14,0
Pipes,kegs,,,,170.6,0,,,,,,,0,0,,,20,,,,20,0,,,,0,0,,0,0,20,0
Pitch,barrels,18.91,,0.05,170.6,0.554220399,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Portugal wines,casks,29.74,,,170.6,0,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Raisins,casks,,,,170.6,0,,,,,,,0,0,,,,,3,,3,0,,,,0,0,,0,0,3,0
Riding Chairs,,,,,170.6,0,,,,,,,0,0,,6,,,,,6,0,,,,0,0,,0,0,6,0
Rum,barrels,3.46,,1.45,170.6,2.940797186,,,,,,,0,0,,,5,,,,5,15,,,,0,0,,0,0,5,15
Rum,gallons,3.46,,0.05,170.6,0.1014068,1500,,6670,,,,8170,828,,1200,,,900,,2100,213,,,,0,0,,0,0,10270,1041
Rum,hhds,3.46,,5.25,170.6,10.64771395,,26,48,21,10,25,130,1384,18,12,2,5,,,37,394,,,,0,0,,0,0,167,1778
Rum,tierces,3.46,,3,170.6,6.084407972,,,,,4,15,19,116,4,4,,,,,8,49,,,,0,0,,0,0,27,165
Rum,tubs,3.46,,,170.6,0,,,,2,,,2,0,,,,,,,0,0,,,,0,0,,0,0,2,0
Salt,bushels,1.55,,0.05,170.6,0.045427902,4800,,500,,1400,,6700,304,,,8,,,,8,0,,,,0,0,8000,8000,363,14708,667
Salt,hhds,1.55,,0.35,170.6,0.317995311,,,,,,,0,0,,65,,,6,,71,23,,,,0,0,,0,0,71,23
Servants,,9.861818182,,1,100,9.861818182,,,,,,,0,0,,,,,,,0,0,4,25,,29,286,,0,0,29,286
Sieves,,,,,170.6,0,,,,,,,0,0,,24,,,,,24,0,,,,0,0,,0,0,24,0
Spades,dozens,,,,170.6,0,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Staves,M,5.98,,1,170.6,3.505275498,,,,,,,0,0,,,7,,,,7,25,,,,0,0,,0,0,7,25
Still,,,,,170.6,0,,,,,,,0,0,,1,6,,,,7,0,,,,0,0,,0,0,7,0
Sugar,barrels,51.98,,0.15,170.6,4.570339977,,,,,,,0,0,,5,,4,,,9,41,,,,0,0,,0,0,9,41
Sugar,pounds,51.98,,0.000446429,170.6,0.013602202,,,9488,,,,9488,129,,,,200,,,200,3,,,,0,0,,0,0,9688,132
Tar,barrels,12.89,,0.05,170.6,0.377784291,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Tobacco,hhds,19.98,,0.525,170.6,6.1485932,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,3606,,,,,,,,1239,,,,,1982,,,1409,,8236
