year,Bar iron,Beans,Beef,Biscuits,Bread,Bread and flour,Chocolate,Corn,Cotton,Deer Skins,Flaxseed,Flour,Furs and skins,Handspikes,Heading,Heading (hhd),Hemp,Hoops,Indigo,Iron,Loaf sugar,Logs (walnut),Peas,Peas/beans,Pig iron,Pitch,Plank,Planks,Plate,Pork,Rum,Rye,Salt,Shingles,Skins,Spirits,Staves,Staves (barrel),Staves (barrels),Staves (hhds),Staves (pipes),Staves and heading,Sugar,Tar,Tobacco,Turpentine,Walnut,Walnut logs,Wax,Wheat,Wine
1746,0.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,202.0,0.0,12.0,0.0,0.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11758.5,1.0,0.0,0.0,0.0,30.0,13.0
1749,0.0,3.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,240.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38180.0,0.0,0.0,0.0,0.0,0.0,0.0
1750,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,155.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38775.0,0.0,0.0,0.0,0.0,46.0,0.0
1751,0.0,0.0,0.0,25.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12827.333333333334,0.0,0.0,0.0,0.0,0.0,0.0
1752,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1253.0,0.0,0.0,0.0,39.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,50.0,0.0,23.0,0.0,0.0,39.0,104.5,0.0,0.0,0.0,0.0,0.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22626.0,0.0,0.0,0.0,0.0,113.0,0.0
1754,27.0,10.0,0.0,0.0,0.0,0.0,0.0,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,223.0,0.0,13.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35889.0,0.0,0.0,0.0,0.0,78.0,34.0
1755,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1246.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,118.5,0.0,45.0,0.0,0.0,15.5,62.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,31044.0,5.0,0.0,0.0,0.0,8.0,56.5
1756,0.0,0.0,65.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,133.0,17.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10748.0,0.0,0.0,0.0,0.0,113.0,9.0
1758,0.0,23.0,45.0,0.0,75.0,0.0,0.0,1299.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1399.0,0.0,20.0,0.0,0.0,122.0,49.0,0.0,0.0,0.0,0.0,0.0,1106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49896.0,0.0,0.0,0.0,0.0,32.0,420.0
1761,0.0,2.0,0.0,0.0,65.0,0.0,0.0,385.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,586.5,0.0,23.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,739.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,39818.0,0.0,0.0,0.0,0.0,2.0,0.0
1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,0.0,10.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,53195.0,0.0,0.0,0.0,0.0,97.0,0.0
1763,0.0,14.0,0.0,0.0,55.0,3.0,0.0,1211.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,44.0,0.0,0.0,6.0,568.0,0.0,0.0,0.0,0.0,0.0,3433.0,0.0,35955.0,0.0,0.0,0.0,0.0,16.0,0.0
1764,635.0,0.0,0.0,0.0,213.0,0.0,0.0,1564.0,0.0,0.0,0.0,534.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,423.0,0.0,57.0,0.0,0.0,32.5,30.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33907.0,0.0,0.0,0.0,0.0,0.0,14.0
1765,109.0,2.0,0.0,0.0,130.0,0.0,0.0,3218.0,0.0,0.0,0.0,745.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,1322.0,1.0,32.0,2.0,0.0,17.5,38.0,0.0,0.0,0.0,0.0,0.0,125.0,2079.0,329.0,67.0,8.0,0.0,5.0,0.0,31922.0,1.0,0.0,0.0,0.0,477.0,0.0
1766,192.33333333333334,14.0,0.0,0.0,444.0,0.0,0.0,1414.0,0.0,0.0,0.0,3039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1682.0,0.0,67.0,4.0,0.0,65.0,10.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,360.0,223.0,81.0,0.0,0.0,0.0,47672.0,0.0,0.0,0.0,0.0,114.0,20.333333333333332
1771,103.5,64.0,0.0,0.0,306.0,0.0,0.0,2783.0,0.0,0.0,0.0,3816.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,10.0,0.0,1207.0,0.0,15.0,0.0,0.0,2.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,225.0,75.0,0.0,0.0,22.0,138645.0,1.0,0.0,0.0,0.0,1846.0,0.0
