Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Nevis,St. Eustatia,WI,,Bermuda,Boston,Lewes DE,New York,Nova Scotia,Philadelphia,Plymouth NE,Rhode Island,Salem NE,NA,,Madeira,SEU,,TOTAL,
Pistereens,,,,1,124.99,0,,,,,0,0,1479,,,,,,,,,1479,0,,0,0,1479,0
Plank,M feet,8.624,,0.5,166.62,2.587924619,,,,,0,0,,7,,,3,,,,,10,26,,0,0,10,26
Plank,feet,8.624,,0.0005,166.62,0.002587925,,,,,0,0,,,,,,300,,,,300,1,,0,0,300,1
Pork,cwt,73.43,,0.028,166.62,1.233969511,,,,,0,0,,,,8,,,,,,8,10,,0,0,8,10
Rum,cases,3.34,,,166.62,0,,,,,0,0,,,,3,,,,,,3,0,,0,0,3,0
Rum,casks,3.34,,3.05,166.62,6.113911895,,1,,,1,6,,,,,,,2,,,2,12,,0,0,3,18
Rum,barrels,3.34,,1.45,166.62,2.906613852,,,,,0,0,,13,,1,,,20,,2,36,105,,0,0,36,105
Rum,hhds,3.34,,5.25,166.62,10.52394671,36,53,7,2,98,1031,,6,1,4,,4,2,6,,23,242,,0,0,121,1273
Salt,bushels,1.57,,0.05,166.62,0.047113192,,,,,0,0,,,60,100,,1700,30,220,,2110,99,,0,0,2110,99
Salt,hhds,1.57,,0.35,166.62,0.329792342,,,,,0,0,,3,,,,,5,,,8,3,,0,0,8,3
Spirits,barrels,3.34,,1.45,166.62,2.906613852,,,,,0,0,,9,,6,,,,,,15,44,,0,0,15,44
Sterling,pence,1,,0.004166667,100,0.004166667,6,,,,6,0,,,,,,,,,,0,0,,0,0,6,0
Sugar,pounds,46.42,,0.000446429,166.62,0.012437411,3900,2200,452,,6552,81,,,,,,,,,,0,0,,0,0,6552,81
Sugar,cwt,46.42,,0.05,166.62,1.392990037,6,26,21,,53,74,,16,,2,,,,,,18,25,,0,0,71,99
Sugar,barrels,46.42,,0.15,166.62,4.178970112,,,,,0,0,,,,,,,4,,,4,17,,0,0,4,17
Sugar,quarters,46.42,,0.0125,166.62,0.348247509,,,1,,1,0,,,,1,,,,,,1,0,,0,0,2,0
Tea,pounds,4.21,,0.05,166.62,0.126335374,,,,,0,0,,60,,160,,,,,,220,28,,0,0,220,28
Virginia currency,pounds,1,,1,124.99,0.800064005,,,,182,182,146,,,,,143,,,,,143,114,,0,0,325,260
White sugar,pounds,0.93,,0.05,166.62,0.027907814,3644,,,,3644,102,,,,,,,,,,0,0,,0,0,3644,102
Wine,hhds,47.73,,0.5,166.62,14.32301044,,,,,0,0,,,,,,,,,,0,0,10,10,143,10,143
Wine,quarter casks,47.73,,0.25,166.62,7.161505221,,,,,0,0,,,,,,,,,,0,0,16,16,115,16,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,2072,,,,,,,,,,,1651,,,258,,3981
