Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,New Providence,Bermuda,Boston,New Hampshire,New York,Piscataqua,NA,,London,Bristol,Falmouth,Liverpool,Whitehaven,Ayr,Glasgow,GB,,Dublin,IRE,,Lisbon,Madeira,SEU,,TOTAL,
Heading,pieces,4.5,,0.001,146.14,0.0045,2000,7700,,9700,44,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,9700,44
Hemp,pounds,,,,146.14,0,,,,0,0,,,,,,,0,0,,800,,,,,,800,0,,0,0,,,0,0,800,0
Iron,tons,9.59,,1,146.14,9.59,,,,0,0,,,,,,,0,0,,88,,,,,,88,844,,0,0,,,0,0,88,844
Logs (walnut),,,,,146.14,0,,,,0,0,,,,,,,0,0,,,,,,,4,4,0,,0,0,,,0,0,4,0
Oats,bushels,2.74,,0.05,146.14,0.137,,,,0,0,,,270,,,,270,37,,,,,,,,0,0,,0,0,,,0,0,270,37
Peas,bushels,2.74,,0.05,146.14,0.137,50,636,994,1680,230,,75,,,,10,85,12,,,,,,,,0,0,,0,0,,,0,0,1765,242
Pitch,barrels,17.54,,0.05,146.14,0.877,,10,,10,9,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,10,9
Plank,feet,7.2,,0.0005,146.14,0.0036,,,,0,0,,,512,,,,512,2,1100,150,,,2000,100,994,4344,16,,0,0,,,0,0,4856,18
Pork,pipes,49.83,,0.2,146.14,9.966,,,,0,0,,,,,,1,1,10,,,,,,,,0,0,,0,0,,,0,0,1,10
Pork,cases,49.83,,0.025,146.14,1.24575,1,,,1,1,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,1,1
Pork,casks,49.83,,0.05,146.14,2.4915,,2,,2,5,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,2,5
Pork,barrels,49.83,,0.05,146.14,2.4915,256,465,79,800,1993,120,240,214,10,,69,653,1627,,,,,,,,0,0,,0,0,10,60,70,174,1523,3794
Pork,hhds,49.83,,0.1,146.14,4.983,,1,,1,5,,,9,,,8,17,85,,,,,,,,0,0,,0,0,,,0,0,18,90
Pork,boxes,49.83,,0.025,146.14,1.24575,,2,,2,2,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,2,2
Pork,pounds,49.83,,0.00025,146.14,0.0124575,,,,0,0,,4000,1613,,,,5613,70,,,,,,,,0,0,,0,0,,,0,0,5613,70
Rum,gallons,2.96,,0.05,146.14,0.148,,,,0,0,,,230,,,,230,34,,,,,,,,0,0,,0,0,,,0,0,230,34
Rum,hhds,2.96,,5.25,146.14,15.54,,,,0,0,,,4,3,,,7,109,,,,,,,,0,0,,0,0,,,0,0,7,109
Salt,hhds,2.33,,0.35,146.14,0.8155,,,,0,0,,,3,,,,3,2,,,,,,,,0,0,,0,0,,,0,0,3,2
Shingles,,,,,146.14,0,35000,60000,,95000,0,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,95000,0
Skins,barrels,,,,146.14,0,,,,0,0,,,,,,,0,0,,1,,,,,1,2,0,,0,0,,,0,0,2,0
Skins,bundles,,,,146.14,0,,,,0,0,,,,,,,0,0,2,2,,,,,,4,0,,0,0,,,0,0,4,0
Skins,cases,,,,146.14,0,,,,0,0,,,,,,,0,0,1,,,,,,,1,0,,0,0,,,0,0,1,0
Skins,tierces,,,,146.14,0,,,,0,0,,,,,,,0,0,,1,,,,,,1,0,,0,0,,,0,0,1,0
Skins,casks,,,,146.14,0,,,,0,0,,,,,,,0,0,1,,,,,,,1,0,,0,0,,,0,0,1,0
Skins,hhds,,,,146.14,0,,,,0,0,,,,,,,0,0,35,11,,,,,2,48,0,,0,0,,,0,0,48,0
Staves,,4.5,,0.001,146.14,0.0045,1200,8000,,9200,41,,,1000,,,,1000,5,42600,19100,8000,5500,15000,800,46900,137900,621,,0,0,1200,,1200,5,149300,672
Staves,M,4.5,,1,146.14,4.5,,5,,5,23,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,5,23
Tar,barrels,14.08,,0.05,146.14,0.704,,51,13,64,45,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,64,45
Tobacco,barrels,14.83,,0.23525,146.14,3.4887575,,,,0,0,,,,,,,0,0,,,,,5,,,5,17,,0,0,,,0,0,5,17
Tobacco,hhds,14.83,,0.4705,146.14,6.977515,,2,,2,14,,,,,,,0,0,3054.5,899,271,321,833,136,2177,7691.5,53668,,0,0,,,0,0,7693.5,53682
Turpentine,barrels,21.3,,0.05,146.14,1.065,,,,0,0,,,,,,,0,0,4,,,,3,,,7,7,,0,0,,,0,0,7,7
Wheat,bushels,4.47,,0.05,146.14,0.2235,,,,0,0,,,5317,10,900,,6227,1392,,,,,,,,0,0,2798,2798,625,6723,70,6793,1518,15818,3535
Wine,pipes,20.17,,0.05,146.14,1.0085,,,,0,0,,,,,,,0,0,1,,,,,,,1,1,,0,0,,,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3177,,,,,,,,7193,,,,,,,,,55174,,,698,,,,2071,,68313
