Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,St. Christophers,WI,,New Providence,Bermuda,Boston,New England,New York,Newfoundland,North Carolina,Pennsylvania,Perth Amboy,Rhode Island,South Carolina,NA,,London,Hull,Lancaster,Liverpool,Whitehaven,Glasgow,Leith,GB,,Cork,Dublin,IRE,,TOTAL,
Deer Skins,hhds,,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,3,,,,2,,,5,0,,,0,0,5,0
Deer Skins,bundles,,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,4,,,4,0,,,0,0,4,0
Flaxseed,bags,4.9,,,172.71,,,,,,,0,0,,,,,16,,,,,,,16,0,,,,,,,,0,0,,,0,0,16,0
Flaxseed,hhds,4.9,,,172.71,,,,,,,0,0,,,,,3,,,,,,,3,0,,,,,,,,0,0,,,0,0,3,0
Flaxseed,tierces,4.9,,,172.71,,,,,,,0,0,,,,,51,,,,,,,51,0,,,,,,,,0,0,,,0,0,51,0
Flaxseed,casks,4.9,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,31,,31,0,,,0,0,31,0
Flaxseed,barrels,4.9,,,172.71,,,,,,,0,0,,,,,1,,,,,,,1,0,,,,,,,,0,0,,,0,0,1,0
Flaxseed,bushels,4.9,,0.05,172.71,,,,,,,0,0,,,,,,,,,120,,,120,17,,,,,,,,0,0,,,0,0,120,17
Flour,barrels,14.82,,0.089285714,172.71,579,131,,36,35,356,1137,871,,,,,,,,100,,,125,225,172,,,,,,,,0,0,,,0,0,1362,1043
Handspikes,,,,,172.71,,25,,,,120,145,0,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,145,0
Hoops,bundles,,,,172.71,,,110,,,,110,0,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,110,0
Hoops,,,,,172.71,21955,,,,,3250,25205,0,,400,,,,,,,,,,400,0,,,,,,300,,300,0,,,0,0,25905,0
Indigo,casks,7.59,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,,7,,,,1,,8,0,,,0,0,8,0
Indigo,boxes,7.59,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,1,,1,0,,,0,0,1,0
Iron,bars,11.34,,,172.71,,,,,,,0,0,,,,,,,101,,,,,101,0,,,,,,,,0,0,,,0,0,101,0
Loaf sugar,barrels,1.08,,6.25,172.71,,,,,,,0,0,,,,,,,5,,,,,5,20,,,,,,,,0,0,,,0,0,5,20
Loaf sugar,hhds,1.08,,25,172.71,,,,,,,0,0,1,,,,,,,,,,,1,16,,,,,,,,0,0,,,0,0,1,16
Lumber,,,,,172.71,1618539,1543400,1124082,77200,547855,355562,5266638,0,34713,17200,4000,,8400,10000,,,,4000,716,79029,0,45094,36900,8697,57260,24680,34350,4000,210981,0,,1000,1000,0,5557648,0
Molasses,hhds,2.42,,5,172.71,,,,,,,0,0,,,,,14,2,,,,,,16,112,,,,,,,,0,0,,,0,0,16,112
Oats,bushels,2.42,,0.05,172.71,550,171,,,,,721,51,250,,,,,,200,,,,,450,32,,,,,,,,0,0,,,0,0,1171,83
Peas,bushels,2.42,,0.05,172.71,3842,953,1061,100,,235,6191,434,20,421,28,10,,170,,,200,,,849,59,,,,,,,,0,0,,,0,0,7040,493
Pig iron,tons,11.34,,1,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,,,,20,,,,20,131,,,0,0,20,131
Pitch and turpentine,barrels,14.14,,0.05,172.71,278,83,10,21,36,50,478,196,,,,,482,4,,,,,,486,199,510,418,,65,50,73,15,1131,463,,,0,0,2095,858
Plank,pieces,13.648,,0.005,172.71,3,63,,,,,66,3,,,,,,,,,,,,0,0,,,,,,17,,17,1,,,0,0,83,4
Plank,feet,13.648,,0.0005,172.71,121808,74286,126378,1220,9200,89023,421915,1667,,1120,,,,,,,,,,1120,4,15173,450,,5863,603,,200,22289,88,1000,500,1500,6,446824,1765
Planks,,13.648,,0.005,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,1400,,,1400,55,,,0,0,1400,55
Pork,casks,73.92,,0.05,172.71,1,2,,,,,3,6,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,3,6
Pork,barrels,73.92,,0.05,172.71,1069,2729,1098,119,228,165,5408,11573,195,557,460,,,10,,10,,60,,1292,2765,,,,,,,,0,0,,,0,0,6700,14338
Pork,pounds,73.92,,0.00025,172.71,,,,,,619,619,7,,2000,,,,,,,,,,2000,21,,,,,,,,0,0,,,0,0,2619,28
Pork,hhds,73.92,,0.1,172.71,1,3,,,,,4,17,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,4,17
Potatoes,bushels,,,,172.71,,,,,,,0,0,,,,,27,,,,,,,27,0,,,,,,,,0,0,,,0,0,27,0
Rice,barrels,16.58,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,20.5,,20.5,0,,,0,0,20.5,0
Rum,hhds,3.93,,5,172.71,,1,,,,,1,11,21,,,,,6,14,,,,3,44,501,,,,,,,,0,0,,,0,0,45,512
Spirits turpentine,barrel,,,,172.71,,1,1,,,,2,0,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,2,0
Staves,,8.53,,0.001,172.71,,,,,,21553,21553,106,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,21553,106
Sugar,barrels,49.14,,0.15,172.71,,,,,,,0,0,,,,,,10,6,,,,,16,68,,,,,,,7,7,30,,,0,0,23,98
Tar,barrels,11.25,,0.05,172.71,230,159,100,52,10,9,560,182,,,130,,277,6,,,,,,413,135,1051,3482,620,4539,4141,1400,200,15433,5026,,,0,0,16406,5343
Tobacco,hhds,21.52,,0.5665,172.71,58,75,,,2,6,141,995,,,,,2,4,,,,,,6,42,361,242,8,,251,774,,1636,11548,,,0,0,1783,12585
Wheat,bushels,5.03,,0.05,172.71,,,,,,,0,0,,,,8,15972,,,3400,3400,,,22780,3317,,,,,,,,0,0,,,0,0,22780,3317
Wine,quarter casks,48.83,,0.25,172.71,,8,26,,,,34,240,6,,,,,,,,,,,6,42,,,,,,,,0,0,,,0,0,40,282
Wine,pipes,48.83,,1,172.71,6,60,,,,,66,1866,,,,,6,,3,,,,,9,254,,,,,,,,0,0,,,0,0,75,2120
Wine,casks,48.83,,0.25,172.71,,20,,,,,20,141,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,20,141
Wrought iron,pounds,34,,0.000454545,172.71,,,,,,,0,0,,,,,,,500,,,,,500,4,,,,,,,,0,0,,,0,0,500,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,33577,,,,,,,,,,,,,10842,,,,,,,,,17482,,,,566,,62467
