Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,Spanish Town,St. Kitts,St. Martins,Virgin Islands,WI,,Turks Island,Bermuda,Boston,New England,New York,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,Dumfries,GB,,Africa,AFR,,Madeira,SEU,,TOTAL,
Cotton,bags,1.9,,6,166.85,6.832484267,4,,3,,,,,,,,7,48,,,,,,,,,,,0,0,,0,0,,0,0,,0,0,7,48
Cotton,bales,1.9,,,166.85,0,5,,,,,,,,,,5,0,,,,,,,,,,,0,0,,0,0,,0,0,,0,0,5,0
Flour,barrels,13.13,,0.089285714,166.85,0.702619975,,,,,,,,,,,0,0,,,,,,,140,,6,,146,103,,0,0,,0,0,,0,0,146,103
Ginger,barrels,,,,166.85,0,,12,,4,,,,,,,16,0,,,,,4,,,,,,4,0,,0,0,,0,0,,0,0,20,0
Loaf sugar,barrels,1,,6.25,166.85,3.745879533,,,,,,,,,,,0,0,,,,,3,,,,,,3,11,,0,0,,0,0,,0,0,3,11
Molasses,hhds,1.94,,5.05,166.85,5.871741085,,,1,14,,,11,,,,26,153,10,5,10,6,28,,6,,2,,67,393,,0,0,,0,0,,0,0,93,546
Molasses,gallons,1.94,,0.05,166.85,0.05813605,,350,180,4932,6670,3000,,2000,,4770,21902,1273,,,,,3729,,1020,,,,4749,276,,0,0,,0,0,,0,0,26651,1549
Negroes,,27.12,,1,100,27.12,2,,,,,,,,,,2,54,,,,,,,,,,,0,0,,0,0,175,175,4746,,0,0,177,4800
Pimento,barrels,,,,166.85,0,,,,3,,,,,,,3,0,,,,,,,,,,,0,0,,0,0,,0,0,,0,0,3,0
Pitch,barrels,20.06,,0.05,166.85,0.601138747,,,,,,,,,,,0,0,,,,,,518,,,,316,834,501,,0,0,,0,0,,0,0,834,501
Plank,feet,7.456,,0.0005,166.85,0.002234342,,,,,,,,,,,0,0,,,,,,376,,600,,,976,2,,0,0,,0,0,,0,0,976,2
Pork,barrels,72.35,,0.05,166.85,2.168115073,,,,,,,,,,,0,0,,,,,,14,,,,,14,30,,0,0,,0,0,,0,0,14,30
Rum,cases,3.22,,,166.85,0,,,,,,,,,,,0,0,,,,,3,,,,,,3,0,,0,0,,0,0,,0,0,3,0
Rum,hhds,3.22,,5.25,166.85,10.13185496,,16,33,2,,12,11,33,,,107,1084,,19,13,5,8,,8,,45,,98,993,,0,0,,0,0,,0,0,205,2077
Rum,gallons,3.22,,0.05,166.85,0.096493857,,33039,82160,5746,,6150,,15137,,670,142902,13789,,,,,4528,,1408,20,700,,6656,642,,0,0,,0,0,,0,0,149558,14431
Salt,bushels,1.395,,0.05,166.85,0.041804016,2300,1400,,,,1500,2000,1000,1100,2500,11800,493,3200,3250,,,250,,,,,400,7100,297,3000,3000,125,,0,0,,0,0,21900,915
Salt,hhds,1.395,,0.35,166.85,0.292628109,,,,,,,,,,,0,0,,,,,,,,,2,,2,1,,0,0,,0,0,,0,0,2,1
Sugar,barrels,48,,0.15,166.85,4.315253221,8,268,573,14,27,23,12,63,,21,1009,4354,5,28,10,3,53,,38,,2,,139,600,,0,0,,0,0,,0,0,1148,4954
Sugar,pounds,48,,0.000446429,166.85,0.012843016,,,,,,,,,,,0,0,1000,3884,,,,,,,,,4884,63,,0,0,,0,0,,0,0,4884,63
Tar,barrels,10.08,,0.05,166.85,0.302067726,,,,,,,,,,,0,0,,,,,,1102,,,,517,1619,489,,0,0,,0,0,,0,0,1619,489
Tea,boxes,,,,166.85,0,,,,,,,,,,,0,0,,,,,,,1,,,,1,0,,0,0,,0,0,,0,0,1,0
Tea,canisters,,,,166.85,0,,,,,,,,,,,0,0,,,,,,,1,,,,1,0,,0,0,,0,0,,0,0,1,0
Tea,pounds,5.36,,0.05,166.85,0.160623314,,,,,,,,,,,0,0,,,,,200,,,,,,200,32,,0,0,,0,0,,0,0,200,32
Turpentine,barrels,25.37,,0.05,166.85,0.76026371,,,,,,,,,,,0,0,,,,,,2,,,,,2,2,,0,0,,0,0,,0,0,2,2
White bread,quarter casks,24.17,,,166.85,0,,,,,,,,,,,0,0,,,,,24,,,,,,24,0,,0,0,,0,0,,0,0,24,0
Wine,pipes,30.1,,1,166.85,18.04015583,,,,,,,,,,,0,0,,,1.75,,,,1.75,,,,3.5,63,,0,0,,0,0,73.75,73.75,1330,77.25,1393
Wine,quarter casks,30.1,,0.25,166.85,4.510038957,,,,,,,,,,,0,0,,,,,1,,,,,,1,5,,0,0,,0,0,,0,0,1,5
Wine,gallons,30.1,,0.007936508,166.85,0.14317584,,,700,,,,,,,,700,100,,,,,100,,300,,,,400,57,,0,0,,0,0,23900,23900,3422,25000,3579
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,21348,,,,,,,,,,,,5009,,,125,,,4746,,,4752,,35980
