Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Granada,Grenadoes,Nevis,St. Christophers,St. Croix,St. Eustatia,St. Martins,WI,,New Providence,Turks Island,Bermuda,Boston,Delaware,New England,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,GB,,Cork,Dublin,Londonderry,IRE,,Gambia,AFR,,Isle of May,SEU,,TOTAL,
,,1767,,,,Sterling,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rum,hhds,3,,5.25,166.02,9.486808818,,,,,,,,,,,0,0,,,,,,57,,,,,57,541,,,,0,0,,,,0,0,,0,0,,0,0,57,541
Rum,gallons,3,,0.05,166.02,0.09035056,,8010,29827,900,10980,1500,12300,2600,,180,66297,5990,,,2160,448,,63,,820,700,595,4786,432,,,,0,0,,,,0,0,,0,0,,0,0,71083,6422
Salt,bushels,1.7,,0.05,166.02,0.051198651,1302,,,,,,,,,,1302,67,,2000,,,3504,,,,,248,5752,294,,4000,32218,36218,1854,,,,0,0,,0,0,11000,11000,563,54272,2778
Servants,,12.63272727,,1,100,12.63272727,,,,,,,,,,,0,0,,,,,,,,,,,0,0,47,1,12,60,758,28,161,,189,2388,,0,0,,0,0,249,3146
Shingles,,,,,166.02,0,,,,,,,,,,,0,0,,,,,,,15000,,,,15000,0,,,,0,0,,,,0,0,,0,0,,0,0,15000,0
Spirit turpentine,barrels,,,,166.02,0,,,,,,,,,,,0,0,,,,,,,2,,,,2,0,,,,0,0,,,,0,0,,0,0,,0,0,2,0
Spirits,kegs,3,,0.725,166.02,1.310083123,,,,,,,,,,,0,0,,,,,,,,,3,,3,4,,,,0,0,,,,0,0,,0,0,,0,0,3,4
Sugar,hhds,49.43,,0.646875,166.02,19.25974657,,,,,,,,,,,0,0,,,,,,10,1,,,,11,212,,,,0,0,,,,0,0,,0,0,,0,0,11,212
Sugar,pounds,49.43,,0.000446429,166.02,0.013291751,,11200,19600,,,1600,,,12644,,45044,599,,,7200,4477,,200,,2200,600,,14677,195,,,,0,0,,,,0,0,,0,0,,0,0,59721,794
Sugar,barrels,49.43,,0.15,166.02,4.466028189,26,,8,,,,,,,,34,152,,,,,,10,,,,,10,45,,,,0,0,,,,0,0,,0,0,,0,0,44,197
Tar,barrels,11.69,,0.05,166.02,0.352066016,,,,,,,,,,,0,0,,,,,,,763,,,,763,269,,,,0,0,,,,0,0,,0,0,,0,0,763,269
Tea,pounds,5.3,,0.05,166.02,0.159619323,,,,,,,,,,,0,0,,,,,,,,,,10,10,2,,,,0,0,,,,0,0,,0,0,,0,0,10,2
Turpentine,barrels,18.97,,0.05,166.02,0.571316709,,,,,,,,,,,0,0,,,,,,,34,,,,34,19,,,,0,0,,,,0,0,,0,0,,0,0,34,19
Wine,gallons,50.97,,0.007936508,166.02,0.243659685,,,110,,,,,,,,110,27,,,,,,,,1950,,,1950,475,,,,0,0,,,,0,0,,0,0,,0,0,2060,502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,8938,,,,,,,,,,,,5627,,,,,8019,,,,,2388,,,3452,,,563,,28987
