Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Nevis,WI,,Boston,New England,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Barnstaple,Bideford,Bristol,GB,,Dublin,Newry,Waterford,IRE,,Unknown,UNK,,TOTAL,
Muscovado sugar,cwt,51.7,,0.05,167.49,1.543375724,,237,,,237,366,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,237,366
Muscovdado sugar,quarters,51.7,,0.0125,167.49,0.385843931,,8,,,8,3,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,8,3
Negroes,,33.1,,1,100,33.1,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,0,0
Pipe staves,,8.33,,0.001,167.49,0.004973431,,,,,0,0,,,,2500,,,2500,12,,,,,0,0,,,,0,0,,0,0,2500,12
Pitch,barrels,16.05,,0.05,167.49,0.479133083,,,,,0,0,,,86,,,,86,41,,,,,0,0,,,,0,0,,0,0,86,41
Plank,pieces,8.112,,0.005,167.49,0.024216371,,,,,0,0,,10000,,,,,10000,242,,,,,0,0,,,,0,0,,0,0,10000,242
Pork,barrels,63.2,,0.05,167.49,1.886679802,,,,,0,0,,,20,,,,20,38,,,,,0,0,,,,0,0,,0,0,20,38
Rum,hhds,3.08,,5.25,167.49,9.65430772,,,,,0,0,6,,,58,,,64,618,,,,,0,0,,,,0,0,,0,0,64,618
Rum,gallons,3.08,,0.05,167.49,0.091945788,6930,17830,,1020,25780,2370,500,,,1700,1900,300,4400,405,,,,,0,0,,,,0,0,782,782,72,30962,2847
Salt,bushels,1.64,,0.05,167.49,0.048958147,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,0,0
Salt,hhds,1.64,,0.35,167.49,0.342707027,,,,,0,0,14,,,,,5,19,7,,,,,0,0,,,,0,0,,0,0,19,7
Servants,,12.03636364,,1,100,12.03636364,,,,,0,0,,,,,,,0,0,287,3,19,,309,3719,,180,19,199,2395,,0,0,508,6114
Staves,,5.07,,0.001,167.49,0.003027046,,,,,0,0,,,,33800,,,33800,102,,,,,0,0,,,,0,0,,0,0,33800,102
Sugar,quarters,51.7,,0.0125,167.49,0.385843931,,5,1,1,7,3,,,,,,2,2,1,,,,,0,0,,,,0,0,,0,0,9,4
Sugar,cwt,51.7,,0.05,167.49,1.543375724,,53,94,14,161,248,,,,,,3,3,5,,,,,0,0,,,,0,0,,0,0,164,253
Sugar,pounds,51.7,,0.000446429,167.49,0.01378014,7200,24,5,,7229,100,,,291,,,14,305,4,,,,,0,0,,,,0,0,,0,0,7534,104
Tar,barrels,9.76,,0.05,167.49,0.291360678,,,,,0,0,,,30,,,,30,9,,,,,0,0,,,,0,0,,0,0,30,9
Turpentine,barrels,18.71,,0.05,167.49,0.558540808,,,,,0,0,,,8,,,,8,4,,,,,0,0,,,,0,0,,0,0,8,4
Wine,gallons,30.7,,0.007936508,167.49,0.145471845,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,3996,,,,,,,,2805,,,,,,4622,,,,,2816,,,98,,14337
