Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Martinico,St. Christophers,WI,,New Providence,Bermuda,Boston,Falmouth NE,Lewes DE,New York,Perth Amboy,Philadelphia,Rhode Island,Salem NE,NA,,TOTAL,
Loaf sugar,pounds,1.06,,0.05,169.9,0.03119482,,,,,0,0,,,,,,,,101,150,,251,8,251,8
Loaf sugar,barrels,1.06,,6.25,169.9,3.89935256,,,,,0,0,,,3,,,1,,1,2,,7,27,7,27
Loaf sugar,cwt,1.06,,5.6,169.9,3.493819894,,,,,0,0,,,2,,,3,,,1,,6,21,6,21
Loaf sugar,quarters,1.06,,1.4,169.9,0.873454974,,,,,0,0,,,1,,,,,,,,1,1,1,1
Molasses,gallons,1.76,,0.05,169.9,0.051795174,,,10000,,10000,518,,,200,120,,,,,,,320,17,10320,535
Molasses,casks,1.76,,3.05,169.9,3.159505592,,,,,0,0,,,,,,,,,4,,4,13,4,13
Molasses,barrels,1.76,,1.45,169.9,1.502060035,,,,,0,0,,,,,,1,,1,4,2.5,8.5,13,8.5,13
Molasses,hhds,1.76,,5.05,169.9,5.231312537,44,,,1,45,235,,,28,,2,1,,11,8,14,64,335,109,570
Molasses,tierces,1.76,,3.05,169.9,3.159505592,5,,,,5,16,,,,,,,,,,6,6,19,11,35
Mordores,,,,1,160.36,0,,,,1,1,0,,,,,,,,,,,0,0,1,0
Pepper,bag,,,,169.9,0,,,,,0,0,,,,,,,,,1,,1,0,1,0
Pepper,pounds,,,,169.9,0,,,,,0,0,,,30,,,,,28,,,58,0,58,0
Plank,feet,10.944,,0.0005,169.9,0.003220718,,,,,0,0,550,,10000,1000,,,,160,1000,,12710,41,12710,41
Plank,M feet,10.944,,0.5,169.9,3.220718069,,,,,0,0,,,10,,,,,,,,10,32,10,32
Potatoes,bushels,,,,169.9,0,,,,,0,0,,,70,,,,,,,,70,0,70,0
Rice,tierces,14.34,,,169.9,0,,,,,0,0,,,,,,1,,,,,1,0,1,0
Rice,barrels,14.34,,,169.9,0,,,,,0,0,,,,,,,,1,,,1,0,1,0
Rum,kegs,3.02,,0.725,169.9,1.288699235,,,,,0,0,,,2,,,,,,,,2,3,2,3
Rum,casks,3.02,,3.05,169.9,5.421424367,,,,,0,0,,,11,,,,,,,,11,60,11,60
Rum,barrels,3.02,,1.45,169.9,2.57739847,,,,,0,0,,,43,2,,7,,4,3,20,79,204,79,204
Rum,tierces,3.02,,3.05,169.9,5.421424367,,,,,0,0,,,5,,,,,,,,5,27,5,27
Rum,hhds,3.02,,5.25,169.9,9.331959976,15,41,,9,65,607,,1,28,,2,7,,22,16,8,84,784,149,1391
Salt,hhds,1.7,,0.35,169.9,0.350206004,,,,,0,0,,,26,,,,,,8,19,53,19,53,19
Salt,bushels,1.7,,0.05,169.9,0.050029429,,,2000,,2000,100,,322.5,290,,,340,,670,,,1622.5,81,3622.5,181
Shingles,M,,,,169.9,0,,,,,0,0,,,,4,,,,1,,,5,0,5,0
Spirits,barrels,3.02,,1.45,169.9,2.57739847,,,,,0,0,,,,,,1,,2,,,3,8,3,8
Spirits,kegs,3.02,,0.725,169.9,1.288699235,,,,,0,0,,,,,,3,,,4,,7,9,7,9
Spirits,cases,3.02,,,169.9,0,,,,,0,0,,,,,,1,,,,,1,0,1,0
Sugar,loaves,1.06,,,169.9,0,,,,,0,0,,,,,,,,47,,,47,0,47,0
Sugar,quarters,52.94,,0.0125,169.9,0.38949382,,,,,0,0,,3,,,,,,,,,3,1,3,1
Sugar,tierces,52.94,,0.495089286,169.9,15.42673737,,,,1,1,15,,,3,,,,,,,,3,46,4,61
Sugar,firkins,52.94,,,169.9,0,,,,,0,0,,,2,,,,,,,,2,0,2,0
Sugar,cwt,52.94,,0.05,169.9,1.55797528,,,,,0,0,,16,,,,,,,10,2,28,44,28,44
Sugar,pounds,52.94,,0.000446429,169.9,0.013910494,,5000,,,5000,70,,24,,,,120,,,,,144,2,5144,72
Sugar,barrels,52.94,,0.15,169.9,4.673925839,,,,,0,0,,,7,,,,,10,8,5,30,140,30,140
Sugar,casks,52.94,,0.15,169.9,4.673925839,,,,,0,0,,,,,,1,,,,,1,5,1,5
Tar,barrels,12.4,,0.05,169.9,0.364920541,,,,,0,0,,,,,,,,28,1,,29,11,29,11
Tea,pounds,6.96,,0.05,169.9,0.204826368,,,,,0,0,,,92,,,,,,,,92,19,92,19
Tea,canisters,6.96,,,169.9,0,,,,,0,0,,,,,,,,1,,,1,0,1,0
Turpentine,barrels,17.55,,0.05,169.9,0.516480283,,,,,0,0,,,,,,1,,1,,,2,1,2,1
Virginia currency,pounds,1,,1,160.36,0.623596907,,,,,0,0,,,,,,47,,157,,,204,127,204,127
Wheat,bushels,4.7,,0.05,169.9,0.138316657,,,,,0,0,,,,,,,,,25,,25,3,25,3
White sugar,pounds,1.06,,0.05,169.9,0.03119482,,,,,0,0,,,725,,,,,,,,725,23,725,23
White sugar,cwt,1.06,,5.6,169.9,3.493819894,,,,,0,0,,,1,,,,,,,,1,3,1,3
White sugar,barrels,1.06,,6.25,169.9,3.89935256,,,,,0,0,,,6,,,,,,,,6,23,6,23
Wine,casks,47.29,,0.25,169.9,6.958505003,,,,,0,0,,,,,,,,,1,,1,7,1,7
Wine,pipes,47.29,,1,169.9,27.83402001,,,,,0,0,,,3,,,,,1,,,4,111,4,111
Wine,gallons,47.29,,0.007936508,169.9,0.220904921,,,,,0,0,,,120,,,,,,,,120,27,120,27
Wine,tierces,47.29,,0.3325,169.9,9.254811654,,,,,0,0,,,,,,,,,1,,1,9,1,9
Wine,quarter casks,47.29,,0.25,169.9,6.958505003,,,,,0,0,,,3,,,2,,2,,2,9,63,9,63
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,2166,,,,,,,,,,,,3703,,5869
