Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadeloupe,Jamaica,St. Christophers,Tortola,WI,,New Providence,Bermuda,Boston,New York,Newport RI,North Carolina,Nova Scotia,Rhode Island,Salem,South Carolina,NA,,London,Bideford,Bristol,Whitehaven,Glasgow,GB,,Cork,IRE,,TOTAL,
Pitch,barrels,13.47,,0.05,176.26,0.38210598,,,,,,,0,0,,,12,,,,,,,,12,5,,,,,,0,0,,0,0,12,5
Plank,feet,13.648,,0.0005,176.26,0.003871553,,1500,,,6000,,7500,29,,1600,,,,,,,,,1600,6,,,,,,0,0,,0,0,9100,35
Pork,hhds,85.63,,0.1,176.26,4.858164076,,1,,,,,1,5,,,,,,,,,,,0,0,,,,,,0,0,,0,0,1,5
Pork,barrels,85.63,,0.05,176.26,2.429082038,,246,,,110,,356,865,,,20,,,,9,55,,,84,204,,,,,,0,0,,0,0,440,1069
Rum,tierces,3.94,,3,176.26,6.706002496,,,,,,,0,0,,,,,,2,,,,,2,13,,,,,,0,0,,0,0,2,13
Rum,hhds,3.94,,5.25,176.26,11.73550437,,,,,,,0,0,,,,,,10,,1,,,11,129,,,,,,0,0,,0,0,11,129
Rye,bushels,3.49,,0.05,176.26,0.099001475,,,,,,,0,0,,,23,,,,,,,,23,2,,,,,,0,0,,0,0,23,2
Salt,bushels,2.86,,0.05,176.26,0.081130149,,,,,,,0,0,,,500,,,480,,,,,980,80,,,,,,0,0,,0,0,980,80
Shingles,,,,,176.26,0,,,,,15000,,15000,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,15000,0
Shingles (cypress),,,,,176.26,0,,60800,,,,,60800,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,60800,0
Ship bread,pounds,17.49,,0.000446429,176.26,0.00442984,,,,,,,0,0,,,,,,,1600,,,,1600,7,,,,,,0,0,,0,0,1600,7
Ship bread,tierces,17.49,,0.11875,176.26,1.178337399,,,,,,,0,0,,,,,,,12,,,,12,14,,,,,,0,0,,0,0,12,14
Skins,,,,,176.26,0,,49600,,,,,49600,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,49600,0
Skins,chests,,,,176.26,0,,,,,,,0,0,,,,,,,,,,,0,0,6,,,,,6,0,,0,0,6,0
Skins,hhds,,,,176.26,0,,,,,,,0,0,,,,,,,,,,,0,0,1,,,,,1,0,,0,0,1,0
Staves,,8.89,,0.001,176.26,0.005043685,,32540,,2800,,,35340,178,,,12000,,9500,,,2080,,,23580,119,79500,,,,,79500,401,,0,0,138420,698
Staves (hhds),,8.89,,0.001,176.26,0.005043685,,2500,,,,,2500,13,,,,,,,,,,,0,0,,,,,,0,0,,0,0,2500,13
Staves and heading,,8.89,,0.001,176.26,0.005043685,,39070,,,42450,6000,87520,441,,,14000,6000,,,,,,,20000,101,74206,5476,7650,7707,33170,128209,647,48623,48623,245,284352,1434
Sugar,hhds,52.15,,0.632142857,176.26,18.70319415,,,,,,,0,0,,,,,,,,,,,0,0,6,,,,,6,112,,0,0,6,112
Tobacco,pounds,21.42,,0.0005,176.26,0.006076251,,,,,1781,,1781,11,,,,,,,,,,,0,0,,,,,,0,0,,0,0,1781,11
Tobacco,hhds,21.42,,0.5285,176.26,6.422597299,,12,1,,2,,15,96,,,,1,,,,,,,1,6,5470,211,269,311,626,6887,44232,,0,0,6903,44334
Turpentine,barrels,13.27,,0.05,176.26,0.376432543,,25,,,,,25,9,,,19,,,,,,,,19,7,,,,,,0,0,,0,0,44,16
Walnut,pieces,13.648,,0.005,176.26,0.038715534,,,,,,,0,0,,,,,,,,,,,0,0,,,,15,,15,1,,0,0,15,1
Walnut boards,,13.648,,0.005,176.26,0.038715534,,,,,,,0,0,,,100,,,,,,,,100,4,,,,,,0,0,,0,0,100,4
Walnut plank,feet,13.648,,0.0005,176.26,0.003871553,,,,,,,0,0,,,,,,,,,,,0,0,300,,,,,300,1,,0,0,300,1
Walnut plank,tons,,,,176.26,0,,,,,,,0,0,,,5,,,,,,,,5,0,,,,,,0,0,,0,0,5,0
Walnut planks,,13.648,,0.005,176.26,0.038715534,,,,,,,0,0,,,130,,,,,,,,130,5,,,,,,0,0,,0,0,130,5
Wheat,bushels,5.66,,0.05,176.26,0.160558266,,,,,,,0,0,,,500,450,10,,,,50,,1010,162,,,,,,0,0,,0,0,1010,162
Wine,quarter casks,50.79,,0.25,176.26,7.20384659,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,0,0
Wine,pipes,50.79,,1,176.26,28.81538636,,,,,,,0,0,,,,,,,,,,,0,0,1,,,,,1,29,,0,0,1,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,11449,,,,,,,,,,,,4912,,,,,,,48010,,,245,,64616
