Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Dominica,Grenade,Havanna,Jamaica,Martinique,Montserrat,Nevis,St. Kitts,St. Martins,WI,,New Providence,Turks Island,Bermuda,Boston,Delaware,New York,North Carolina,Philadelphia,Piscataway,Rhode Island,Salem,South Carolina,NA,,Madeira,Teneriff,SEU,,Africa,AFR,,TOTAL,
Plank,pieces,10.912,,0.005,173,0.031537572,,,,,,,,,,,,,0,0,40,,,,,,,,,,,,40,1,,,0,0,,0,0,40,1
Plank,feet,10.912,,0.0005,173,0.003153757,,,,,,,,,,,,,0,0,2200,,,,,,4000,,,,,,6200,20,,,0,0,,0,0,6200,20
Pork,barrels,86.95,,0.05,173,2.51300578,,,,,,,,,,,,,0,0,,,,,,40,549,,,,,,589,1480,,,0,0,,0,0,589,1480
Potatoes,bushels,,,,173,0,,,,,,,,,,,,,0,0,,,,,,,,,20,250,,,270,0,,,0,0,,0,0,270,0
Refined sugar,pounds,1.04,,0.05,173,0.030057803,,,,,,,,,,,,,0,0,,,5000,,,,,,,,,,5000,150,,,0,0,,0,0,5000,150
Rice,barrels,15.5,,,173,0,,,,,,,,,,,,,0,0,,,,,,,6,,,,,67,73,0,,,0,0,,0,0,73,0
Rum,barrels,3.72,,1.45,173,3.117919075,,,,,,,,,,,,,0,0,,,,3,,,,,,,,,3,9,,,0,0,,0,0,3,9
Rum,hhds,3.72,,5.25,173,11.28901734,8,641,194,,15,7,84,8,101,234,484,,1776,20049,,,76,6,4,113,34,84,48,35,6,,406,4583,,,0,0,,0,0,2182,24632
Rum,gallons,3.72,,0.05,173,0.107514451,,6,,,,,,,,,,,6,1,,,,,,,,,,,,,0,0,,,0,0,,0,0,6,1
Salt,tons,2.21,,,173,0,,,,,,,,,,,,,0,0,,,,,,,,130,,,,,130,0,,,0,0,,0,0,130,0
Salt,hhds,2.21,,0.35,173,0.447109827,,,,,,,,,,,,,0,0,,,,,,,,13,130,19,,,162,72,,,0,0,,0,0,162,72
Salt,bushels,2.21,,0.05,173,0.063872832,170,2600,,,6,,,,1100,,5100,20750,29726,1899,2100,2600,11200,30,,40,170,1950,,25,,500,18615,1189,,,0,0,,0,0,48341,3088
Shingles,,,,,173,0,,,,,,,,,,,,,0,0,,,,,,,5500,2000,,,,,7500,0,,,0,0,,0,0,7500,0
Spirit turpentine,barrels,,,,173,0,,,,,,,,,,,,,0,0,,,,,,,4,,,,,,4,0,,,0,0,,0,0,4,0
Spirits,barrels,3.72,,1.45,173,3.117919075,,,,,,,,,,,,,0,0,,,,,,,,,,3,,,3,9,,,0,0,,0,0,3,9
Spirits,cases,3.72,,,173,0,,,,,,,,,,,,,0,0,,,,,,,,20,,,,,20,0,,,0,0,,0,0,20,0
Staves,,6.82,,0.001,173,0.003942197,,,,,,,,,,,,,0,0,,,,,,,6300,,,,,,6300,25,,,0,0,,0,0,6300,25
Sterling cash,pounds,1,,1,100,1,,,,,,,,,,,,900,900,900,,,,,,,,,,,,,0,0,,,0,0,,0,0,900,900
Sugar,barrels,49.79,,0.15,173,4.317052023,24,151,608,,11,9,118,,13,100,143,,1177,5081,334,,9,4,20,190,8,83,29,17,2,,696,3005,,,0,0,,0,0,1873,8086
Sugar,pounds,49.79,,0.000446429,173,0.012848369,,111,,,,,,,,,,,111,1,,,9700,,,,,,1200,,,,10900,140,,,0,0,,0,0,11011,141
Tar,barrels,12.3,,0.05,173,0.355491329,,,,,,,,,,,,,0,0,,,,,,,1136,,,,,,1136,404,,,0,0,,0,0,1136,404
Tar/turpentine,barrels,12.93,,0.05,173,0.373699422,,,,,,,,,,,,,0,0,,,,,,,172,,,,,,172,64,,,0,0,,0,0,172,64
Tobacco,hhds,19.48,,0.561,173,6.316924855,,,,,,,,,,29,,,29,183,,,,,,,,,,,,,0,0,,,0,0,,0,0,29,183
Wine,quarter casks,49.34,,0.25,173,7.130057803,,,,,,,,,,,,,0,0,,,,,,,,2,,,,,2,14,,,0,0,,0,0,2,14
Wine,pipes,49.34,,1,173,28.52023121,,11,,,,2,,,,,,,13,371,7,,,,,34.75,,29,,6,2,,78.75,2246,119.5,110,229.5,6545,,0,0,321.25,9162
Wine,hhds,49.34,,0.5,173,14.26011561,,7,2,,,14,,,,,,,23,328,9,,,,,6,,7,,,,,22,314,,,0,0,,0,0,45,642
Wine,tierces,49.34,,,173,0,,,,,,,,3,,,,,3,0,,,,,,,,,,,,,0,0,,,0,0,,0,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,33374,,,,,,,,,,,,,,15723,,,,6545,,,2084,,57726
