Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Bay of Honduras,Cape Nicholas,Curacao,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,Mosquito Shore,Nevis,St. Kitts,St. Croix,St. Domingue,St. Eustatia,St. Lucia,St. Martins,St. Vincents,Surinam,Tobago,Tortola,WI,,New Providence,Turks Island,Bermuda,Boston,Falmouth,New London,New York,Newbury,North Carolina,Philadelphia,Piscataqua,Plymouth NE,Providence,Rhode Island,Salem,South Carolina,NA,,London,Hull,Liverpool,GB,,Cadiz,Isle of May,Madeira,Teneriff,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,,,,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirits,kegs,3.35,,0.725,165.69,1.465839821,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,,2,3,,,,0,0,,,,,0,0,2,3
Staves (pipe),M,10.09,,1,165.69,6.089685557,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,25,,,,,,,,25,152,,,,0,0,,,,,0,0,25,152
Staves and heading,,6.77,,0.001,165.69,0.004085944,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,7750,,,,,,,,,,7750,32,,,,0,0,,,,,0,0,7750,32
Sugar,hhds,50.86,,0.679464286,165.69,20.85675271,38,20,,30,,,14,,60,,,16,3,,,10,41,,,,,1,233,4860,,,6,1,,,5,,,2,,,,4,,,18,375,,,,0,0,,,,,0,0,251,5235
Sugar,barrels,50.86,,0.15,165.69,4.604381677,141,1051,,64,,4,,10,61,4,,156,39,,,27,5,8,,,,,1570,7229,9,,,4,6,,7,,,19,,,,49,2,,96,442,,,,0,0,,,,,0,0,1666,7671
Sugar,kilderkins,50.86,,,165.69,0,,,,,,,,,,,,,10,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,10,0
Sugar,pots,50.86,,,165.69,0,,4,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,4,0
Sugar,tierces,50.86,,0.495089286,165.69,15.19720024,63,3,,15,35,,,10,41,,,11,,25,,,7,3,,,,,213,3237,,7,,,,,,,,4,,,,,,,11,167,,,,0,0,,,,,0,0,224,3404
Sugar,pounds,50.86,,0.000446429,165.69,0.013703517,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,7806,,7806,107,7806,107
Tar,barrels,12.41,,0.05,165.69,0.374494538,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,525,,,,,,,,525,197,,,,0,0,,,,,0,0,525,197
Turpentine,barrels,14.31,,0.05,165.69,0.431830527,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,24,,,,,,,,24,10,,,,0,0,,,,,0,0,24,10
Virginia currency,pounds,1,,1,123.6,0.809061489,400,100,,,,,,,150,,,140,140,,,,,,,,,,930,752,,,350,,,,,,,,,,,,,,350,283,,,,0,0,,,,,0,0,1280,1035
Wine,quarter casks,50,,0.25,165.69,7.544209065,,,,,,,12,,,,,,2,,,,,,,,,,14,106,,,,,,,,,,6,,,,,,,6,45,,,,0,0,,,72,,72,543,92,694
Wine,tierces,50,,,165.69,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,,2,0,,,,0,0,,,,,0,0,2,0
Wine,hhds,50,,0.5,165.69,15.08841813,,,,,,,,,,,,,2,,,,,,,,,,2,30,,,,,,,,,,1,,,,,,,1,15,,,,0,0,,,74,,74,1117,77,1162
Wine,pipes,50,,1,165.69,30.17683626,,,,,,,18,,,,,,,,,,,,,,,,18,543,,,,,,,,,,21,,,,,,,21,634,,,,0,0,,,89,40,129,3893,168,5070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77054,,,,,,,,,,,,,,,,,,17832,,,,,419,,,,,,6257,,101562
