Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,St. Kitts,WI,,New Providence,Bermuda,Boston,Nantucket,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,South Carolina,NA,,London,Hull,Lancaster,Liverpool,Whitehaven,Glasgow,Leith,GB,,Cork,IRE,,Gambia,AFR,,Gibraltar,SEU,,TOTAL,
Chocolate,boxes,,,,176.26,,,,,,2,2,0,,4,,,,,7,,,,,11,0,,,,,,,,0,0,,0,0,,0,0,,0,0,13,0
Coffee,pounds,,,,176.26,,,,,,,0,0,,,,,,600,,,,,,600,0,,,,,,,,0,0,,0,0,,0,0,,0,0,600,0
Corn,bushels,3.48,,0.05,176.26,69742,20771,1070.5,2481,3550,14874,112488.5,11105,762,9920,3000,500,5776,,670,700,9346,2750,,33424,3300,,,,,,,,0,0,,0,0,,0,0,5000,5000,494,150912.5,14899
Cotton wool,bags,2.04,,6,176.26,,,,,,,0,0,,,,,,,,,,,,0,0,,1,,,,,,1,7,,0,0,,0,0,,0,0,1,7
Deer Skin,casks,,,,176.26,,,,,,,0,0,,,,,,,,,,,,0,0,8,,,,5,,,13,0,,0,0,,0,0,,0,0,13,0
Deer Skins,hhds,,,,176.26,,,,,,,0,0,,,,,,,,,,,,0,0,8,2,,,11,,,21,0,,0,0,,0,0,,0,0,21,0
Flour,barrels,16.84,,0.089285714,176.26,598,245,282,,,569,1694,1445,30,10,,,,14,,,60,,238,352,300,,,,,,,,0,0,,0,0,,0,0,308,308,263,2354,2008
Hoops,,,,,176.26,2000,,,,,4000,6000,0,,,,,,,,,,,,0,0,,,,,,168,,168,0,,0,0,,0,0,,0,0,6168,0
Iron,tons,11.46,,1,176.26,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,14,,,14,91,,0,0,,0,0,,0,0,14,91
Lumber,,,,,176.26,1023103,1343205,723666,12500,77124,730005,3909603,0,44500,30445,,,94000,,25000,,41450,,,235395,0,135000,,16047,43834,146830,122508,25000,489219,0,86000,86000,0,,0,0,17500,17500,0,4737717,0
Oats,bushels,3.48,,0.05,176.26,350,,,,150,100,600,59,,,,,3950,,,,,,,3950,390,,,,,,,,0,0,,0,0,,0,0,,0,0,4550,449
Peas,hhds,3.48,,0.35,176.26,,,1,,,,1,1,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,1,1
Peas,bushels,3.48,,0.05,176.26,970,1221,,98.5,,860,3149.5,311,36,249,,,250,,,,47,,,582,57,,,,,,,,0,0,,0,0,,0,0,,0,0,3731.5,368
Pig iron,tons,11.46,,1,176.26,,,,,,,0,0,,,,,,,,,,,,0,0,55,18,2,,,,,75,488,,0,0,,0,0,,0,0,75,488
Pitch and turpentine,barrels,13.37,,0.05,176.26,397,181,172,,,108,858,325,8,,,,494,,,,,,,502,190,,163,100,100,50,224,,637,242,,0,0,,0,0,,0,0,1997,757
Plank,feet,14.224,,0.0005,176.26,47683,40374,40979,,3000,23682,155718,628,7000,14500,,,8000,,,,,,,29500,119,,,4084,5711,2985,7000,,19780,80,2500,2500,10,,0,0,,0,0,207498,837
Plank,pieces,14.224,,0.005,176.26,210,,,,,,210,8,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,210,8
Planks,,14.224,,0.005,176.26,31,,,,,,31,1,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,31,1
Pork,pounds,85.63,,0.00025,176.26,2000,,,,,,2000,24,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,2000,24
Pork,hhds,85.63,,0.1,176.26,2,19,201,,,1,223,1083,,,,,,,1,,,,,1,5,1,,,,,4,,5,24,,0,0,,0,0,,0,0,229,1112
Pork,casks,85.63,,0.05,176.26,,2,2,,,,4,10,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,4,10
Pork,barrels,85.63,,0.05,176.26,2845,7998.5,2078,80,193,1445,14639.5,35561,63,467,502,,528,,875,10,325,12,,2782,6758,,,,,,,,0,0,,0,0,,0,0,100,100,243,17521.5,42562
Potatoes,bushels,,,,176.26,,,,,,,0,0,,,,,160,,,,,,,160,0,,,,,,,,0,0,,0,0,,0,0,,0,0,160,0
Rice,barrels,13.9,,,176.26,,,4,,,1,5,0,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,5,0
Rice,tierces,13.9,,,176.26,,,,,,5,5,0,,,,,,,,,,,,0,0,,,,,,30,,30,0,,0,0,,0,0,,0,0,35,0
Rum,barrels,3.94,,,176.26,,,,,,,0,0,2,,,,,,,,,,,2,0,,,,,,,,0,0,,0,0,,0,0,,0,0,2,0
Rum,hhds,3.94,,5,176.26,,,7,,,,7,78,4,,,,,8,45,,,,,57,637,,,,,,,,0,0,,0,0,50,50,559,,0,0,114,1274
Salt,bushels,2.86,,0.05,176.26,,,,,,,0,0,,,,,776,170,,,,,,946,77,,,,,,,,0,0,,0,0,,0,0,,0,0,946,77
Shingles,,,,,176.26,,,,,,,0,0,,,18000,,,,,,,,,18000,0,,,,,,,,0,0,,0,0,,0,0,,0,0,18000,0
Staves,,8.89,,0.001,176.26,,110000,113000,,,,223000,1125,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,223000,1125
Sugar,barrels,52.15,,0.15,176.26,,,,,,,0,0,,,,,,8,,,,,,8,36,,,,,,,,0,0,,0,0,,0,0,,0,0,8,36
Tar,barrels,13.47,,0.05,176.26,188,186,264,,,77,715,273,8,10,,,29,,,,,,,47,18,,366,758,3224,5000,2245,1720,13313,5087,,0,0,,0,0,,0,0,14075,5378
Tea,box,,,,176.26,,,,,,,0,0,,,,,,,1,,,,,1,0,,,,,,,,0,0,,0,0,,0,0,,0,0,1,0
Tobacco,hhds,21.42,,0.5635,176.26,7,41,,,,,48,329,,,,,,,,,,,,0,0,1547,377,17,32,509,628,98,3208,21968,,0,0,,0,0,,0,0,3256,22297
Turpentine,barrels,13.27,,0.05,176.26,,,32,,,,32,12,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,32,12
Wheat,bushels,5.66,,0.05,176.26,,,,,,,0,0,,,1082,,7090.5,,,,,10,,8182.5,1314,,,,,,40,,40,6,,0,0,,0,0,,0,0,8222.5,1320
Wine,quarter casks,50.79,,0.25,176.26,,,,,,,0,0,,,,,,,7,,,,,7,50,,,,,,,,0,0,,0,0,8,8,58,,0,0,15,108
Wine,pipes,50.79,,1,176.26,,,40,,,,40,1153,,,,,23,,30,,,,,53,1527,1,,,,,,,1,29,,0,0,,0,0,,0,0,94,2709
Wine,hhds,50.79,,0.5,176.26,16,,,,,,16,231,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,0,0,16,231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,57400,,,,,,,,,,,,,15551,,,,,,,,,28100,,,10,,,617,,,1132,,102810
