Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,WI,,New Providence,Bermuda,New Castle,New York,North Carolina,Philadelphia,Providence,South Carolina,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Glasgow,GB,,Madeira,SEU,,TOTAL,
Oats,bushels,2.56,,0.05,170.6,,324,1083,,,,1407,106,,,,,,,,,0,0,,,,,,,,0,0,,0,0,1407,106
Peas,bushels,2.56,,0.05,170.6,,261,234,50,,78,623,47,,95,,,,,,,95,7,,,,,,,,0,0,500,500,38,1218,92
Pig iron,tons,8.8,,1,170.6,,,,,,,0,0,,,,,,,,,0,0,30,,,,,,,30,155,,0,0,30,155
Pitch,barrels,18.91,,0.05,170.6,,10,28,,,40,78,43,,48,,182,,20,13,,263,146,371,,,,,,142,513,284,,0,0,854,473
Plank,pieces,7.176,,0.005,170.6,,,,8,,,8,0,,39,,,,,,,39,1,,,,,,,,0,0,,0,0,47,1
Plank,feet,7.176,,0.0005,170.6,,2000,24900,6100,,21000,54000,114,,1000,,,,,,,1000,2,,145,,900,,6717,447,8209,17,,0,0,63209,133
Planks,,7.176,,0.005,170.6,,637,,1600,,,2237,47,,,,,,,,,0,0,,,,144,12,,880,1036,22,,0,0,3273,69
Pork,tierces,63.99,,0.0665,170.6,,,,,,1,1,2,,,,,,,,,0,0,,,,,,,,0,0,,0,0,1,2
Pork,casks,63.99,,0.05,170.6,,2,,,,,2,4,,,,,,,,,0,0,,,,,,,,0,0,,0,0,2,4
Pork,barrels,63.99,,0.05,170.6,104,751,2476,504,70,288,4193,7864,20,246,,10,,,50,,326,611,,,,,129,,,129,242,25,25,47,4673,8764
Pork,pounds,63.99,,0.00025,170.6,,,,2500,,,2500,23,,,,,,,,,0,0,,,,,,,,0,0,,0,0,2500,23
Potatoes,bushels,,,,170.6,,,,,,,0,0,,,,228,,,,,228,0,,,,,,,,0,0,,0,0,228,0
Rum,gallons,3.46,,0.05,170.6,,,,,,,0,0,,,,,341,,,,341,35,,,,,,,,0,0,,0,0,341,35
Salt,bushels,1.69,,0.05,170.6,,,,,,,0,0,,,,,650,,,,650,32,,,,,,,,0,0,,0,0,650,32
Shingles,,,,,170.6,63000,588500,1496200,416400,86600,663100,3313800,0,,34000,,,,,,,34000,0,,,,,,,,0,0,8000,8000,0,3355800,0
Staves,,5.98,,0.001,170.6,3000,7500,,,,,10500,37,,,,,,,,,0,0,,,,,,,,0,0,,0,0,10500,37
Staves and heading,,5.98,,0.001,170.6,,267148,182506,34300,24020,180507,688481,2413,,700,,283,1260,,6000,3000,11243,39,26625,21250,11000,30154,12326,42450,75770,219575,770,11750,11750,41,931049,3263
Tar,barrels,12.89,,0.05,170.6,,45,76,179,,64,364,138,,10,,48,200,347,16,,621,235,,2347,,4272,1134,3606,1845,13204,4988,,0,0,14189,5361
Tobacco,barrels,20.63,,0.25025,170.6,,2,,,,,2,6,,,,,,,,,0,0,,,,,,,,0,0,,0,0,2,6
Tobacco,hhds,20.63,,0.5005,170.6,,3,22,,,,25,151,,,,,,,,1,1,6,702,70,331,23,90,157,1031,2404,14550,,0,0,2430,14707
Turpentine,barrels,19.5,,0.05,170.6,,10,10,7,,45,72,41,,,,55,,10,8,,73,42,28,254,,66,,253,62,663,379,,0,0,808,462
Walnut logs,feet,,,,170.6,,,,,,,0,0,,,,,,,,,0,0,,,,,,534,,534,0,,0,0,534,0
Walnut logs,,,,,170.6,,,,,,,0,0,,,,,,,,,0,0,,,,,9,,,9,0,,0,0,9,0
Wheat,bushels,4.51,,0.05,170.6,,,,,,,0,0,,,45,,,,,,45,6,,,,,,,,0,0,6930,6930,916,6975,922
Wine,quarter casks,29.74,,0.25,170.6,,,,8,,,8,35,,,,,,,,,0,0,,,,,,,,0,0,,0,0,8,35
Wine,pipes,29.74,,1,170.6,,2,,,,,2,35,,,,,29,,,,29,506,4,,,,,,,4,70,,0,0,35,611
Wine,hhds,29.74,,0.5,170.6,,1,,,,,1,9,,,,,,,,,0,0,,,,,,,,0,0,,0,0,1,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20549,,,,,,,,,,4759,,,,,,,,,21477,,,2250,,49035
