Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,St. Christophers,WI,,New Providence,Bermuda,Boston,Halifax,New England,New York,Piscataqua,Rhode Island,Salem,NA,,London,Bristol,Hull,Lancaster,Liverpool,Whitehaven,Dumfries,Glasgow,GB,,Belfast,Cork,Dublin,IRE,,Madeira,SEU,,TOTAL,
Plank,feet,6.72,,0.0005,159,25800,84600,5890,,3000,25441,144731,306,,1000,,,,,,,,1000,2,,,50,,,5000,,3000,8050,17,,,2000,2000,4,,0,0,154783,329
Plank,M feet,6.72,,0.5,159,20,,,,,,20,42,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,0,0,20,42
Planks,,6.72,,0.005,159,,148,,,11,,159,3,,,,,,,,,,0,0,,,15,226,,,,53,294,6,,,,0,0,2500,2500,53,2953,62
Pork,hhds,59.49,,0.1,159,,,8,,,,8,30,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,0,0,8,30
Pork,pounds,59.49,,0.00025,159,,,,,,,0,0,200,,,,,,,,,200,2,,,,,,,,,0,0,,,,0,0,,0,0,2,2
Pork,barrels,59.49,,0.05,159,1973,2779,1409,60,305,674,7200,13469,,924,,84,,627,50,47,40,1772,3315,,,,,,,,,0,0,,,,0,0,,0,0,10515,16784
Potatoes,bushels,,,,159,,,,,,,0,0,,,,,,1250,,,,1250,0,,,,,,,,,0,0,,,,0,0,,0,0,0,0
Potatoes,hhds,,,,159,,,,,,,0,0,,,,,,1,,,,1,0,,,,,,,,,0,0,,,,0,0,,0,0,0,0
Rum,hhds,3.72,,5,159,,,,,,,0,0,,,,30,,,,,,30,351,,,,,,,,,0,0,,1,,1,12,,0,0,352,363
Shingles,,,,,159,241400,284860,421420,8000,47000,44000,1046680,0,,36500,,2000,,,,,,38500,0,,,,,,,,,0,0,,,,0,0,,0,0,1046680,0
Skins,hhds,,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,1,,,1,0,,,,0,0,,0,0,1,0
Skins,chests,,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,2,,,2,0,,,,0,0,,0,0,2,0
Staves,,5.6,,0.001,159,,9000,,,,,9000,32,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,0,0,9000,32
Staves and heading,,5.6,,0.001,159,104078,209880,119118,1000,20000,,454076,1599,,10000,1000,,,,,,,11000,39,,,27010,36000,37830,18950,,89000,208790,735,,,2000,2000,7,20500,20500,72,685405,2452
Sugar,hhds,47.7,,0.632142857,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,1,1,19,,,,0,0,,0,0,1,19
Sugar,barrels,47.7,,0.15,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,5,5,23,,,,0,0,,0,0,5,23
Tar,barrels,9.75,,0.05,159,70,289,28,,12,,399,122,,8,,,,213,30,,,251,77,,,4428,1232,2374,3465,660,5546,17705,5428,,,,0,0,,0,0,18181,5627
Tobacco,hhds,18.33,,0.5725,159,4,13,,,,,17,112,,,,4,,1,,,,5,33,266,84,319,15,,78,,1347,2109,13919,,,,0,0,,0,0,2159,14064
Turpentine,barrels,16.12,,0.05,159,,43,,,,,43,22,,4,,,,77,,,,81,41,,,351,50,33,54,,90,578,293,,,,0,0,,0,0,662,356
Wheat,bushels,3.89,,0.05,159,,,,,,,0,0,,,,,,1927,,,,1927,236,,,,,,,,,0,0,,,6000,6000,734,,0,0,6236,970
Wine,quarter casks,41.77,,0.25,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,0,0,,1,,1,7,,0,0,1,7
Wine,pipes,41.77,,1,159,,,,,,,0,0,,,,,,,,,,0,0,,,50,,,,,,50,1314,,,,0,0,,0,0,50,1314
Wine,hhds,41.77,,0.5,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,1,1,13,,,,0,0,,0,0,1,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,24031,,,,,,,,,,,6366,,,,,,,,,,22635,,,,,765,,,125,,53922
