Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Grandterre,Jamaica,Nevis,St. Kitts,Tortola,Monto Christo,WI,,New Providence,Bermuda,Halifax,New York,North Carolina,Pennsylvania,Perth Amboy,Philadelphia,Rhode Island,Salem,St. Augustine,NA,,Yarmouth,London,Bristol,Hull,Lancaster,Whitehaven,Glasgow,Leith,GB,,Dublin,IRE,,TOTAL,
,,1760,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigo,barrels,7.97,,,158.61,,,,,,,,,,0,0,,,,1,,,,,,,,1,0,,69,,32,,,2,1,104,0,,0,0,105,0
Indigo,casks,7.97,,,158.61,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,5,1,,4,,4,1,15,0,,0,0,15,0
Lumber,,,,,158.61,34586,518200,454400,30000,193000,72000,161500,,,1463686,0,21000,107000,,,,,,,2400,,,130400,0,8000,9400,,8000,,4500,44700,10000,84600,0,,0,0,1678686,0
Molasses,hhds,2.7,,5,158.61,,,,,,,,,,0,0,,,,,2,,,,,,,2,17,,,,,,,,,0,0,,0,0,2,17
Oats,bushels,2.96,,0.05,158.61,,20,,,,,400,,,420,39,200,,,,,,,,,,,200,19,,,,,,,,,0,0,,0,0,620,58
Peas,bushels,2.96,,0.05,158.61,,4331,2730,,,609,410,,,8080,754,242.5,1090,1435,4105,,50,,,171,,,7093.5,662,,,,,,,,,0,0,100,100,9,15273.5,1425
Peas,barrels,2.96,,0.175,158.61,,,,,120,,,,,120,39,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,120,39
Pig iron,tons,10.87,,1,158.61,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,37.5,30,,,,30,,97.5,668,,0,0,97.5,668
Pitch and turpentine,barrels,14.38,,0.05,158.61,,23,6,12,16,3,,,,60,27,57,,107,1000,,,,270,32,,,1466,665,,11,,103,,132,153,,399,181,,0,0,1925,873
Plank,feet,8.56,,0.0005,158.61,12483,121687,24550,1500,25100,2500,25000,,,212820,574,21660,2000,,240,,,,,,,,23900,64,,,,103,60,961,1720,,2844,8,,0,0,239564,646
Plank,pieces,8.56,,0.005,158.61,,,,,,,,,,0,0,2,2,,,,,,,,,,4,0,,,,,,,,,0,0,,0,0,4,0
Planks,,8.56,,0.005,158.61,,,,,13000,,,,,13000,351,2000,,,,,,,,,,,2000,54,,,,,,,,,0,0,1000,1000,27,16000,432
Pork,pounds,69.3,,0.00025,158.61,,300,,,,,,,,300,3,500,,,1224,,,,,,150,,1874,20,,,,,,,,,0,0,,0,0,2174,23
Pork,tierces,69.3,,0.0665,158.61,,,1,,,3,2,,,6,17,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,6,17
Pork,casks,69.3,,0.05,158.61,,2,1,,3,,,,,6,13,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,6,13
Pork,hhds,69.3,,0.1,158.61,,3,6,,,,,,,9,39,,10,,,,,,,,,,10,44,,,,,,,,,0,0,,0,0,19,83
Pork,barrels,69.3,,0.05,158.61,,1037,2735.5,148,381,458,253,,,5012.5,10950,261,709,,170,,,,255,182,,300,1877,4101,,,,,,,,,0,0,,0,0,6889.5,15051
Potatoes,bushels,,,,158.61,,,,,,,,,,0,0,,,,165,,,,,,,,165,0,,,,,,,,,0,0,,0,0,165,0
Rum,hhds,4.73,,5,158.61,,,,,,,,,,0,0,,,,,3,,,,,,,3,45,,,,,,,,,0,0,,0,0,3,45
Salt,bushels,2.555,,0.05,158.61,,,,,,,,,,0,0,,,,,150,,,,,,60,210,17,,,,,,,,,0,0,,0,0,210,17
Staves and shingles,,,,,158.61,,576960,476000,7000,362700,139900,137500,136000,,1836060,0,78000,47000,,47400,,,,,30000,,30000,232400,0,,15900,15000,48225,3000,12550,25700,5247,125622,0,4900,4900,0,2198982,0
Sugar,barrels,47.85,,0.15,158.61,,,,,,,,,,0,0,,,,,,,,,6,,,6,27,,,,13,,,2,,15,68,,0,0,21,95
Sugar,tierces,47.85,,0.489285714,158.61,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,2,,,,,2,30,,0,0,2,30
Tar,barrels,10.82,,0.05,158.61,,2,20,12,24,,,,,58,20,31,,75,604,,,,19,112,,,841,287,,309,,447,,1920,989,,3665,1250,,0,0,4564,1557
Tar and turpentine,barrels,13.715,,0.05,158.61,,,,,,,,,,0,0,,,,117,,,,,,,,117,51,,,,,,,,,0,0,,0,0,117,51
"Tar, pitch, and turpentine",barrels,14.5,,0.05,158.61,,48,30,,,,29,,,107,49,,,,170,,,,,,100,,270,123,1100,,,,,,,,1100,503,,0,0,1477,675
Tobacco,hhds,20.43,,0.5695,158.61,1,107,73,,,,3,,,184,1350,,,11,,,,,,,,,11,81,,878,403,304,163,348,1870,542,4508,33069,,0,0,4703,34500
Tobacco,casks,20.43,,0.28475,158.61,,,,,,1,,,,1,4,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,1,4
Wheat,bushels,5.11,,0.05,158.61,,,2015,,,,,,,2015,325,,,,24131,,,1900,,,,,26031,4193,,,,,,,,,0,0,2100,2100,338,30146,4856
Wine,pipes,50.31,,1,158.61,,,6,,,,2.25,,1,9.25,293,,,,6,,,,,,,,6,190,,,,,,,1,,1,32,,0,0,16.25,515
Wine,hampers,50.31,,,158.61,,,,,,,,,2,2,0,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,2,0
Wine,box,50.31,,,158.61,,,,,,,,,1,1,0,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,35960,,,,,,,,,,,,,15521,,,,,,,,,,36076,,,1106,,88663
