year,good,value,movement_type
1766,Boat boards,27,CL
1766,Bread,447,CL
1766,Bread,3300,CL
1766,Bread,139,CL
1766,Bread,59,CL
1766,Corn,3780,CL
1766,Flaxseed,0,CL
1766,Flour,11313,CL
1766,Furs,0,CL
1766,Hoops,0,CL
1766,Indian corn,1112,CL
1766,Indigo,0,CL
1766,Iron,2697,CL
1766,Madeira,443,CL
1766,Negroes,348,CL
1766,Pine plank,109,CL
1766,Pine planks,1,CL
1766,Pitch,16,CL
1766,Plank,632,CL
1766,Planks,6,CL
1766,Pork,40,CL
1766,Rum,78,CL
1766,Rye,15,CL
1766,Scantling,74,CL
1766,Shingles,0,CL
1766,Skins,0,CL
1766,Skins,0,CL
1766,Staves and heading,2164,CL
1766,Timber,0,CL
1766,Tobacco,0,CL
1766,Tobacco,40096,CL
1766,Walnut,1,CL
1766,Walnut logs,0,CL
1766,Walnut plank,2,CL
1766,Walnut planks,3,CL
1766,Wheat,16547,CL
1767,Beans,330,CL
1767,Beans,1,CL
1767,Beef,13,CL
1767,Beeswax,0,CL
1767,Boat boards,27,CL
1767,Braziletto,0,CL
1767,Bread,150,CL
1767,Bread,3538,CL
1767,Corn,3438,CL
1767,Flaxseed,0,CL
1767,Flour,14862,CL
1767,Ham,2,CL
1767,Hams and bacon,0,CL
1767,Hemp,96,CL
1767,Hoops,0,CL
1767,Inch plank,11,CL
1767,Iron,0,CL
1767,Iron,3921,CL
1767,Mahogany bed posts,0,CL
1767,Mahogany boards,0,CL
1767,Mahogany plank,28,CL
1767,Mahogany window frames,0,CL
1767,Molasses,5,CL
1767,Negroes,139,CL
1767,Oak plank,31,CL
1767,Peas,2,CL
1767,Peas,0,CL
1767,Pine board,0,CL
1767,Pine plank,25,CL
1767,Plank,90,CL
1767,Pork,127,CL
1767,Rough cotton,47,CL
1767,Rum,76,CL
1767,Rum,26,CL
1767,Rye,26,CL
1767,Salt,13,CL
1767,Shingles,0,CL
1767,Ship bread,4,CL
1767,Staves and heading,3264,CL
1767,Sugar,9,CL
1767,Sweet wood bark,0,CL
1767,Tar,43,CL
1767,Tobacco,47133,CL
1767,Turpentine,10,CL
1767,Walnut logs,0,CL
1767,Walnut plank,1,CL
1767,Wheat,28925,CL
1768,Bar iron,3743,CL
1768,Beans,172,CL
1768,Beef,8,CL
1768,Boat boards,3,CL
1768,Bread,298,CL
1768,Bread,259,CL
1768,Bread,11,CL
1768,Bread,4210,CL
1768,Cam wood,0,CL
1768,Corn,5398,CL
1768,Flaxseed,0,CL
1768,Flour,13664,CL
1768,Hemp,10,CL
1768,Hemp,185,CL
1768,Hoops,0,CL
1768,Hoops,0,CL
1768,Inch and quarter oak plank,4,CL
1768,Inch and quarter poplar plank,0,CL
1768,Inch oak plank,140,CL
1768,Inch poplar plank,1,CL
1768,Iron,37,CL
1768,Iron,0,CL
1768,Loaf sugar,17,CL
1768,Madeira,0,CL
1768,Muscovado sugar,29,CL
1768,Oak plank,10,CL
1768,Oak planks,2,CL
1768,Oak timber,5,CL
1768,Peas,7,CL
1768,Pig iron,2067,CL
1768,Pimento,0,CL
1768,Pine plank,173,CL
1768,Pine planks,6,CL
1768,Pitch,3,CL
1768,Plank,91,CL
1768,Poles (hoop),0,CL
1768,Pork,3,CL
1768,Pork,86,CL
1768,Rum,11,CL
1768,Rye,2,CL
1768,Salt,16,CL
1768,Shingles,0,CL
1768,Spokes,0,CL
1768,Squared timber,0,CL
1768,Staves and heading,2665,CL
1768,Sugar,72,CL
1768,Tobacco,45342,CL
1768,Turpentine,15,CL
1768,Two inch pine plank,16,CL
1768,Walnut logs,0,CL
1768,Walnut plank,2,CL
1768,Wheat,23747,CL
1769,Bar iron,4369,CL
1769,Beef,17,CL
1769,Biscuits,8,CL
1769,Boat boards,14,CL
1769,Boat boards,4,CL
1769,Bread,303,CL
1769,Bread,8577,CL
1769,Bread,334,CL
1769,Coffee,0,CL
1769,Coffee,0,CL
1769,Corn,4320,CL
1769,Deer Skin,0,CL
1769,Deer skins (raw),0,CL
1769,Flaxseed,1,CL
1769,Flaxseed,0,CL
1769,Flour,32511,CL
1769,Furs,0,CL
1769,Handspikes,0,CL
1769,Hemp,8,CL
1769,Hoops,0,CL
1769,Inch and half pine planks,0,CL
1769,Iron,118,CL
1769,Madeira,30,CL
1769,Molasses,0,CL
1769,Oak board,8,CL
1769,Oak logs,0,CL
1769,Oak plank,1,CL
1769,Oak planks,0,CL
1769,Peas,0,CL
1769,Pig iron,1341,CL
1769,Pine board,6,CL
1769,Pine boards,0,CL
1769,Pine plank,54,CL
1769,Pine planks,11,CL
1769,Pitch,4,CL
1769,Plank,15,CL
1769,Pork,127,CL
1769,Rum,19,CL
1769,Rye,0,CL
1769,Salt,0,CL
1769,Shingles,0,CL
1769,Squared timber,0,CL
1769,Staves and heading,2193,CL
1769,Timber (squared),0,CL
1769,Tobacco,48384,CL
1769,Turpentine,16,CL
1769,Two inch oak plank,7,CL
1769,Walnut,1,CL
1769,Walnut plank,1,CL
1769,Wheat,54911,CL
1769,Wheel timber,0,CL
1769,Wine,0,CL
1770,Bar iron,4262,CL
1770,Bar iron,0,CL
1770,Beef,17,CL
1770,Beeswax,0,CL
1770,Beeswax,0,CL
1770,Boat boards,5,CL
1770,Bread,41,CL
1770,Bread,215,CL
1770,Bread,23,CL
1770,Bread,6158,CL
1770,Brown sugar,13,CL
1770,Chocolate,0,CL
1770,Corn,3675,CL
1770,Deer Skin,0,CL
1770,Deer Skins,0,CL
1770,Deer skins (raw),0,CL
1770,Flaxseed,0,CL
1770,Flour,45432,CL
1770,Ham,5,CL
1770,Hoops,0,CL
1770,Inch boards,38,CL
1770,Inch plank,19,CL
1770,Loaf sugar,3,CL
1770,Molasses,27,CL
1770,Muscovado sugar,15,CL
1770,Oak plank,177,CL
1770,Oak planks,29,CL
1770,Oak timber,0,CL
1770,Pig iron,3125,CL
1770,Pig iron,0,CL
1770,Pine boards,7,CL
1770,Pine planks,104,CL
1770,Poles (hoop),0,CL
1770,Pork,85,CL
1770,Rum,59,CL
1770,Rum,10,CL
1770,Rye,9,CL
1770,Salt,96,CL
1770,Scantling,16,CL
1770,Shingles,0,CL
1770,Skins,0,CL
1770,Squirrel skins,0,CL
1770,Staves,19,CL
1770,Staves and heading,4959,CL
1770,Sugar,25,CL
1770,Tar,22,CL
1770,Timber,0,CL
1770,Timber,0,CL
1770,Tobacco,61257,CL
1770,Turpentine,1,CL
1770,Two and half inch planks,2,CL
1770,Walnut planks,2,CL
1770,Wheat,48,CL
1770,Wheat,50089,CL
1770,Wheel timber,0,CL
1770,Wine,81,CL
1771,Bacon,2,CL
1771,Bar iron,4670,CL
1771,Beans,14,CL
1771,Beeswax,0,CL
1771,Boat boards,128,CL
1771,Bread,131,CL
1771,Bread,378,CL
1771,Bread,5584,CL
1771,Cedar posts,0,CL
