port,year,good,value,movement_type
YORK,1756,Wine,19,EN
YORK,1756,Wine,950,EN
YORK,1756,,,EN
YORK,1758,Cotton,44,EN
YORK,1758,Ginger,0,EN
YORK,1758,Molasses,95,EN
YORK,1758,Pimento,0,EN
YORK,1758,Pitch,10,EN
YORK,1758,Plank,0,EN
YORK,1758,Rum,3465,EN
YORK,1758,Salt,382,EN
YORK,1758,Sugar,276,EN
YORK,1758,Sugar,0,EN
YORK,1758,Sugar,2,EN
YORK,1758,Tar,17,EN
YORK,1758,Turpentine,18,EN
YORK,1758,Wine,7,EN
YORK,1758,Wine,2128,EN
YORK,1758,,,EN
YORK,1760,Chocolate,0,EN
YORK,1760,Dollars,46,EN
YORK,1760,Molasses,117,EN
YORK,1760,Refined sugar,0,EN
YORK,1760,Rum,10086,EN
YORK,1760,Salt,25,EN
YORK,1760,Sugar,2,EN
YORK,1760,Sugar,854,EN
YORK,1760,Sugar,9,EN
YORK,1760,Wine,159,EN
YORK,1760,,,EN
YORK,1761,Bread,26,EN
YORK,1761,Chocolate,0,EN
YORK,1761,Molasses,41,EN
YORK,1761,Negroes,6980,EN
YORK,1761,Pitch,61,EN
YORK,1761,Pork,150,EN
YORK,1761,Refined sugar,391,EN
YORK,1761,Rum,5549,EN
YORK,1761,Salt,2,EN
YORK,1761,Sugar,1040,EN
YORK,1761,Sugar,1,EN
YORK,1761,Sugar,6,EN
YORK,1761,Tar,55,EN
YORK,1761,Virginia currency,81,EN
YORK,1761,Wine,325,EN
YORK,1761,Wine,848,EN
YORK,1761,Wine,3053,EN
YORK,1761,,,EN
YORK,1762,Chocolate,0,EN
YORK,1762,Coffee,0,EN
YORK,1762,Dollars,230,EN
YORK,1762,Molasses,341,EN
YORK,1762,Negroes,2279,EN
YORK,1762,Pimento,0,EN
YORK,1762,Refined sugar,6,EN
YORK,1762,Refined sugar,228,EN
YORK,1762,Rum,3467,EN
YORK,1762,Salt,61,EN
YORK,1762,Sugar,3,EN
YORK,1762,Sugar,563,EN
YORK,1762,Sugar,16,EN
YORK,1762,Virginia currency,66,EN
YORK,1762,Wine,202,EN
YORK,1762,Wine,1009,EN
YORK,1762,Wine,115,EN
YORK,1762,,,EN
YORK,1764,Cheese,0,EN
YORK,1764,Cheese,0,EN
YORK,1764,Convicts,253,EN
YORK,1764,Cotton,6,EN
YORK,1764,Loaf sugar,23,EN
YORK,1764,Loaf sugar,11,EN
YORK,1764,Molasses,198,EN
YORK,1764,Negroes,139,EN
YORK,1764,Pig iron,457,EN
YORK,1764,Pig iron,4,EN
YORK,1764,Rum,3830,EN
YORK,1764,Salt,111,EN
YORK,1764,Salt,21,EN
YORK,1764,Sugar,871,EN
YORK,1764,Sugar,2,EN
YORK,1764,Sugar,0,EN
YORK,1764,Wine,234,EN
YORK,1764,Wine,2164,EN
YORK,1764,Wine,37,EN
YORK,1764,,,EN
YORK,1765,Bread,26,EN
YORK,1765,Cash,125,EN
YORK,1765,Cheese,0,EN
YORK,1765,Chocolate,0,EN
YORK,1765,Chocolate,0,EN
YORK,1765,Coffee,0,EN
YORK,1765,Coffee,0,EN
YORK,1765,Coffee,0,EN
YORK,1765,Loaf sugar,234,EN
YORK,1765,Loaf sugar,12,EN
YORK,1765,Loaf sugar,361,EN
YORK,1765,Loaf sugar,84,EN
YORK,1765,Molasses,478,EN
YORK,1765,Pig iron,1185,EN
YORK,1765,Rum,3858,EN
YORK,1765,Salt,32,EN
YORK,1765,Spirits,8,EN
YORK,1765,Sugar,2,EN
YORK,1765,Sugar,838,EN
YORK,1765,Sugar,11,EN
YORK,1765,Tea,8,EN
YORK,1765,Wine,278,EN
YORK,1765,Wine,2282,EN
YORK,1765,Wine,77,EN
YORK,1765,,,EN
YORK,1768,Bar iron,114,EN
YORK,1768,Bar iron,12,EN
YORK,1768,Cash,346,EN
YORK,1768,Cash,1,EN
YORK,1768,Chocolate,0,EN
YORK,1768,Coffee,0,EN
YORK,1768,Coffee,0,EN
YORK,1768,Ginger,0,EN
YORK,1768,Loaf sugar,152,EN
YORK,1768,Loaf sugar,809,EN
YORK,1768,Loaf sugar,17,EN
YORK,1768,Loaf sugar,3,EN
YORK,1768,Molasses,60,EN
YORK,1768,Molasses,2,EN
YORK,1768,Molasses,3,EN
YORK,1768,Molasses,98,EN
YORK,1768,Rum,5250,EN
YORK,1768,Salt,20,EN
YORK,1768,Sugar,6,EN
YORK,1768,Sugar,2,EN
YORK,1768,Sugar,828,EN
YORK,1768,Tobacco,14,EN
YORK,1768,Wine,86,EN
YORK,1768,Wine,515,EN
YORK,1768,Wine,3409,EN
YORK,1768,,,EN
YORK,1769,Bread,46,EN
YORK,1769,Cash,0,EN
YORK,1769,Cash,1,EN
YORK,1769,Cash,1174,EN
YORK,1769,Cheese,0,EN
YORK,1769,Cheese,0,EN
YORK,1769,Chocolate,0,EN
YORK,1769,Chocolate,0,EN
YORK,1769,Loaf sugar,31,EN
YORK,1769,Loaf sugar,15,EN
YORK,1769,Loaf sugar,23,EN
YORK,1769,Molasses,654,EN
YORK,1769,Negroes,38,EN
YORK,1769,Pig iron,206,EN
YORK,1769,Rum,3893,EN
YORK,1769,Salt,5,EN
YORK,1769,Salt,26,EN
YORK,1769,Salt,38,EN
YORK,1769,Sugar,92,EN
YORK,1769,Sugar,272,EN
YORK,1769,Sugar,337,EN
YORK,1769,Tea,4,EN
YORK,1769,White sugar,3,EN
YORK,1769,Wine,869,EN
YORK,1769,Wine,411,EN
YORK,1769,Wine,122,EN
YORK,1769,Wine,975,EN
YORK,1769,,,EN
YORK,1771,Bread,2,EN
YORK,1771,Cash,129,EN
YORK,1771,Cheese,0,EN
YORK,1771,Chocolate,0,EN
YORK,1771,Coffee,0,EN
YORK,1771,Linen,0,EN
YORK,1771,Molasses,899,EN
YORK,1771,Negroes,614,EN
YORK,1771,Refined sugar,366,EN
YORK,1771,Rum,5691,EN
YORK,1771,Salt,53,EN
YORK,1771,Salt,43,EN
YORK,1771,Sugar,486,EN
YORK,1771,,,EN
