year,good,value,movement_type
1762,Pork,1555,CL
1762,Rum,211,CL
1762,Shingles,0,CL
1762,Skins,0,CL
1762,Skins,0,CL
1762,Skins,0,CL
1762,Skins,0,CL
1762,Staves,3236,CL
1762,Sugar,187,CL
1762,Sugar,9,CL
1762,Tobacco,138349,CL
1762,Turpentine,26,CL
1762,Wax,0,CL
1762,Wheat,5087,CL
1763,Bar iron,422,CL
1763,Beans,1,CL
1763,Beef,64,CL
1763,Bread,131,CL
1763,Corn,4892,CL
1763,Cotton,3,CL
1763,Cotton,162,CL
1763,Flour,258,CL
1763,Furs,0,CL
1763,Hoops,0,CL
1763,Indigo,0,CL
1763,Indigo,0,CL
1763,Indigo,0,CL
1763,Indigo,0,CL
1763,Loaf sugar,18,CL
1763,Logs (walnut),0,CL
1763,Logs (walnut),0,CL
1763,Lumber,189,CL
1763,Molasses,6,CL
1763,Oats,33,CL
1763,Peas,141,CL
1763,Pig iron,349,CL
1763,Plank,13,CL
1763,Planks,2,CL
1763,Pork,959,CL
1763,Pork,18,CL
1763,Potatoes,0,CL
1763,Rum,85,CL
1763,Rum,8,CL
1763,Rum,16,CL
1763,Rum,11,CL
1763,Shingles,0,CL
1763,Skins,0,CL
1763,Skins,0,CL
1763,Skins,0,CL
1763,Skins,0,CL
1763,Skins,0,CL
1763,Staves,3018,CL
1763,Tobacco,142939,CL
1763,Tobacco,3,CL
1763,Wax,0,CL
1763,Wheat,2674,CL
1763,Wine,28,CL
1763,Wine,14,CL
1763,Wine,171,CL
1764,Beans,6,CL
1764,Bread,82,CL
1764,Corn,5079,CL
1764,Cotton,104,CL
1764,Flaxseed,0,CL
1764,Flour,347,CL
1764,Handspikes,0,CL
1764,Heading,11,CL
1764,Hoops,0,CL
1764,Indigo,0,CL
1764,Indigo,0,CL
1764,Logs (walnut),0,CL
1764,Molasses,3,CL
1764,Molasses,5,CL
1764,Negroes,139,CL
1764,Oats,37,CL
1764,Peas,172,CL
1764,Pig iron,506,CL
1764,Plank,48,CL
1764,Plank,0,CL
1764,Planks,20,CL
1764,Pork,2595,CL
1764,Pork,11,CL
1764,Pork,57,CL
1764,Potatoes,0,CL
1764,Rice,0,CL
1764,Rum,90,CL
1764,Rum,14,CL
1764,Shingles,0,CL
1764,Skins,0,CL
1764,Skins,0,CL
1764,Staves,1936,CL
1764,Staves (pipes),1,CL
1764,Sugar,8,CL
1764,Tar,236,CL
1764,Tobacco,86244,CL
1764,Turpentine,100,CL
1764,Wax,0,CL
1764,Wax,0,CL
1764,Wheat,4434,CL
1764,Wine,73,CL
1764,Wine,29,CL
1764,Wine,453,CL
1764,Wine,0,CL
1765,Beans,14,CL
1765,Beef,10,CL
1765,Bread,27,CL
1765,Bread,13,CL
1765,Cheese,0,CL
1765,Chocolate,0,CL
1765,Coffee,0,CL
1765,Coffee,0,CL
1765,Corn,6490,CL
1765,Cotton,35,CL
1765,Flour,874,CL
1765,Handspikes,0,CL
1765,Indigo,0,CL
1765,Indigo,0,CL
1765,Iron,1846,CL
1765,Iron,1,CL
1765,Molasses,2,CL
1765,Peas,0,CL
1765,Peas,231,CL
1765,Pig iron,1656,CL
1765,Pitch,27,CL
1765,Plank,2,CL
1765,Plank,15,CL
1765,Planks,11,CL
1765,Pork,19,CL
1765,Pork,1054,CL
1765,Potatoes,0,CL
1765,Potatoes,0,CL
1765,Rum,37,CL
1765,Rum,10,CL
1765,Rum,19,CL
1765,Rum,9,CL
1765,Rye,1,CL
1765,Shingles,0,CL
1765,Skins,0,CL
1765,Skins,0,CL
1765,Skins,0,CL
1765,Skins,0,CL
1765,Skins,0,CL
1765,Spirits,19,CL
1765,Staves,760,CL
1765,Tar,31,CL
1765,Tea,2,CL
1765,Tobacco,48889,CL
1765,Turpentine,2,CL
1765,Wax,0,CL
1765,Wheat,5705,CL
1765,Wine,14,CL
1765,Wine,28,CL
1765,Wine,56,CL
1766,Bar iron,348,CL
1766,Beans,27,CL
1766,Beef,8,CL
1766,Biscuits,1,CL
1766,Bread,8,CL
1766,Bread,209,CL
1766,Bread,59,CL
1766,Bread,15,CL
1766,Corn,2264,CL
1766,Cotton,193,CL
1766,Flaxseed,0,CL
1766,Flour,1078,CL
1766,Hams,0,CL
1766,Handspikes,0,CL
1766,Hemp,0,CL
1766,Hemp,49,CL
1766,Hemp,0,CL
1766,Hemp,0,CL
1766,Hoops,0,CL
1766,Indigo,0,CL
1766,Indigo,0,CL
1766,Indigo,0,CL
1766,Iron,0,CL
1766,Iron,0,CL
1766,Iron,1613,CL
1766,Oats,120,CL
1766,Peas,2,CL
1766,Peas,13,CL
1766,Peas,300,CL
1766,Pitch,194,CL
1766,Plank,264,CL
1766,Plank,8,CL
1766,Planks,23,CL
1766,Pork,12,CL
1766,Pork,80,CL
1766,Potatoes,0,CL
1766,Rum,10,CL
1766,Rum,3,CL
1766,Rum,39,CL
1766,Rum,8,CL
1766,Shingles,0,CL
1766,Skins,0,CL
1766,Skins,0,CL
1766,Skins,0,CL
1766,Skins,0,CL
1766,Staves,2291,CL
1766,Sugar,5,CL
1766,Tar,440,CL
1766,Tobacco,129837,CL
1766,Turpentine,31,CL
1766,Wax,0,CL
1766,Wax,0,CL
1766,Wax,0,CL
1766,Wheat,5902,CL
1766,Wine,0,CL
1766,Wine,30,CL
1768,Beans,85,CL
1768,Bread,246,CL
1768,Bread,198,CL
1768,Bread,3,CL
1768,Corn,7266,CL
1768,Cotton,0,CL
