Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,St. Eustatia,WI,,Bermuda,Boston,Halifax,New London,New York,North Carolina,Philadelphia,Rhode Island,NA,,Bideford,Bristol,Falmouth,Glasgow,London,GB,,Cork,Newry,IRE,,Lisbon,SEU,,TOTAL,
Flaxseed,bushels,4.42,,0.05,168.35,0.131274131,,,,,,0,0,,,,,15,,,,15,2,,,796.5,,,796.5,105,,,0,0,,0,0,811.5,107
Flour,barrels,14.11,,0.089285714,168.35,0.748334677,,1437,137,238,,1812,1356,180,,57,,,,78,,315,236,,,,,,0,0,,108,108,81,,0,0,2235,1673
Furs,hhds,,,,168.35,0,,,,,,0,0,,,,,,,,,0,0,,,,,1,1,0,,,0,0,,0,0,1,0
Gammons,barrels,61.19,,0.05,168.35,1.817344817,1,,,,,1,2,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,1,2
Hoops,,,,,168.35,0,,3976,,,,3976,0,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,3976,0
Inch pine plank,feet,7.872,,0.0005,168.35,0.002337986,,1200,,,,1200,3,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,1200,3
Iron,tons,7.67,,1,168.35,4.555984556,,,,,,0,0,,,,,,4,,,4,18,20,72,,,302.5,394.5,1797,1.5,,1.5,7,,0,0,400,1822
Madeira,pipes,28.96,,1,168.35,17.2022572,,,,,,0,0,,,,,,,,,0,0,,,,,2,2,34,,,0,0,,0,0,2,34
Molasses,hhds,2,,5.05,168.35,5.999405999,,,,,,0,0,,,,1,,,,,1,6,,,,,,0,0,,,0,0,,0,0,1,6
Negroes,,33.1,,1,100,33.1,,,,3,,3,99,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,3,99
Oak plank,feet,7.872,,0.0005,168.35,0.002337986,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,2000,,2000,5,,0,0,2000,5
Peas,bushels,2.34,,0.05,168.35,0.069498069,,17,,,,17,1,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,17,1
Peas,barrels,2.34,,0.175,168.35,0.243243243,,5,,,,5,1,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,5,1
Pig iron,tons,7.67,,1,168.35,4.555984556,,,,,,0,0,,,,15,,,,,15,68,,,,,51,51,232,,,0,0,,0,0,66,300
Pine plank,feet,7.872,,0.0005,168.35,0.002337986,,100,,,,100,0,2000,,,,,,,,2000,5,,,,,,0,0,,,0,0,,0,0,2100,5
Plank,feet,7.872,,0.0005,168.35,0.002337986,,18851,,,,18851,44,,,,,,,,,0,0,,8962,650,,900,10512,25,,,0,0,,0,0,29363,69
Pork,barrels,61.19,,0.05,168.35,1.817344817,3,48,,,6,57,104,,20,,,,,,,20,36,,,,,,0,0,,,0,0,,0,0,77,140
Pork,pounds,61.19,,0.00025,168.35,0.009086724,,,,,,0,0,,,1362,,,,,,1362,12,,,,,,0,0,,,0,0,,0,0,1362,12
Rum,hhds,3.22,,5.25,168.35,10.04158004,,,,,,0,0,,,,3,2,,,,5,50,,,,,,0,0,,,0,0,,0,0,5,50
Scantling,feet,7.872,,0.0005,168.35,0.002337986,,5902,,,,5902,14,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,5902,14
Shingles,,,,,168.35,0,2000,10970,,,,12970,0,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,12970,0
Shingles (cypress),,,,,168.35,0,,12940,,,,12940,0,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,12940,0
Ship biscuit,pounds,15.89,,0.000446429,168.35,0.004213692,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,0,0
Skins,boxes,,,,168.35,0,,,,,,0,0,,,,,,,,,0,0,,,,,1,1,0,,,0,0,,0,0,1,0
Staves,M,4.92,,1,168.35,2.922482922,,,9,,,9,26,,,,,,,,,0,0,,,,,6,6,18,,,0,0,,0,0,15,44
Staves,,4.92,,0.001,168.35,0.002922483,11800,122726,460,3500,,138486,405,,600,,,,,1900,,2500,7,11000,37871,8300,21600,157797,236568,691,101800,43200,145000,424,18882,18882,55,541436,1582
Timber,tons,,,,168.35,0,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,,4,4,0,,0,0,4,0
Tobacco,pounds,17.77,,0.0005,168.35,0.005277695,,3790,,,,3790,20,,,737,,,,,,737,4,,,,,,0,0,,,0,0,,0,0,4527,24
Tobacco,hhds,17.77,,0.513,168.35,5.414915355,,,,,,0,0,,,,,,,,,0,0,497,828,206,683,6036,8250,44673,,,0,0,,0,0,8250,44673
Walnut logs,tons,,,,168.35,0,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,,5,5,0,,0,0,5,0
Walnut logs,feet,7.872,,0.0005,168.35,0.002337986,,,,,,0,0,,,,,,,,,0,0,,96,,,,96,0,,,0,0,,0,0,96,0
Walnut plank,feet,7.872,,0.0005,168.35,0.002337986,,,,,,0,0,,,,,,,,,0,0,200,533,,300,1580,2613,6,,,0,0,,0,0,2613,6
Wheat,bushels,4.46,,0.05,168.35,0.132462132,,,,,,0,0,,2070,,,50,,2145,1300,5565,737,,,,,,0,0,,,0,0,10655,10655,1411,16220,2148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,5095,,,,,,,,,,1898,,,,,,,47738,,,,547,,,1466,,56744
