Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenada,Grenadoes,Hispaniola,Jamaica,St. Croix,St. Eustatia,St. Kitts,St. VIncents,Tortola,WI,,New Providence,Boston,Falmouth,Marblehead,New York,Newfoundland,North Carolina,Philadelphia,Plymouth NE,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford,Newry,Belfast,Cork,Dublin,Londonderry,Sligo,IRE,,Alicant,Bilboa,Cadiz,Leghorn,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1773,,,,Sterling,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian corn,hhds,3.14,,0.35,166.27,0.660973116,,,,,,,,8,,,,,8,5,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,8,5
Indian meal,hhds,,,,166.27,0,2,,,,,,,,,,,,2,0,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,2,0
Indian meal,barrels,,,,166.27,0,,,,,,,,20,,,,,20,0,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,20,0
Madeira,pipes,56.75,,1,166.27,34.13123233,,1,,,,,,,,,,,1,34,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,1,34
Madeira,gallons,56.75,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,380,,,,380,0,,,,,1621,,,1621,0,,,,,,,0,0,,0,0,2001,0
Oars,,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,218,,,,218,0,,,,,,,,0,0,,,,,,,0,0,,0,0,218,0
Peas,barrels,3.14,,0.175,166.27,0.330486558,2,,,,,,10,,,3,,6,21,7,,,4,,1,,,,,,,,5,2,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,26,9
Peas,bushels,3.14,,0.05,166.27,0.094424731,,,,,,,10,,,,,,10,1,,,,,,,,,,40,12,,52,5,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,62,6
Peas,hhds,3.14,,0.35,166.27,0.660973116,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,13,13,9,13,9
Pig iron,tons,8.35,,1,166.27,5.021952246,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,6,30,462,55,,30,547,2747,,,,,,,,0,0,,,,,15,,15,75,,0,0,568,2852
