Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenada,Grenadoes,Hispaniola,Jamaica,Nevis,St. Croix,St. Eustatia,St. Kitts,St. Lucia,St. Martins,St. Vincent,Wi,,New Providence,Boston,Falmouth NE,New  York,Newfoundland,North Carolina,Philadelphia,Rhode Island,Salem,Sinepuxent DE,NA,,London,Bristol,Cowes,Liverpool,Glasgow,GB,,Milford,Newry,Ballyshannon,Belfast,Cork,Dublin,Galway,Londonderry,Waterford,IRE,,Barcelona,Cadiz,Lisbon,Madeira,SEU,,TOTAL,
Deer Skin,pounds,,,,160.83,0,,,,,,,,,,,,,,,0,0,,270,,,,,,,,,270,0,13200,,,380,,13580,0,,,,,,,,,,0,0,,,,,0,0,13850,0
Deer Skin,chests,,,,160.83,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,5,,,,,5,0,,,,,,,,,,0,0,,,,,0,0,5,0
Flaxseed,hhds,8.8,,,160.83,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,,425.5,308,,138,400,844,,2115.5,0,,,,,0,0,2115.5,0
Flaxseed,barrels,8.8,,,160.83,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,,,,,1,,,,1,0,,,,,0,0,1,0
Flour,barrels,20.26,,0.089285714,160.83,1.124745739,1109,3439,660,164,53,200,1161,,136,417,300,281,230,,8150,9167,305,8877,380,60,161,,,157,203,,10143,11408,,,1200,134,,1334,1500,800,,,694,100,,,295,,1889,2125,36,2984,12517,2235,17772,19989,39288,44189
Furs and skins,cases,,,,160.83,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,35,,,,,35,0,,,,,,,,,,0,0,,,,,0,0,35,0
Ham,hhds,93.46,,,160.83,0,,,,,,,,,3,,,,,,3,0,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,3,0
Handspikes,,,,,160.83,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,364,,,,,364,0,,,,,,,,,,0,0,,,,,0,0,364,0
Hoops,,,,,160.83,0,,6150,2000,,,9000,10800,1300,2575,3000,,,5050,3360,43235,0,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,43235,0
Inch plank,feet,10.752,,0.0005,160.83,0.00334266,,,,,,,,,,,,,,,0,0,,,,,,,360,,,,360,1,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,360,1
Loaf sugar,pounds,0.94,,0.05,160.83,0.029223404,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,0,0
Mahogany,pieces,10.752,,0.005,160.83,0.0334266,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,0,0
Molasses,barrels,1.75,,1.45,160.83,1.577752907,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,1,2,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,1,2
Oak board,feet,10.752,,0.0005,160.83,0.00334266,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,4000,,,,,4000,13,,,,,7556,,,1000,,8556,29,,,,,0,0,12556,42
Oak boards,,10.752,,0.005,160.83,0.0334266,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,1700,,1700,57,,,140,,800,,,,,940,31,,,,,0,0,2640,88
Oak planks,,10.752,,0.005,160.83,0.0334266,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,487,,487,16,,,,,,,,,,0,0,,,,,0,0,487,16
Oats,barrels,3.69,,0.05,160.83,0.114717403,,,,,,,,,,,,,,,0,0,3,,,,,,,,,,3,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,3,0
Peas,casks,3.69,,0.175,160.83,0.401510912,,,,,,,2,,,,,,,,2,1,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,2,1
Pig iron,tons,8.15,,1,160.83,5.067462538,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,278,48,,29,40,395,2002,,,,,7.5,,,,,7.5,38,,,,,0,0,402.5,2040
Pine board,feet,10.752,,0.0005,160.83,0.00334266,,,,,30000,,,,,,,1200,,,31200,104,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,31200,104
Pine plank,feet,10.752,,0.0005,160.83,0.00334266,,,,15800,,24000,,,,,,,1955,,41755,140,33000,,,,,,,,,,33000,110,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,74755,250
Pine planks,,10.752,,0.005,160.83,0.0334266,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,200,200,7,,,,,,,,,,0,0,,,,,0,0,200,7
Pork,barrels,93.46,,0.05,160.83,2.905552447,,,,,,,,,14,,,,,,14,41,9,,,,,,,,,,9,26,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,23,67
Rum,hhds,3.44,,5.25,160.83,11.22924827,,14,,,,,,,,,,,,,14,157,,6,,,,,,,,,6,67,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,20,224
Rum,gallons,3.44,,0.05,160.83,0.106945222,,,,,,,,,,,,,,,0,0,,220,,,,,,,,,220,24,,,,,,0,0,,,,,430,,110,,,540,58,,,200,,200,21,960,103
Rum,barrels,3.44,,1.45,160.83,3.101411428,,,,,,,,,,,,,,,0,0,,,,,,,2,,,1,3,9,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,3,9
Scantling,feet,10.752,,0.0005,160.83,0.00334266,,,,37000,5000,4000,,,,,,,,,46000,154,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,46000,154
Scantling,pieces,10.752,,0.005,160.83,0.0334266,,,,,,,,,,,,,,379,379,13,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,379,13
Shingles,,,,,160.83,0,17000,9000,,30800,1500,,50000,,,,,3500,,20279,132079,0,5600,,,,,,,,,,5600,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,137679,0
Ship bread,hhds,19.95,,0.178571429,160.83,2.215071815,,,,,,,,,,,,,,,0,0,,,,,5,,,,,,5,11,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,5,11
Staves and heading,,6.72,,0.001,160.83,0.004178325,9000,52609,19500,43000,30900,89320,35105,,9300,3000,29952,3000,22275,8500,355461,1485,,14650,,,10200,,1960,,,,26810,112,245245,49500,,51163,36460,382368,1598,,5500,8400,32000,"395,940",72920,13000,15000,10000,156820,655,,74348,38130,25685,138163,577,1059622,4427
Tar,barrels,14.32,,0.05,160.83,0.445190574,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,20,9,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,20,9
Tea,pounds,4.1,,0.05,160.83,0.127463782,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,0,0
Tobacco,hhds,32.29,,0.51,160.83,10.23932102,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,6529,457,,206,1107,8299,84976,,,,,,,,,,0,0,,,,,0,0,8299,84976
Walnut,feet,10.752,,0.0005,160.83,0.00334266,,,,,,,,,,,,,,,0,0,,700,,,,,,,,,700,2,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,700,2
Walnut plank,feet,10.752,,0.0005,160.83,0.00334266,,,,,,,,,,,,,,,0,0,,6500,,,,,,,,,6500,22,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,6500,22
Wheat,bushels,7.74,,0.05,160.83,0.240626749,,,,,,,,,,,,,,,0,0,,,,,,,1700,2150,,,3850,926,,,,,,0,0,6500,4600,,3000,6700,,,2500,,23300,5607,8000,8968,47401,6700,71069,17101,98219,23634
Wheel timber,pieces,,,,160.83,0,,,,,,,,,,,,,,,0,0,,,,,,,2800,,,,2800,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,2800,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,,,17437,,,,,,,,,,,,18078,,,,,,,93559,,,,,,,,,,,9129,,,,,,42429,,180632
