Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Hispaniola,Jamaica,St. Croix,St. Eustatia,St. Kitts,St. VIncents,Surinam,Tortola,WI,,New Providence,Turks Island,Boston,Casco Bay,Falmouth,Marblehead,New England,New York,Newfoundland,North Carolina,Philadelphia,Piscataqua,Plymouth,Rhode Island,Salem,St. Augustine,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford,Newry,Belfast,Cork,Dublin,Galway,Londonderry,Waterford,Younghall,IRE,,Alicant,Barcelona,BIlboa,Cadiz,Genoa,Gibraltar,Leghorn,Lisbon,Madeira,Malaga,Nice,Port Mahon,Teneriffe,Vigo,SEU,,Unknown,UNK,,TOTAL,
Beef,barrels,54.31,,0.05,169.46,1.602443054,,,,,,,,,,,0,0,17,,,,,,,,,,,,,,,,17,27,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,17,27
Beeswax,barrels,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,1,1,,,,,2,0,,,,,,,,,,,,,,,0,0,,0,0,2,0
Beeswax,casks,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,4,,,,,,,,,,,,4,0,,0,0,4,0
Biscuits,kegs,14.57,,0.044642857,169.46,0.383834786,,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,2,1,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,2,1
Boards,feet,10.96,,0.0005,169.46,0.003233801,3000,,,,6550,,,,,2000,11550,37,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,11550,37
Boat boards,,10.96,,0.005,169.46,0.032338015,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,40,,40,1,,,,,,300,,,,300,10,,,,,,,,,,,,,,,0,0,,0,0,340,11
Boat boards,feet,10.96,,0.0005,169.46,0.003233801,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,19000,40582,,,,,59582,193,,,,,,,,,,,,,,,0,0,,0,0,59582,193
Braziletto,tons,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,2.85,,,,2.85,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,2.85,0
Bread,pounds,31.08,,0.000446429,169.46,0.008187773,,,,,,,,,,,0,0,,,,,,,,,320208,,,,,,,,320208,2622,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,320208,2622
Bread,tierces,31.08,,0.11875,169.46,2.177947598,,,,,,,,,,4,4,9,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,4,9
Bread,kegs,31.08,,0.044642857,169.46,0.818777293,290,60,,420,50,,20,,,200,1040,852,,,,,,,,,14,,,,,,19,,33,27,,,,,0,0,,,,,,,,,,0,0,,,,,,,,100,12,,,,,,112,92,,0,0,1185,971
Bread,barrels,31.08,,0.089285714,169.46,1.637554585,636,731,7,560,535,40,300,,30,110,2949,4829,106,,98,140,,75,,,94,,,,10,311,301,,1135,1859,,,,,0,0,,,,150,20,,,,,170,278,16,,,,,,,120,82,,,,,,218,357,,0,0,4472,7323
Bread and flour,barrels,18.12,,0.089285714,169.46,0.954713291,800,450,,,,,,,,,1250,1193,,,,,,,,,5,,,,,,,,5,5,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,1255,1198
Brown sugar,tierces,55.56,,0.495089286,169.46,16.23224402,,,,,,,,,,,0,0,,,,,,,,,,,,,,,5,,5,81,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,5,81
Cheese,hampers,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,0,0
Chocolate,boxes,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,10,,,,,,,,10,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,10,0
Corn,bushels,2.83,,0.05,169.46,0.083500531,2810,6264,,3060,222,1000,870,2000,,750,16976,1418,1173,,2200,1356,8350,5222,1000,700,640,,1400,1500,,427,9000,700,33668,2811,3810,8000,4300,,16110,1345,500,,,394,,,,,,894,75,4007,,9400,11549,,800,20,12192,8244,13574,,,500,,60286,5034,1200,1200,100,129134,10783
Corn meal,barrels,,,,169.46,0,,,,,25,,,,,,25,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,25,0
Cotton wool,pounds,1.48,,0.05,169.46,0.043668122,,,,,,,,,,,0,0,1000,,,,,,,,,,,,,,,,1000,44,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,1000,44
Deer Skin,chests,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,7,,,,7,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,7,0
Deer Skins,cases,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,4,,,,4,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,4,0
Deer Skins,,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,718,,,718,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,718,0
Deer Skins,bundles,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,17,,,,17,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,17,0
Flaxseed,hhds,9.27,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,1110,564,603,,587,,,,2864,0,,,,,,,,,,,,,,,0,0,,0,0,2864,0
Flour,barrels,18.12,,0.089285714,169.46,0.954713291,1099,2589,202,1776,436,400,815,270,300,330,8217,7845,148,,3281,686,1150,2022,,,518,11,,16,480,386,6527,34,15259,14568,120,5226,2222,,7568,7225,1495,1554,1464,1076,867,,930,,43,7429,7093,1588,2190,5211,3518,470,170,,15663,1765,443,,,91,,31109,29700,527,527,503,70109,66934
Flour,hhds,18.12,,0.178571429,169.46,1.909426582,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,0,0
Furs and skins,cases,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,6,,,,6,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,6,0
Furs and skins,boxes,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,1,,,,1,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,1,0
Furs and skins,bundles,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,24,,,,24,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,24,0
Furs and skins,chests,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,6,,,,6,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,6,0
Ham,hhds,69.5,,,169.46,0,,,,,2,,,,,,2,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,2,0
Ham,pounds,69.5,,0.00025,169.46,0.010253157,,,,,,,,,,200,200,2,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,200,2
Ham,barrels,69.5,,0.05,169.46,2.050631417,2,,,,,,3,,,,5,10,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,5,10
Ham,casks,69.5,,0.05,169.46,2.050631417,,,,,8,,,,,,8,16,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,8,16
Handspikes,,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,374,,,,374,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,374,0
Hoops,,,,,169.46,0,3000,3150,,10000,15875,,,,4000,1000,37025,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,37025,0
Inch plank,feet,10.96,,0.0005,169.46,0.003233801,,,,,,,,,12000,,12000,39,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,12000,39
Indian meal,hhds,,,,169.46,0,20,,,,46,,,,,,66,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,66,0
Indian meal,barrels,,,,169.46,0,,,,,10,,,,,,10,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,10,0
Loaf sugar,pounds,1.02,,0.05,169.46,0.030095598,,,,,,,,,,,0,0,,,,,,,,,,200,,,,,,,200,6,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,200,6
Mahogany boards,feet,10.96,,0.0005,169.46,0.003233801,,,,,,,,,,,0,0,,,,,,,,570,,,,,,,,,570,2,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,570,2
Molasses,tierces,1.79,,3.05,169.46,3.221704237,,,,,,,,,,,0,0,,,,,,,,,20,,,,,,,,20,64,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,20,64
Oak plank,feet,10.96,,0.0005,169.46,0.003233801,,4000,,,,,,,,,4000,13,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,300,300,1,,,,,,,,,,,,,,,0,0,,0,0,4300,14
Oak planks,,10.96,,0.005,169.46,0.032338015,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,300,,300,10,,,,,,,,,,,,,,,0,0,,0,0,300,10
Oats,bushels,2.83,,0.05,169.46,0.083500531,,,,1200,,,,,,,1200,100,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,1200,100
Oats,hhds,2.83,,0.35,169.46,0.584503718,24,,,,20,,,,,,44,26,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,44,26
Peas,hhds,2.83,,0.35,169.46,0.584503718,,,,,7,,,,,,7,4,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,7,4
Peas,bushels,2.83,,0.05,169.46,0.083500531,12,537,,,,,,,,200,749,63,,,50,,110,12,,,232,,,,,79,,,483,40,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,42,,,,,,42,4,200,200,17,1474,124
Peas,barrels,2.83,,0.175,169.46,0.292251859,,,,,9,,,,,,9,3,,,,,,,,,4,,,,,,,,4,1,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,13,4
Peas/beans,bushels,2.83,,0.05,169.46,0.083500531,,,,,,,,,,,0,0,,,100,,,,,,,,,,,,,,100,8,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,100,8
Pig iron,tons,8.42,,1,169.46,4.968724183,,,,,,,,,,,0,0,,,3,,,,,,,201.5,,,,,,,204.5,1016,516.75,55,,,571.75,2841,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,776.25,3857
Pine board,feet,10.96,,0.0005,169.46,0.003233801,,,,5300,3000,,,,,10000,18300,59,1000,,,,,,,,,,,,,,,,1000,3,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,3000,3000,10,22300,72
Pine boards,,10.96,,0.005,169.46,0.032338015,184,,,,,,,,,,184,6,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,184,6
Pine plank,feet,10.96,,0.0005,169.46,0.003233801,1000,,15200,23000,,,,,,,39200,127,,12346,,,,,,,,,,,,,,,12346,40,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,51546,167
Pine planks,,10.96,,0.005,169.46,0.032338015,,,,,,,,,,,0,0,5000,,,,,,,,,,,,,,,,5000,162,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,5000,162
Plank,feet,10.96,,0.0005,169.46,0.003233801,6000,,,,11000,,,,,,17000,55,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,17000,55
Pork,pounds,69.5,,0.00025,169.46,0.010253157,,,,,,,,,,,0,0,,,,,,,2000,,,,,,,,,,2000,21,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,2000,21
Pork,barrels,69.5,,0.05,169.46,2.050631417,15,192,,31,,10,20,,,20,288,591,15,,27,,,,,,,,,,,,2,,44,90,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,332,681
Potatoes,bushels,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,120,120,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,100,100,0,220,0
Rum,gallons,3.03,,0.05,169.46,0.089401629,,,,,,,,,,,0,0,,,,1080,,115,130,,,,,,,,,,1325,118,,,,,0,0,,,,,2108,180,,,,2288,205,,,251,,,,,,,,,,,,251,22,,0,0,3864,345
Rum,barrels,3.03,,1.45,169.46,2.592647232,,,,,,,,,,,0,0,,,,,,,,,100,,,,,,,,100,259,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,100,259
Rye,hhds,2.83,,0.35,169.46,0.584503718,,,,,,,,,,,0,0,,,,,,,,,,,,,,,8,,8,5,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,8,5
Rye,bushels,2.83,,0.05,169.46,0.083500531,,,,,,,,,,,0,0,,,780,30,,185,130,,,,,,,,358,,1483,124,,,,,0,0,,,,,,,,,,0,0,,,,300,93,,,,,,,,,,393,33,,0,0,1876,157
Rye flour,barrels,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,250,,,,120,,370,0,,0,0,370,0
Rye meal,pounds,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,25,,,,,,25,0,,,,,,,,,,,,,,,0,0,,0,0,25,0
Rye meal,barrels,,,,169.46,0,,,,,195,,,,,,195,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,195,0
Salt,bushels,1.715,,0.05,169.46,0.050601912,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,0,0
Scantling,feet,10.96,,0.0005,169.46,0.003233801,,,,,,,,,,5000,5000,16,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,5000,16
Shingles,,,,,169.46,0,35000,40500,,69000,10000,,6500,,,37000,198000,0,,,,,,,,,,,,,,,2000,,2000,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,1400,1400,0,201400,0
Ship bread,hhds,14.57,,0.178571429,169.46,1.535339145,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,10,,,,,,,,,10,15,,,,,,,,,,,,,,,0,0,,0,0,10,15
Skins,bundles,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,1,,,,1,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,1,0
Skins,cases,,,,169.46,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,3,,,,3,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,3,0
Staves and heading,,6.85,,0.001,169.46,0.004042252,23648,81029,3050,248400,42470,,9800,3000,7000,27000,445397,1800,,,5300,,5400,,,,16600,,1000,,3000,5700,5900,,42900,173,334628,74988,30400,17325,457341,1849,6460,30000,86000,140000,23700,10000,10000,51000,46000,403160,1630,5300,10160,6500,22500,,,,69750,12600,2660,,,700,,130170,526,23000,23000,93,1501968,6071
Sugar,loaves,1.02,,,169.46,0,,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,2,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,2,0
Tar and turpentine,barrels,16.49,,0.05,169.46,0.486545497,,,,,8,,,,,,8,4,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,8,4
Tea,chest,,,,169.46,0,,,,1,,,,,,,1,0,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,1,0
Tobacco,hhds,19.52,,0.521,169.46,6.001369055,,1,,,,,,,,,1,6,,,,,,,,,,,,,,,,,0,0,8030,712,,,8742,52464,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,8743,52470
Wheat,bushels,6.93,,0.05,169.46,0.204473032,,,,,,,,,,,0,0,,,,,61500,,,9500,,,,,,,,,71000,14518,1200,37608,38222,314,77344,15815,27542,,9808,11500,,,,,,48850,9989,22593,19023,,17527,48339,,19400,179646,5444,,11213,11500,,6500,341185,69763,,0,0,538379,110085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,19397,,,,,,,,,,,,,,,,,,39450,,,,,,82079,,,,,,,,,,,19499,,,,,,,,,,,,,,,,106086,,,723,,267234
