Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,Marblehead,Providence,Rhode Island,Salem,South Carolina,NA,,Aberdeen,Barnstaple,Bideford,Bristol,Glasgow,London,Whitehaven,GB,,Cork,IRE,,Lisbon,Madeira,SEU,,TOTAL,
Plank,M feet,9.568,,0.5,170.6,2.804220399,,,0,0,,,,,,,,0,0,,,11,,,,,11,31,,0,0,,,0,0,11,31
Pork,barrels,63.99,,0.05,170.6,1.875439625,69,105,174,326,,8,,,,,,8,15,,,,,,,,0,0,,0,0,,,0,0,182,341
Ship bread,hhds,15.23,,0.178571429,170.6,1.594163457,,,0,0,5,,,,,,,5,8,,,,,,,,0,0,,0,0,,,0,0,5,8
Skins,casks,,,,170.6,0,,,0,0,,,,,,,,0,0,,,,,,1,,1,0,,0,0,,,0,0,1,0
Staves,,5.98,,0.001,170.6,0.003505275,,13830,13830,48,,1000,,,3300,,,4300,15,,9360,4000,4974,,20760,4400,43494,152,,0,0,4500,15628,20128,71,81752,286
Staves,M,5.98,,1,170.6,3.505275498,,10,10,35,,,,,,,,0,0,,3,19,8,12,36,,78,273,,0,0,,,0,0,88,308
Staves (barrels),,68.36,,0.00005,170.6,0.002003517,,,0,0,,,,,,,,0,0,,,1800,,,,,1800,4,,0,0,,3000,3000,6,4800,10
Staves (hhds),,5.98,,0.001,170.6,0.003505275,5712,,5712,20,,,,,,,,0,0,,,,,,27140,,27140,95,,0,0,,,0,0,32852,115
Staves (hhds),M,5.98,,1,170.6,3.505275498,,,0,0,,,,,,,,0,0,8,,5,5,,42,,60,210,,0,0,,,0,0,60,210
Staves (pipe),,8.89,,0.001,170.6,0.00521102,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,3540,3540,18,3540,18
Tar,barrels,12.89,,0.05,170.6,0.377784291,,6,6,2,,6,,,,,,6,2,,,,,,,,0,0,,0,0,,,0,0,12,4
Tobacco,hhds,19.98,,0.525,170.6,6.1485932,,,0,0,,,,,,,,0,0,272,197,860,666,451,5640,150,8236,50640,,0,0,,,0,0,8236,50640
Tobacco,pounds,19.98,,0.0005,170.6,0.005855803,,,0,0,,1200,,,,,,1200,7,,,,,,,,0,0,,0,0,,,0,0,1200,7
Walnut logs,,,,,170.6,0,,,0,0,,,,,,,,0,0,,,,,,,,0,0,30,30,0,,,0,0,30,0
Walnut plank,,9.568,,0.005,170.6,0.028042204,,,0,0,,,,,,,,0,0,,,,,,,,0,0,160,160,4,,,0,0,160,4
Walnut plank,feet,9.568,,0.0005,170.6,0.00280422,,,0,0,,,,,,,,0,0,150,,,500,,2159,,2809,8,,0,0,,,0,0,2809,8
Walnut plank,tons,,,,170.6,0,,,0,0,,,2,,,,,2,0,,,,,,,,0,0,,0,0,,,0,0,2,0
Wheat,bushels,4.51,,0.05,170.6,0.132180539,,,0,0,,3270,381,,180,400,,4231,559,,,,,,,,0,0,,0,0,8000,5666,13666,1806,17897,2365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,3324,,,,,,,,,3060,,,,,,,,,55128,,,10,,,,2896,,64418
