Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,Spanish Town,St. Kitts,St. Martins,WI,,Turks Island,Bermuda,Boston,New England,New York,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,Whitehaven,GB,,Isle of May,Madeira,SEU,,TOTAL,
Iron,tons,8.8,,1,170.6,5.158264947,,,,,,,,,0,0,,,,,,,1,,,,1,5,,0,0,,,0,0,1,5
Linen,packs,,,,170.6,0,,,,,,,,,0,0,,,,,,,,,,1,1,0,,0,0,,,0,0,1,0
Linen,pieces,,,,170.6,0,,,,,,,,,0,0,,,,,,,,,,8,8,0,,0,0,,,0,0,8,0
Molasses,casks,1.69,,3.05,170.6,3.021395076,,,,,,,,,0,0,,,,,1,,,,,,1,3,,0,0,,,0,0,1,3
Molasses,barrels,1.69,,1.45,170.6,1.436400938,,,,,,,,,0,0,,,,,1213,,1360,,,,2573,3696,,0,0,,,0,0,2573,3696
Molasses,gallons,1.69,,0.05,170.6,0.049531067,2553,600,1155,5059,,4300,5900,,19567,969,,4860,430,,,,,,1500,200,6990,346,,0,0,,,0,0,26557,1315
Negroes,,27.12,,1,100,27.12,,24,67,,17,,31,,139,3770,,,,,,,,,,,0,0,,0,0,,,0,0,139,3770
Plank,feet,9.568,,0.0005,170.6,0.00280422,,,,,,,,,0,0,,,,,,,,1300,,,1300,4,,0,0,,,0,0,1300,4
Plank,pieces,9.568,,0.005,170.6,0.028042204,,,,,,,,,0,0,,,,,,87,,,,,87,2,,0,0,,,0,0,87,2
Refined sugar,casks,1.31,,6.25,170.6,4.799237984,,,,3,,,,,3,14,,,,,,,,,,,0,0,,0,0,,,0,0,3,14
Refined sugar,boxes,1.31,,,170.6,0,,,,,,,,,0,0,,,,,,,,,,1,1,0,,0,0,,,0,0,1,0
Refined sugar,pounds,1.31,,0.05,170.6,0.038393904,,,,1350,,,,,1350,52,,,,,,,,,,,0,0,,0,0,,,0,0,1350,52
Refined sugar,hhds,1.31,,25,170.6,19.19695193,,,,,,,,,0,0,,,,,,,,,,1,1,19,,0,0,,,0,0,1,19
Rum,gallons,3.46,,0.05,170.6,0.1014068,3041,22111,84478,1600,11700,,28598,,151528,15366,21,10399,1902,1300,2607,,1111,,1020,1081,19441,1971,,0,0,,,0,0,170969,17337
Rum,hhds,3.46,,5.25,170.6,10.64771395,,,,,,,,,0,0,,,,,2,,,,,,2,21,,0,0,,,0,0,2,21
Salt,bushels,1.55,,0.05,170.6,0.045427902,1570,2500,4053,4000,,,3800,1200,17123,778,17965,12450,84,,8000,,400,,,,38899,1767,5000,5000,227,7000,,7000,318,68022,3090
Spirits,bottles,3.46,,,170.6,0,,13,,,,,,,13,0,,,,,,,,,,,0,0,,0,0,,,0,0,13,0
Sugar,boxes,51.98,,,170.6,0,,,,,,,,,0,0,,,,,,130,,,,,130,0,,0,0,,,0,0,130,0
Sugar,tons,51.98,,1,170.6,30.46893318,,,,2,,,,,2,61,,,,,,,,,,,0,0,,0,0,,,0,0,2,61
Sugar,kilderkins,51.98,,,170.6,0,,,,,25,,57,,82,0,,8,,,,,,,,,8,0,,0,0,,,0,0,90,0
Sugar,tierces,51.98,,0.466964286,170.6,14.22790362,,1,,,2,,1,,4,57,,,,,,,,,,,0,0,,0,0,,,0,0,4,57
Sugar,barrels,51.98,,0.15,170.6,4.570339977,23,141,1054,31,,,141,,1390,6353,14,40,8,,18,,3,,,,83,379,,0,0,,,0,0,1473,6732
Sugar,hhds,51.98,,0.609375,170.6,18.56700615,,,,,1,,,,1,19,,,,,,,,,,,0,0,,0,0,,,0,0,1,19
Tobacco,bales,19.98,,,170.6,0,,,,,,,,,0,0,,,,,,78,,,,,78,0,,0,0,,,0,0,78,0
Wheat,bushels,4.51,,0.05,170.6,0.132180539,,,,,,,,,0,0,,,,,,,70,,,,70,9,,0,0,,,0,0,70,9
Wine,gallons,29.74,,0.007936508,170.6,0.138353896,400,,3550,,,,800,,4750,657,,2000,,,610,,1450,,,,4060,562,,0,0,,34550,34550,4780,43360,5999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,28108,,,,,,,,,,,,9057,,,227,,,,5098,,42490
