Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Cape Nicholas,Curacao,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,Nevis,St. Croix,St. Kitts,St. Thomas,St. Vincents,Surinam,Tortola,WI,,New Providence,Bermuda,Boston,Falmouth,Georgia,New York,Newfoundland,North Carolina,Philadelphia,Piscataqua,Plymouth NE,Providence,Rhode Island,NA,,London,Hull,Liverpool,Whitehaven,Borrowstoness,Glasgow,Leith,Perth,GB,,Belfast,Cork,Dublin,IRE,,St. Michaels,Barcelona,Cadiz,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1771,,,,,,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rum,puncheons,3.35,,5,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,108,,3,,,,,,111,1122,,,,0,0,,,,,,0,0,,0,0,111,1122
Rum,hhds,3.35,,5.05,165.69,,,,,,,,,,,,,,,1,,1,10,,,,,43,,,14,63,,,,,120,1225,,,,,,1,,,1,10,,,,0,0,,,,,,0,0,,0,0,122,1245
Rum,tierces,3.35,,3.05,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,20,,,,,20,123,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,20,123
Salt,bushels,1.6,,0.05,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,2445,,,,,,2445,118,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,2445,118
Shingles,,,,,165.69,1610014,2540585,20000,10000,141000,1280015,60000,865500,71000,284500,,158700,,25000,,15000,7081314,0,,15000,,,,,27000,,,,,,,42000,0,,13160,,,,,,2000,15160,0,,,,0,0,,,,,20600,20600,0,31000,31000,0,7190074,0
Skins,barrels,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,,,,1,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,1,0
Skins,hhds,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,,,,1,0,2,,,2,,,,,4,0,,,,0,0,,,,,,0,0,,0,0,5,0
Skins,boxes,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,2,,,,,2,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,2,0
Staves,,6.77,,0.001,165.69,,156450,,,,,,35717,,,,,,,,,192167,785,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,192167,785
Staves and heading,,6.77,,0.001,165.69,340358,243723,5000,,16950,381151,,751915,10307,81764,5000,67120,,49000,19000,14000,1985288,8112,,100,3200,,,,,21400,11600,1000,2300,,71000,110600,452,39000,,112610,82000,3000,96011,21400,,354021,1447,5600,3000,,8600,35,,,117400,5000,82500,204900,837,5000,5000,20,2668409,10903
Sugar,barrels,50.86,,0.15,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,3,,,,,3,14,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,3,14
Sugar,hhds,50.86,,0.646875,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,,,,1,20,246,,,,,,,,246,4885,,,,0,0,,,,,,0,0,,0,0,247,4905
Sugar,tierces,50.86,,0.495089286,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,,,,,,1,15,42,,,,,,,,42,638,,,,0,0,,,,,,0,0,,0,0,43,653
Tar,barrels,12.41,,0.05,165.69,140,194,,,,22,,140,19,20,,44,,,,,579,217,,38,,,,50,,,111,100,,,230,529,198,1004,963,7509,4538,470,40,1673,216,16413,6147,,,,0,0,,,,,,0,0,,0,0,17521,6562
Tobacco,hhds,32.5,,0.5385,165.69,16,98,,,,,,,,,,,,,,,114,1204,,,,,,1,,,12,2,,,,15,158,497,,,367,195,3101,,51,4211,44479,,,,0,0,,,,,,0,0,,0,0,4340,45841
Turpentine,barrels,14.31,,0.05,165.69,126,74,,,,20,,70,19,,,22,,,,,331,143,,18,102,,,,,,742,85,,,40,987,426,,826,477,,,,254,26,1583,684,,,,0,0,,,,,,0,0,,0,0,2901,1253
Walnut logs,,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,30,,,,,30,0,,,,0,0,,,,,,0,0,,0,0,30,0
Wheat,bushels,6.78,,0.05,165.69,,,,,,,,,,,,,,,,,0,0,,,6832,,,,,,15492,,,,,22324,4567,,,,,,,,,0,0,,8500,,8500,1739,,9800,39200,,4072,53072,10858,,0,0,83896,17164
Wine,quarter casks,50,,0.25,165.69,,,,,,12,,,,,,,,,,,12,91,,,,,,,,,10,,,,1,11,83,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,23,174
Wine,pipes,50,,1,165.69,,,,,,19,,,,,,,,,,,19,573,,,,,,,,,4,,,,,4,121,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,23,694
Wine,hhds,50,,0.5,165.69,1,,,,,,,,,,,,,,,,1,15,,,,,,,,,15,,,,,15,226,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,16,241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,,,,64964,,,,,,,,,,,,,,,17122,,,,,,,,,,61025,,,,,2733,,,,,,,18140,,,773,,164757
