Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Curacao,Dominica,Granada,Grenadoes,Havanna,Jamaica,Nevis,St. Croix,St. Kitts,WI,,Bermuda,Boston,Georgia,New York,North Carolina,Philadelphia,Providence,Rhode Island,Salem,South Carolina,NA,,London,Hull,Lancaster,Liverpool,Whitehaven,Borrowstoness,Glasgow,Carran,GB,,Cork,Dublin,IRE,,Cadiz,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1766,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planks,,10.496,,0.005,162.96,234,,,,,,,7244,,,,7478,241,,,,,,,6000,,,,6000,193,,,6,809,254,252,,,1321,43,127,,127,4,,,1600,1600,52,,0,0,16526,533
Pork,tierces,76.88,,0.0665,162.96,,2,,,,,,,,,,2,6,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,2,6
Pork,hhds,76.88,,0.1,162.96,1,10,,,,,,,,,,11,52,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,2,2,9,13,61
Pork,casks,76.88,,0.05,162.96,23,4,,,,,,,,,,27,64,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,27,64
Pork,barrels,76.88,,0.05,162.96,701,1011,,,12,,,872,97,20,88,2801,6607,36,20,,8,,,91,,,,155,366,,,,,215,,,,215,507,,,0,0,,,,0,0,230,230,543,3401,8023
Potatoes,bushels,,,,162.96,,,,,,,,30,,,,30,0,,,,190,,,,40,,,230,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,260,0
Rice,barrels,16.69,,,162.96,,20,,,,,,,,,,20,0,,,,,,,,,,,0,0,,,,,,,2,,2,0,,,0,0,,,,0,0,,0,0,22,0
Rice,tierces,16.69,,,162.96,2,,,,,,,,,,,2,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,2,0
Rice,casks,16.69,,,162.96,,,,,,,,18,,,,18,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,18,0
Rum,hhds,3.02,,5.05,162.96,,,,,,,,,,,,0,0,,23,,49,13,,,1,,,86,805,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,86,805
Rum,tierces,3.02,,3.05,162.96,,,,,,,,,,,,0,0,,4,,,,,,,,,4,23,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,4,23
Salt,bushels,1.7,,0.05,162.96,,,,,,,,,,,,0,0,,,,,926,,,,,,926,48,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,926,48
