Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Curacao,Jamaica,Montserrat,Nevis,St. Christophers,St. Croix,Tortola,WI,,Bermuda,Boston,New England,New York,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,London,Falmouth,Hull,Lancaster,Liverpool,Whitehaven,Dumfries,Glasgow,Kircudbright,GB,,Africa,AFR,,Alicant,Lisbon,Madeira,SEU,,TOTAL,
Skins,hhds,,,,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,8,,8,0,,0,0,,,,0,0,8,0
Staves,,4.26,,0.001,166.85,17800,97214,,26890,,7400,30250,7000,,186554,476,,,,,,,,,,0,0,7000,8000,51653,12000,,,9000,35100,22000,144753,370,,0,0,1000,2500,17290,20790,53,352097,899
Staves and heading,,4.26,,0.001,166.85,57000,16950,,,,,4100,,,78050,199,,2000,,,,,,4000,650,6650,17,,,,,,4850,,45600,,50450,129,,0,0,,,,0,0,135150,345
Sugar,hhds,48,,0.609375,166.85,,,,,,,,,,0,0,,,,,,10,,,,10,175,,,,,,,,,,0,0,,0,0,,,,0,0,10,175
Sugar,barrels,48,,0.15,166.85,,,,,,,,,,0,0,,,,,,4,,,,4,17,,,,,,,,,,0,0,,0,0,,,,0,0,4,17
Tar,barrels,10.08,,0.05,166.85,47,48,,8,,,,,,103,31,,,,225,,5,,260,,490,148,,,7218,,600,750,1258,2022,772,12620,3812,,0,0,,,,0,0,13213,3991
Tobacco,hhds,19.9,,0.513,166.85,2,8,,,,,,,,10,61,,,,,,,,,,0,0,232,211,286,138,42,,66,1270,79,2324,14219,,0,0,,,,0,0,2334,14280
Turpentine,barrels,25.37,,0.05,166.85,48,22,,15,,,,,,85,65,,,,194,,43,,30,,267,203,,,1657,,,50,8,203,,1918,1458,,0,0,,,,0,0,2270,1726
Walnut logs,,,,,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,114,,,,,,,114,0,,0,0,,,,0,0,114,0
Wheat,bushels,4.38,,0.05,166.85,,,,,,,,,,0,0,,,,,,,,85,,85,11,,,,,,,,,,0,0,,0,0,,6114.5,15329,21443.5,2815,21528.5,2826
Wine,quarter casks,30.1,,0.25,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,1,1,5,,0,0,,,,0,0,1,5
Wine,pipes,30.1,,1,166.85,,,,,,,,3,,3,54,,,,,,,,,,0,0,,,10,,,,,,17,27,487,,0,0,,,,0,0,30,541
Wine,hhds,30.1,,0.5,166.85,,,,,,,,,,0,0,,,,,2,,,,,2,18,,,,,,,,1,,1,9,,0,0,,,,0,0,3,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,17153,,,,,,,,,,,4778,,,,,,,,,,,20852,,,223,,,,,5220,,48226
