Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Curacao,Dominico,Granada,Havanna,Jamaica,Montserrat,Nevis,St. Eustatia,St. Kitts,Tortola,WI,,New Providence,Bermuda,Boston,Falmouth,New England,New York,Newbury,Newfoundland,North Carolina,Pensacola,Philadelphia,Piscataqua,Providence,Rhode Island,Salem,South Carolina,NA,,Plymouth,London,Hull,Liverpool,Whitehaven,Glasgow,Greenock,Leith,GB,,Cork,IRE,,Barcelona,Cadiz,Gibraltar,Lisbon,Madeira,Oporto,SEU,,Senegal,AFR,,TOTAL,
Corn,bushels,3.01,,0.05,169.9,1851,18958,48939.5,483,100,1618,,1297,662,4935,1500,1428,1957,83728.5,7417,,600,14035,5112,,10580,3800,,,,1763,18920,350,5290,4400,,64850,5745,,,,,,,,,0,0,,0,0,,,4010,15800,14855,3200,37865,3354,,0,0,186443.5,16516
Cotton,bags,1.87,,6,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,4,,,4,26,,0,0,,,,,,,0,0,,0,0,4,26
Deer Skins,hhds,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,9,,,9,0,,0,0,,,,,,,0,0,,0,0,9,0
Flaxseed,barrels,8.79,,,169.9,,,,50,,,,,,,,,,50,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,50,0
Flour,barrels,13.5,,0.089285714,169.9,87,417,269,110,,93,25,812,,48,186,300,9,2356,1671,31,,23,,,,,35,12,200,,30,123,,,87,541,384,,,,100,,,,,100,71,,0,0,25,800,105,208,1286,,2424,1720,,0,0,5421,3846
Handspikes,,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,390,,231,,,,,621,0,,0,0,,,,,,,0,0,,0,0,621,0
Heading,,6.84,,0.001,169.9,,,52200,,,35000,,,,750,17000,,,104950,423,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,104950,423
Hoops,,,,,169.9,,1600,3850,,,9000,,1600,,,,760,,16810,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,16810,0
Hoops and scantling,feet,,,,169.9,,,1000,,,,,,,,,,,1000,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,1000,0
Iron,pounds,8.79,,0.000454545,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,700,,,,,700,2,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,700,2
Iron,tons,8.79,,1,169.9,,,1.5,,,1.5,,,,,,,,3,16,,,,,,,,,2.5,,,,,,,,2.5,13,,25,,,,,,,25,129,,0,0,,,,,,,0,0,,0,0,30.5,158
Lumber,,,,,169.9,,20000,115000,,,,,,,90000,,,,225000,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,225000,0
Molasses,hhds,1.76,,5,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,4,,,,,,,,4,21,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,4,21
Oats,bushels,3.01,,0.05,169.9,,20,40,,,,,180,,,,100,,340,30,8,,,,,,,,,,,,,,,,8,1,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,348,31
Peas,bushels,3.01,,0.05,169.9,400,826,1179,484,,232,,8950,,,35,819,,12925,1145,,,50,,,,,,,,,14,,,105,,169,15,,,,,,,,,0,0,,0,0,,,229,20,249.5,,498.5,44,,0,0,13592.5,1204
Pig iron,tons,8.79,,1,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,60,,18,,,,,78,404,,0,0,,,,,,,0,0,,0,0,78,404
Pitch,barrels,17.33,,0.05,169.9,,,8,,,8,,6,,,,,,22,11,,,124,,,,,,,,,12,,,,,136,69,,26,,142,,128,,,296,151,,0,0,,,,,,,0,0,,0,0,454,231
Plank,feet,10.944,,0.0005,169.9,22760,90941,43946,,16030,30400,,37070,11699,4397,,32220,,289463,932,,600,50,,,,,,,,,,,,,,650,2,5380,,32,69862,1357,,,,76631,247,,0,0,,,,,950,,950,3,3681,3681,12,371375,1196
Plank,pieces,10.944,,0.005,169.9,,,463,,12,5464,,,,,,147,,6086,196,,,,,,20,,,,,,,,,,,20,1,,412,,238,,,,117,767,25,,0,0,,,,,,,0,0,519,519,17,7392,239
Planks,,10.944,,0.005,169.9,,,2846,,,12000,,,,,,,,14846,478,,,,,,,,,,,,,,,,,0,0,,56,,300,10525,,,,10881,350,,0,0,,,,,,,0,0,,0,0,25727,828
Pork,tierces,74.36,,0.0665,169.9,,1,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,1,3
Pork,hhds,74.36,,0.1,169.9,,1,15,,,,,3,,,,,,19,83,,,,,,,,,2,,,,,,,,2,9,,,,,,,,,0,0,,0,0,,,10,,,,10,44,,0,0,31,136
Pork,casks,74.36,,0.05,169.9,,,,,,,,,,,,2,,2,4,,,,2,,,,,,,,,,,,,2,4,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,4,8
Pork,pounds,74.36,,0.00025,169.9,,,,,,300,,,,,,,,300,3,,,,,,,,,,,1052,,,,1000,,2052,22,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,2352,25
Pork,barrels,74.36,,0.05,169.9,81,798,2405,27,,48,,899,,184,20,46,12,4520,9891,6,160,50,20,25,402,,26,,30,576,55,98,50,5,,1503,3289,,,,,,,,,0,0,,0,0,,,,,115,,115,252,10,10,22,6148,13454
Potatoes,bushels,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,4,,,,,4,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,4,0
Rum,hhds,3.02,,5,169.9,,,,,,,,,,,,,,0,0,,,,,,30,,,2,,,,,,,,32,284,,,,,,,,,0,0,,0,0,,,,,,,0,0,65,65,578,97,862
Rum,barrels,3.02,,1.45,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,3,,,,,,,,3,8,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,3,8
Rum,kegs,3.02,,0.725,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,1,1
Salt,bushels,1.7,,0.05,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,1630,,,12,,,,,1642,82,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,1642,82
Salt,barrels,1.7,,0.175,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2,,,,,2,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,2,0
Shingles,,,,,169.9,61700,885470,1657620,,330,434880,,979998,55000,122000,,120000,30800,4347798,0,,,,,,4500,,,,,,,32000,7000,,,43500,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,4391298,0
Skins,boxes,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,1,,,,,,1,0,,1,,,,,,,1,0,,0,0,,,,,,,0,0,,0,0,2,0
Skins,hhds,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,20,,,,7,,,27,0,,0,0,,,,,,,0,0,,0,0,27,0
Spirits turpentine,barrel,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,4,0,,0,0,,,,,,,0,0,,0,0,4,0
Staves,,6.84,,0.001,169.9,,108600,139263,8000,4250,53287,,,12660,,,24490,,350550,1411,,,7000,,,,,,,,,,,3800,,,10800,43,500,103737,213214,167701,118806,35225,12400,27100,678683,2732,8000,8000,32,,,,,9770,,9770,39,,0,0,1057803,4257
Staves and heading,,6.84,,0.001,169.9,,3100,33668,,,,,56200,,4150,,,,97118,391,,,,,,,,,,,,,,,1050,,1050,4,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,98168,395
Sugar,barrels,52.94,,0.15,169.9,,,,,,,,,,,,,,0,0,,,5,,,17,,,1,,3,,,,,,26,122,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,26,122
Sugar,tierces,52.94,,0.495089286,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,2,,,,,,2,31,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,2,31
Tar,barrels,12.4,,0.05,169.9,,,182,476,,24,,94,,,,5,,781,285,,,200,,22,,,,,,,11,,,,,233,85,703,2192,1790,11229,5584,2497,709,2218,26922,9824,,0,0,,,,,,,0,0,,0,0,27936,10194
Tobacco,hhds,18.13,,0.555,169.9,,,12,36,,3,,,,,,,,51,302,,,,,,,,2,,,16,,,,6,,24,142,,774,154,175,1276,434,,15,2828,16749,,0,0,,,,,,,0,0,5,5,30,2908,17223
Turpentine,barrels,17.55,,0.05,169.9,,,10,58,,,,20,,,,5,,93,48,,,,,,,,,,,,12,,28,,,40,21,200,109,320,540,,374,,2164,3707,1915,,0,0,,,,,,,0,0,,0,0,3840,1984
Walnut logs,feet,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,58,,,,58,0,,0,0,,,,,,,0,0,,0,0,58,0
Walnut logs,,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,129,39,31,,,,,199,0,,0,0,,,,,,,0,0,,0,0,199,0
Wheat,bushels,4.7,,0.05,169.9,,,,,,,,,,,,,,0,0,,,42,4,250,,,,,,774,20,,,30,,1120,155,,,,1807,,,,,1807,250,3500,3500,484,12475,14000,3500,118,9352,,39445,5456,,0,0,45872,6345
Wine,pipes,47.29,,1,169.9,,,,,,,,8.5,,,,,,8.5,237,,,,,,,,,2,,,,,,,,2,56,,10,,,,5,,7,22,612,,0,0,,,,,,,0,0,2,2,56,34.5,961
Wine,quarter casks,47.29,,0.25,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,4,,,,,,,,4,28,,,,,,,,4,4,28,,0,0,,,,,,,0,0,5,5,35,13,91
Wine,hhds,47.29,,0.5,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,1,,,,,,,,1,14,,,,,,,,4,4,56,,0,0,,,,,,,0,0,,0,0,5,70
Wine,barrels,47.29,,0.25,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,88,88,612,88,612
Wine,cases,47.29,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,7,,,,,,7,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,27512,,,,,,,,,,,,,,,,,,11060,,,,,,,,,,33569,,,516,,,,,,,,11298,,,1427,,85382
