Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Curacao,Jamaica,Montserrat,St. Christophers,WI,,Bermuda,New York,Newfoundland,North Carolina,Philadelphia,Piscataqua,Providence,Rhode Island,South Carolina,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Glasgow,Greenock,GB,,Madeira,SEU,,TOTAL,
Pig iron,tons,8.56,,1,171.39,,,,,,,,0,0,,,,,,,,,,0,0,40,50,,,,,,,90,450,,0,0,90,450
Pitch,barrels,15.41,,0.05,171.39,,30,,,57,,15,102,46,7,,,,,,,,,7,3,,245,,,9,,36,,290,130,,0,0,399,179
Plank,pieces,6.3,,0.005,171.39,,,,,,,,0,0,1,,,,,,,,,1,0,,,,,,,,,0,0,,0,0,1,0
Plank,feet,6.3,,0.0005,171.39,890,1000,200,,,,3700,5790,11,9000,,,,,450,,,,9450,17,,,,,22839,175,3000,200,26214,48,4000,4000,7,45454,83
Planks,,6.3,,0.005,171.39,,,,1119,,,477,1596,29,,,,,,,,,,0,0,,,,16910,100,,,,17010,313,,0,0,18606,342
Pork,hhds,60.16,,0.1,171.39,,,,,,3,,3,11,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,3,11
Pork,barrels,60.16,,0.05,171.39,204,491,1652,,300,,1505,4152,7287,310,24,80,,,,,94,,508,892,,,,,,,,,0,0,118,118,207,4778,8386
Potatoes,bushels,,,,171.39,,,,,,,,0,0,,20,,,,,,,,20,0,,,,,,,,,0,0,,0,0,20,0
Rice,barrels,18.98,,,171.39,,,,,,,,0,0,,,,1,,,,,,1,0,,,,,,,,,0,0,,0,0,1,0
Rum,tierces,3.77,,3.05,171.39,,,,,,,,0,0,,,,,,,,,,0,0,1,,,,,,,,1,7,,0,0,1,7
Rum,hhds,3.77,,5,171.39,,,,,,,,0,0,,,,4,,,,,1,5,55,2,,,,,,,,2,22,,0,0,7,77
Salt,bushels,2.345,,0.05,171.39,,,,,,,,0,0,,40,,420,,,,,400,860,59,,,,,,,,,0,0,,0,0,860,59
Shingles,,,,,171.39,49100,456250,323768,,294400,14200,542470,1680188,0,31000,,,,,,30000,,,61000,0,,,,,,,,,0,0,10000,10000,0,1751188,0
Skins,hhds,,,,171.39,,,,,,,,0,0,,,,,,,,,,0,0,14,,,,,,,,14,0,,0,0,14,0
Staves,,5.25,,0.001,171.39,5093,52200,73650,,27533,5150,39171,202797,621,27000,,11100,,3500,6000,,,,47600,146,11000,23760,13500,19200,44278,6520,157900,10800,286958,879,21400,21400,66,558755,1712
Tar,barrels,10.49,,0.05,171.39,,30,20,,149,,90,289,88,18,176,,,,,,42,,236,72,,394,,832,1122,1886,2594,,6828,2090,,0,0,7353,2250
Tobacco,pounds,17.1,,0.0005,171.39,,150,,,,,,150,1,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,150,1
Tobacco,hhds,17.1,,0.4985,171.39,,2,18,,,,,20,99,,,,,,,,,,0,0,290,879,307,94,316,74,639,409,3008,14961,,0,0,3028,15060
Turpentine,barrels,17.12,,0.05,171.39,,20,,,20,,5,45,22,12,27,,,,,,22,,61,30,,,,468,3,14,1902,,2387,1192,,0,0,2493,1244
Walnut logs,,,,,171.39,,,,,,,,0,0,,,,,,,,,,0,0,,,,,131,,,,131,0,,0,0,131,0
Wheat,bushels,5.66,,0.05,171.39,,,,,,,,0,0,,,,,10,,,,,10,2,,,,,,,,,0,0,3480,3480,575,3490,577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,15611,,,,,,,,,,,2442,,,,,,,,,,20144,,,2413,,40610
