Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Grenada,Havanna,Jamaica,Montserrat,Nevis,St. Kitts,St. Martins,WI,,New Providence,Turks Island,Bermuda,Boston,Delaware,Falmouth,Lewistown,New York,North Carolina,Philadelphia,Piscataqua,Providence,Rhode Island,Salem,South Carolina,NA,,Yarmouth,London,Liverpool,Whitehaven,GB,,Isle of May,Lisbon,Teneriff,SEU,,TOTAL,
,,1765,,,,Sterling,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar,hhds,52.94,,0.646875,169.9,20.15630518,,,,,,,,,,11,11,222,,,,,,,,,,,,,14,,,14,282,,,,,0,0,,,,0,0,25,504
Sugar,barrels,52.94,,0.15,169.9,4.673925839,,309,536,,,108,69,65,4,1,1092,5104,,,8,85,,4,,96,,127,19,,6,6,,351,1641,6,,,,6,28,,,,0,0,1449,6773
Tar,barrels,12.4,,0.05,169.9,0.364920541,,,,,,,,,,,0,0,,,,,,,,,1380,,,,3,,,1383,505,,,,,0,0,,,,0,0,1383,505
Tea,chests,,,,169.9,0,,,1,,,,,,,,1,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,0,0,1,0
Virginia currency,pounds,1,,1,169.9,0.588581519,1180,,,,,,,200,195,,1575,927,,,80,,,,,,,,115,,,,,195,115,,,,,0,0,,311,,311,183,2081,1225
Virginia currency,shillings,1,,0.05,169.9,0.029429076,11,,,,,,,,,,11,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,0,0,11,0
Virginia/Nevis currency,pounds,1,,1,169.9,0.588581519,,,,,,,,250,,,250,147,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,0,0,250,147
Wine,cases,47.29,,,169.9,0,,,,,,,,,,,0,0,,,,100,,,,,,,,,,,,100,0,,,,,0,0,,,,0,0,100,0
Wine,casks,47.29,,0.25,169.9,6.958505003,,,,,,,,,,,0,0,,,,,,,,,,1,,,,,,1,7,,,,,0,0,,,,0,0,1,7
Wine,pipes,47.29,,1,169.9,27.83402001,,,,,,10,,,,,10,278,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,8,8,223,18,501
Wine,hhds,47.29,,0.5,169.9,13.91701001,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,4,4,56,4,56
Wine,quarter casks,47.29,,0.25,169.9,6.958505003,,,,,,,,,,,0,0,,,,,,,,,,20,,,,1,,21,146,,,,,0,0,,,4,4,28,25,174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,31386,,,,,,,,,,,,,,,,,13342,,,,,,2121,,,,,740,,47589
